country,election_year,date_raw,pollster,sample_size,party,pct,source_table
us,2016,4/3/2016,,,REP,40.13267,pres_pollaverages_1968-2016.csv
us,2016,4/3/2016,,,DEM,48.32644,pres_pollaverages_1968-2016.csv
us,2016,4/4/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/4/2016,,,REP,40.04482,pres_pollaverages_1968-2016.csv
us,2016,4/4/2016,,,DEM,48.26836,pres_pollaverages_1968-2016.csv
us,2016,4/5/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/5/2016,,,REP,40.12203,pres_pollaverages_1968-2016.csv
us,2016,4/5/2016,,,DEM,48.16624,pres_pollaverages_1968-2016.csv
us,2016,4/6/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/6/2016,,,REP,40.04702,pres_pollaverages_1968-2016.csv
us,2016,4/6/2016,,,DEM,48.11096,pres_pollaverages_1968-2016.csv
us,2016,4/7/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/7/2016,,,REP,39.94262,pres_pollaverages_1968-2016.csv
us,2016,4/7/2016,,,DEM,48.1279,pres_pollaverages_1968-2016.csv
us,2016,4/8/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/8/2016,,,REP,39.87044,pres_pollaverages_1968-2016.csv
us,2016,4/8/2016,,,DEM,48.16901,pres_pollaverages_1968-2016.csv
us,2016,4/9/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/9/2016,,,REP,39.83619,pres_pollaverages_1968-2016.csv
us,2016,4/9/2016,,,DEM,48.1686,pres_pollaverages_1968-2016.csv
us,2016,4/10/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/10/2016,,,REP,39.59174,pres_pollaverages_1968-2016.csv
us,2016,4/10/2016,,,DEM,48.36018,pres_pollaverages_1968-2016.csv
us,2016,4/11/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/11/2016,,,REP,39.56086,pres_pollaverages_1968-2016.csv
us,2016,4/11/2016,,,DEM,48.54624,pres_pollaverages_1968-2016.csv
us,2016,4/12/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/12/2016,,,REP,40.00294,pres_pollaverages_1968-2016.csv
us,2016,4/12/2016,,,DEM,48.67182,pres_pollaverages_1968-2016.csv
us,2016,4/13/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/13/2016,,,REP,40.30104,pres_pollaverages_1968-2016.csv
us,2016,4/13/2016,,,DEM,48.67726,pres_pollaverages_1968-2016.csv
us,2016,4/14/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/14/2016,,,REP,40.55394,pres_pollaverages_1968-2016.csv
us,2016,4/14/2016,,,DEM,48.66191,pres_pollaverages_1968-2016.csv
us,2016,4/15/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/15/2016,,,REP,40.65237,pres_pollaverages_1968-2016.csv
us,2016,4/15/2016,,,DEM,48.61714,pres_pollaverages_1968-2016.csv
us,2016,4/16/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/16/2016,,,REP,40.67388,pres_pollaverages_1968-2016.csv
us,2016,4/16/2016,,,DEM,48.6134,pres_pollaverages_1968-2016.csv
us,2016,4/17/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/17/2016,,,REP,40.68413,pres_pollaverages_1968-2016.csv
us,2016,4/17/2016,,,DEM,48.79501,pres_pollaverages_1968-2016.csv
us,2016,4/18/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/18/2016,,,REP,40.75519,pres_pollaverages_1968-2016.csv
us,2016,4/18/2016,,,DEM,48.73502,pres_pollaverages_1968-2016.csv
us,2016,4/19/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/19/2016,,,REP,40.81068,pres_pollaverages_1968-2016.csv
us,2016,4/19/2016,,,DEM,48.68856,pres_pollaverages_1968-2016.csv
us,2016,4/20/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/20/2016,,,REP,40.88049,pres_pollaverages_1968-2016.csv
us,2016,4/20/2016,,,DEM,48.35302,pres_pollaverages_1968-2016.csv
us,2016,4/21/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/21/2016,,,REP,40.98873,pres_pollaverages_1968-2016.csv
us,2016,4/21/2016,,,DEM,48.31114,pres_pollaverages_1968-2016.csv
us,2016,4/22/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/22/2016,,,REP,41.19787,pres_pollaverages_1968-2016.csv
us,2016,4/22/2016,,,DEM,48.23935,pres_pollaverages_1968-2016.csv
us,2016,4/23/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/23/2016,,,REP,41.2365,pres_pollaverages_1968-2016.csv
us,2016,4/23/2016,,,DEM,48.31429,pres_pollaverages_1968-2016.csv
us,2016,4/24/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/24/2016,,,REP,40.76301,pres_pollaverages_1968-2016.csv
us,2016,4/24/2016,,,DEM,48.53803,pres_pollaverages_1968-2016.csv
us,2016,4/25/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
us,2016,4/25/2016,,,REP,40.88538,pres_pollaverages_1968-2016.csv
us,2016,4/25/2016,,,DEM,48.41153,pres_pollaverages_1968-2016.csv
us,2016,4/26/2016,,,OTHER,10.16349,pres_pollaverages_1968-2016.csv
