Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,SNP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Lead
8 Jun 2017,2017 general election[a],–,43.5%,41.0%,1.9%,7.6%,3.1%,1.7%,1.2%,2.5
6–7 Jun,Ipsos MORI/Evening Standard,1291,44%,36%,4%,7%,5%,2%,2%,8
6–7 Jun,BMG/The Herald,1199,46%,33%,5%,8%,4%,3%,2%,13
6–7 Jun,Survation,2798,41%,40%,2%,8%,4%,2%,2%,1
6–7 Jun,ICM/The Guardian,1532,46%,34%,5%,7%,5%,2%,1%,12
5–7 Jun,YouGov/The Times[b],2130,42%[b],35%[b],5%,10%,5%[c],2%,1%,7[b]
5–7 Jun,ComRes/Independent Archived 8 June 2017 at the Wayback Machine,2051,44%,34%,5%,9%,4%,2%,1%,10
4–7 Jun,Qriously/Wired,2213,39%,41%,4%,6%,3%,7%,7%,2
2–7 Jun,Panelbase Archived 8 June 2017 at the Wayback Machine,3018,44%,36%,5%,7%,4%,2%,2%,8
1–7 Jun,Kantar Public Archived 11 June 2017 at the Wayback Machine,2159,43%,38%,4%,7%,4%,2%,2%,5
4–6 Jun,Opinium,3002,43%,36%,5%,8%,5%,2%,1%,7
2–4 Jun,ICM/The Guardian,2000,45%,34%,5%,8%,4%,3%,1%,11
3 Jun,"London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]","London Bridge terror attack, national campaigning partially suspended on 4 June[3]"
3 Jun,Survation/Mail on Sunday,1049,40%,39%,5%,8%,4%,5%,5%,1
2–3 Jun,Survation/Good Morning Britain[d],1103,41%,40%,3%,6%,4%,1%,4%,1
1–2 Jun,YouGov/Sunday Times,1989,42%,38%,4%,9%,4%[c],2%,0%,4
31 May – 2 Jun,ICM/The Sun on Sunday,2051,45%,34%,5%,9%,4%,3%,1%,11
31 May – 2 Jun,"ComRes/Sunday Mirror, Independent on Sunday",2038,47%,35%,4%,8%,3%,1%,1%,12
31 May – 1 Jun,Norstat,1013,39%,35%,6%,8%,*,3%,9%,4
31 May – 1 Jun,ORB/Telegraph,1656,45%,36%,4%,8%,7%,7%,7%,9
30 May – 1 Jun,Ipsos MORI/Evening Standard[d],1046,45%,40%,2%,7%,3%[c],2%,1%,5
26 May – 1 Jun,Panelbase Archived 14 August 2017 at the Wayback Machine,1224,44%,36%,5%,7%,5%,2%,1%,8
30–31 May,Opinium/Observer,2006,43%,37%,5%,6%,5%,2%,1%,6
30–31 May,YouGov/The Times,1875,42%,39%,4%,7%,4%[c],2%,1%,3
25–30 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,1199,43%,33%,4%,11%,4%,3%,1%,10
26–29 May,ICM/The Guardian,2002,45%,33%,5%,8%,4%,3%,2%,12
26–29 May,Qriously,1153,43%,39%,5%,6%,3%,2%,3%,4
26–27 May,Survation/Good Morning Britain[d],1009,43%,37%,4%,8%,2%,1%,4%,6
25–26 May,YouGov/Sunday Times,2003,43%,36%,4%,9%,4%[c],2%,1%,7
24–26 May,ICM/The Sun on Sunday,2044,46%,32%,5%,8%,4%,2%,1%,14
24–26 May,"ComRes/Sunday Mirror, Independent on Sunday Archived 29 May 2017 at the Wayback Machine",2024,46%,34%,5%,8%,4%,2%,1%,12
24–25 May,ORB/Sunday Telegraph,1556,44%,38%,5%,7%,4%,2%,2%,6
24–25 May,YouGov/The Times,2052,43%,38%,4%,10%,5%[c],1%,0%,5
23–24 May,Opinium/Observer,2002,45%,35%,5%,7%,5%,2%,1%,10
19–23 May,Panelbase/The Sunday Times,1019,48%,33%,4%,7%,5%,2%,1%,15
22 May,"Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May","Manchester Arena bombing, national campaigning suspended 23–24 May"
18–22 May,Kantar Public Archived 6 June 2017 at the Wayback Machine,1200,42%,34%,4%,9%,4%,4%,2%,8
19–21 May,ICM/The Guardian,2004,47%,33%,4%,9%,4%,2%,1%,14
19–20 May,Survation/Good Morning Britain[d],1034,43%,34%,4%,8%,3%,2%,5%,9
19–20 May,Survation/Mail on Sunday,1017,46%,34%,3%,8%,4%,1%,3%,12
18–19 May,YouGov/Sunday Times,1925,44%,35%,3%,9%,5%[c],2%,1%,9
17–18 May,ORB/Sunday Telegraph,1551,46%,34%,7%,7%,4%,2%,2%,12
16–17 May,Opinium/Observer,2003,46%,33%,5%,8%,5%,2%,1%,13
16–17 May,YouGov/The Times,1861,45%,32%,6%,8%,5%,2%,1%,13
15–17 May,Ipsos MORI/Evening Standard,1053,49%,34%,2%,7%,6%,3%,*,15
12–15 May,Panelbase Archived 14 August 2017 at the Wayback Machine,1026,47%,33%,5%,7%,5%,3%,*,14
11–15 May,Kantar Public Archived 22 June 2017 at the Wayback Machine,1201,47%,29%,6%,8%,4%,4%,2%,18
12–14 May,ICM/The Guardian,2030,48%,28%,6%,10%,4%,3%,1%,20
3–14 May,GfK/Business Insider,1952,48%,28%,5%,7%,6%,3%,2%,20
12–13 May,Survation/Good Morning Britain,1016,48%,30%,4%,8%,4%,2%,4%,18
11–12 May,YouGov/Sunday Times,1630,49%,31%,3%,9%,5%[c],2%,1%,18
10–12 May,"ComRes/Sunday Mirror, Independent on Sunday",2007,48%,30%,5%,10%,4%,3%,1%,18
9–12 May,Opinium/Observer,2003,47%,32%,5%,8%,5%,2%,1%,15
10–11 May,ORB/Sunday Telegraph,1508,46%,32%,6%,8%,5%,4%,4%,14
9–10 May,YouGov/The Times,1651,46%,30%,5%,11%,6%[c],2%,1%,16
5–9 May,Panelbase Archived 14 August 2017 at the Wayback Machine,1027,48%,31%,5%,8%,4%,2%,2%,17
4–8 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,1201,44%,28%,8%,11%,4%,5%,1%,16
5–7 May,ICM/The Guardian,2038,49%,27%,6%,9%,4%,3%,1%,22
5–6 May,Survation/Good Morning Britain,1005,47%,30%,4%,7%,5%,3%,3%,17
4–5 May,YouGov/Sunday Times,1644,47%,28%,6%,11%,5%[c],2%,1%,19
3–5 May,ICM/Sun on Sunday,2020,46%,28%,8%,10%,4%,4%,*,18
4 May,"Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England","Local elections in England, Scotland and Wales; Mayoral elections in England"
3–4 May,ORB/Sunday Telegraph,1550,46%,31%,8%,9%,3%,3%,3%,15
2–3 May,Opinium/Observer,2005,46%,30%,7%,9%,4%,2%,1%,16
2–3 May,YouGov/The Times,2066,48%,29%,5%,10%,5%[c],2%,1%,19
28 Apr – 2 May,Panelbase Archived 10 June 2017 at the Wayback Machine,1034,47%,30%,5%,10%,5%,2%,1%,17
28 Apr – 2 May,ICM/The Guardian,1970,47%,28%,8%,8%,3%,4%,1%,19
28 Apr – 1 May,Qriously,1240,44%,28%,8%,9%,3%,4%,4%,15
27 Apr – 2 May,Kantar Public Archived 8 July 2017 at the Wayback Machine,1205,48%,24%,7%,11%,4%,4%,2%,24
27–28 Apr,YouGov/Sunday Times,1612,44%,31%,6%,11%,4%[c],2%,2%,13
26–28 Apr,ICM/Sun on Sunday,2012,47%,28%,8%,9%,4%,4%,*,19
25–28 Apr,Opinium/Observer,2007,47%,30%,7%,8%,5%,3%,1%,17
26–27 Apr,ORB/Sunday Telegraph,2093,42%,31%,8%,10%,4%,4%,4%,11
25–26 Apr,YouGov/The Times,1590,45%,29%,7%,10%,5%[c],3%,1%,16
21–25 Apr,Ipsos MORI/Evening Standard[permanent dead link],1004,49%,26%,4%,13%,4%,1%,4%,23
21–24 Apr,ICM/The Guardian,2024,48%,27%,7%,10%,4%,3%,1%,21
20–24 Apr,Panelbase Archived 17 May 2017 at the Wayback Machine,1026,49%,27%,5%,10%,5%,3%,1%,22
20–24 Apr,Kantar Public Archived 26 April 2017 at the Wayback Machine,1196,46%,24%,8%,11%,5%,4%,1%,22
Pre-23 Apr,Norstat/Sunday Express,1036,42%,26%,8%,10%,*,6%,8%,16
21–22 Apr,Survation/Mail on Sunday,2072,40%,29%,11%,11%,4%,2%,3%,11
20–21 Apr,YouGov/Sunday Times,1590,48%,25%,5%,12%,6%[c],3%,1%,23
19–21 Apr,ICM/ITV,2027,48%,26%,8%,10%,4%,3%,2%,22
19–20 Apr,ORB/Daily Telegraph,1860,44%,29%,10%,8%,5%,4%,4%,15
19–20 Apr,ComRes/Sunday Mirror Archived 22 April 2017 at the Wayback Machine,2074,50%,25%,7%,11%,4%,3%,1%,25
19–20 Apr,Opinium/Observer,2003,45%,26%,9%,11%,4%,3%,1%,19
2–20 Apr,YouGov,12746,44%,25%,9%,12%,6%[c],3%,1%,19
18–19 Apr,YouGov/The Times,1727,48%,24%,7%,12%,6%[c],2%,1%,24
18 Apr,ICM/The Guardian,1000,46%,25%,8%,11%,4%,4%,1%,21
18 Apr,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a snap general election to be held on 8 June 2017
14–17 Apr,ICM/The Guardian,2052,44%,26%,11%,10%,4%,4%,1%,18
12–13 Apr,YouGov/The Times,2069,44%,23%,10%,12%,6%[c],4%,1%,21
11–13 Apr,"ComRes/Sunday Mirror, Independent on Sunday Archived 15 April 2017 at the Wayback Machine",2026,46%,25%,9%,11%,4%,4%,2%,21
11–13 Apr,Opinium/Observer,2002,38%,29%,14%,7%,5%,5%,1%,9
5–6 Apr,YouGov/The Times,1651,42%,25%,11%,11%,8%[c],3%,1%,17
31 Mar – 2 Apr,ICM/The Guardian,2005,43%,25%,11%,11%,5%,4%,2%,18
26–27 Mar,YouGov/The Times,1957,43%,25%,10%,11%,6%[c],3%,1%,18
20–21 Mar,YouGov/The Times,1627,41%,25%,12%,11%,6%[c],3%,2%,16
17–19 Mar,ICM/The Guardian,2012,45%,26%,10%,9%,4%,4%,1%,19
15–17 Mar,"ComRes/Sunday Mirror, Independent on Sunday Archived 18 March 2017 at the Wayback Machine",2026,42%,25%,10%,12%,5%,4%,2%,17
14–17 Mar,Opinium/Observer,2007,41%,28%,13%,8%,6%,3%,1%,13
1–15 Mar,GfK,1938,41%,28%,12%,7%,5%,6%,1%,13%
13–14 Mar,YouGov/The Times,1631,44%,27%,9%,10%,5%[c],4%,0%,17
10–14 Mar,Ipsos MORI[permanent dead link],1032,43%,30%,6%,13%,4%,4%,–,13
8–9 Mar,YouGov/The Times,1598,44%,25%,11%,10%,6%[c],3%,1%,19
3–5 Mar,ICM/The Guardian,1787,44%,28%,11%,8%,4%,5%,1%,16
