Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,SNP,Grn,Others,Lead
2 Mar,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election
27–28 Feb,YouGov/The Times,1666,42%,25%,12%,11%,6%[c],4%,1%,17
23 Feb,Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab),Stoke-on-Trent Central by-election (Lab hold) and Copeland by-election (Con gain from Lab)
21–22 Feb,YouGov/The Times,2060,41%,25%,13%,11%,6%[c],3%,1%,16
17–19 Feb,ICM/The Guardian,2028,44%,26%,13%,8%,4%,4%,1%,18
14–16 Feb,Opinium/Observer,2004,40%,27%,14%,8%,5%,4%,2%,13
10–14 Feb,Ipsos MORI/Evening Standard,1014,40%,29%,9%,13%,5%,4%,0%,11
12–13 Feb,YouGov/The Times,2052,40%,24%,15%,11%,6%[c],4%,2%,16
8–10 Feb,"ComRes/Sunday Mirror, Independent on Sunday Archived 13 February 2017 at the Wayback Machine",1218,41%,26%,11%,11%,5%,4%,2%,15
5–6 Feb,YouGov/The Times,1984,40%,24%,14%,11%,6%[c],4%,1%,16
3–5 Feb,ICM/The Guardian,1984,42%,27%,12%,10%,5%,4%,1%,15
31 Jan – 1 Feb,Opinium/Observer,2005,37%,30%,14%,8%,5%,5%,2%,7
30–31 Jan,YouGov/The Times,1705,40%,26%,12%,11%,6%[c],4%,1%,14
23–24 Jan,YouGov/The Times,1643,40%,24%,14%,10%,6%[c],3%,0%,16
20–22 Jan,ICM/The Guardian,2052,42%,26%,13%,10%,4%,5%,1%,16
17–18 Jan,YouGov/The Times,1654,42%,25%,12%,11%,6%[c],3%,0%,17
13–16 Jan,Ipsos MORI,1132,43%,31%,6%,11%,4%,4%,*,12
13 Jan,Survation/Mail on Sunday,1177,38%,29%,13%,10%,4%,2%,4%,9
10–12 Jan,Opinium/Observer,2007,38%,30%,14%,7%,5%,4%,2%,8
9–10 Jan,YouGov/The Times,1660,39%,28%,13%,11%,6%[c],3%,1%,11
6–8 Jan,ICM/The Guardian,2000,42%,28%,12%,9%,4%,4%,*,14
3–4 Jan,YouGov/The Times,1740,39%,26%,14%,10%,6%[c],4%,1%,13
