Date(s) conducted,Pollster/client(s),Sample size,Con,Milton (Ind)[48],LD,Lab,Others,Lead
Date(s) conducted,Pollster/client(s),Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
12 Dec 2019,2019 general election,–,44.9%,7.4%,39.2%,7.7%,0.8%,5.7
21–26 Nov 2019,Deltapoll/Peter Kellner,500,40%,7%,41%,11%,1%,1.0
8 Jun 2017,2017 general election,–,54.6%,54.6%,23.9%,19.0%,2.6%,30.7
