Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
7 Jun 2001,2001 general election[4],2001 general election[4],–,40.7%,31.7%,18.3%,9.3%,9.0
6 Jun,Gallup,The Daily Telegraph,2399,47%,30%,18%,?,17
5–6 Jun,MORI,The Times,1906,45%,30%,18%,?,15
2–4 Jun,ICM,The Guardian,1009,43%,32%,19%,6%,11
2–3 Jun,ICM,Evening Standard,1381,47%,30%,18%,?,17
3 Jun,Rasmussen,The Independent,?,44%,33%,16%,?,11
31 May – 2 Jun,MORI,The Sunday Telegraph,1070,50%,27%,17%,?,23
31 May – 1 Jun,ICM,The Observer,1005,46%,34%,15%,?,12
31 May – 1 Jun,NOP,The Sunday Times,1105,47%,30%,16%,?,17
30 May – 1 Jun,ICM,Channel 4,1007,43%,31%,19%,?,12
29 May,MORI,The Times,1013,48%,30%,16%,?,18
28–29 May,Gallup,The Daily Telegraph,1462,47%,31%,16%,?,16
26–28 May,ICM,The Guardian,1000,47%,28%,17%,8%,19
27 May,Rasmussen,The Independent,?,44%,32%,17%,?,12
24–25 May,NOP,The Sunday Times,?,49%,30%,14%,?,19
21–23 May,Gallup,The Daily Telegraph,1000,48%,32%,15%,?,16
22 May,MORI,Times,1066,52%,27%,16%,?,25
22 May,Rasmussen,The Independent,?,44%,32%,16%,?,12
19–21 May,ICM,The Guardian,1000,45%,32%,17%,7%,13
20 May,Gallup,BES,?,55%,25%,14%,?,30
17–18 May,NOP,The Sunday Times,1107,49%,30%,14%,?,19
15 May,MORI,The Times,1019,54%,28%,12%,6%,26
14–15 May,Gallup,The Daily Telegraph,1004,48%,32%,13%,7%,16
13–14 May,ICM,The Guardian,1004,46%,31%,16%,7%,15
14 May,Gallup,BES,?,53%,32%,11%,?,21
10–14 May,MORI,The Economist,1846,54%,26%,14%,6%,28
14 May,Dissolution of Parliament and the official start of the election campaign[5],Dissolution of Parliament and the official start of the election campaign[5],Dissolution of Parliament and the official start of the election campaign[5],Dissolution of Parliament and the official start of the election campaign[5],Dissolution of Parliament and the official start of the election campaign[5],Dissolution of Parliament and the official start of the election campaign[5],Dissolution of Parliament and the official start of the election campaign[5],Dissolution of Parliament and the official start of the election campaign[5]
11–13 May,ICM,Evening Standard,1437,48%,32%,14%,6%,16
13 May,Rasmussen,The Independent,1004,46%,32%,13%,9%,14
10–12 May,MORI,The Sunday Telegraph,1030,51%,31%,13%,5%,20
10–11 May,ICM,The Observer,1011,48%,32%,15%,5%,16
10–11 May,NOP,The Sunday Times,1003,49%,32%,13%,6%,17
2–8 May,Gallup,The Daily Telegraph,1000,49%,32%,13%,6%,17
8 May,MORI,The Times,1046,54%,30%,13%,?,24
4–7 May,NOP,Daily Express,1000,51%,31%,13%,6%,20
1–6 May,NOP,Channel 4,1600,49%,34%,11%,?,15
26 Apr – 2 May,NOP,Channel 4,~2000,51%,29%,13%,5%,22
30 Apr – 1 May,MORI,The Sun,1008,50%,32%,13%,5%,18
19–24 Apr,MORI,The Times,1935,50%,30%,13%,7%,20
20–22 Apr,ICM,The Guardian,1005,47%,33%,14%,6%,14
10–12 Apr,MORI,Daily Mail,1003,53%,29%,12%,6%,24
4–10 Apr,Gallup,The Daily Telegraph,1009,53%,27%,15%,5%,26
30 Mar – 4 Apr,NOP,Channel 4,1575,52%,30%,12%,6%,22
30–31 Mar,MORI,The Sunday Telegraph,1034,48%,32%,15%,5%,16
29–30 Mar,ICM,The Guardian,1000,49%,34%,13%,4%,15
22–27 Mar,MORI,The Times,1945,50%,31%,14%,5%,19
16–18 Mar,ICM,The Guardian,1426,44%,35%,16%,6%,9
15–16 Mar,NOP,The Sunday Times,1426,51%,31%,13%,5%,20
17 Feb – 13 Mar,Gallup,The Daily Telegraph,1016,55%,29%,12%,3%,26
15–20 Feb,MORI,The Times,1900,50%,30%,14%,5%,20
16–18 Feb,ICM,The Guardian,1000,47%,32%,15%,7%,15
31 Jan – 7 Feb,Gallup,The Daily Telegraph,1001,50%,29%,17%,4%,21
25–26 Jan,MORI,Mail on Sunday,1007,49%,31%,14%,6%,18
18–22 Jan,MORI,The Times,2083,50%,31%,14%,5%,19
19–21 Jan,ICM,The Guardian,1004,44%,34%,16%,6%,10
10–16 Jan,Gallup,The Daily Telegraph,1006,51%,31%,13%,6%,20
11–13 Jan,MORI,The Sunday Telegraph,1007,52%,31%,11%,6%,21
11–12 Jan,NOP,The Sunday Times,1232,48%,33%,14%,5%,15
4–6 Jan,MORI,Mail on Sunday,1005,46%,35%,14%,5%,11
