Polling firm,Last date of polling[1],Link,Stephen Harper,Thomas Mulcair,Justin Trudeau,Elizabeth May,Margin of error[1]
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Margin of error[1]
Leger Marketing,"July 16, 2015",[124],25.0,27.0,16.0,,±2.5 pp
Forum Research,"July 13, 2015",[126],22.0,31.0,21.0,5,±3 pp
Nanos Research,"July 10, 2015",[428],26.0,28.0,25.0,4,±3.1 pp
Forum Research,"July 7, 2015",[127],25.0,27.0,23.0,6,±3 pp
Nanos Research,"July 3, 2015",[429],27.0,27.0,26.0,4,±3.1 pp
Forum Research,"June 29, 2015",[129],25.0,29.0,21.0,7,±3 pp
Nanos Research,"June 26, 2015",[430],28.0,25.0,27.0,4,±3.1 pp
Nanos Research,"June 19, 2015",[431],27.0,27.0,27.0,3,±3.1 pp
Nanos Research,"June 12, 2015",[432],29.0,28.0,26.0,3,±3.1 pp
Angus Reid,"June 7, 2015",[433],26.0,24.0,19.0,,±1.2 pp
Nanos Research,"June 5, 2015",[434],29.0,25.0,27.0,4,±3.1 pp
Nanos Research,"May 29, 2015",[142],29.0,22.0,27.0,4,±3.1 pp
Nanos Research,"May 22, 2015",[435],32.0,20.0,29.0,5,±3.1 pp
Nanos Research,"May 15, 2015",[436],31.0,20.0,29.0,5,±3.1 pp
Nanos Research,"May 8, 2015",[437],31.0,21.0,28.0,5,±3.1 pp
Nanos Research,"May 1, 2015",[438],31.0,21.0,30.0,5,±3.1 pp
Leger Marketing,"April 30, 2015",[149],25.0,19.0,23.0,,±2.5 pp
Nanos Research,"April 24, 2015",[439],29.0,21.0,30.0,5,±3.1 pp
Nanos Research,"April 17, 2015",[154],29.0,20.0,31.0,5,±3.1 pp
Nanos Research,"April 10, 2015",[440],31.0,19.0,30.0,4,±3.1 pp
Ipsos Reid,"April 7, 2015",[441],38.0,31.0,30.0,,±3.1 pp
Nanos Research,"April 3, 2015",[442],31.0,18.0,29.0,4,±3.1 pp
Nanos Research,"March 27, 2015",[443],31.0,17.0,31.0,4,±3.1 pp
Nanos Research,"March 20, 2015",[444],34.0,16.0,31.0,4,±3.1 pp
Leger Marketing,"March 18, 2015",[164],25.0,17.0,23.0,,±2.5 pp
Nanos Research,"March 13, 2015",[445],34.0,16.0,30.0,4,±3.1 pp
Nanos Research,"March 6, 2015",[446],34.0,17.0,31.0,4,±3.1 pp
Nanos Research,"February 27, 2015",[169],34.0,17.0,31.0,4,±3.1 pp
Nanos Research,"February 20, 2015",[447],33.0,16.0,31.0,4,±3.1 pp
Nanos Research,"February 13, 2015",[448],33.0,16.0,31.0,4,±3.1 pp
Nanos Research,"February 6, 2015",[449],32.0,17.0,31.0,3,±3.1 pp
Leger Marketing,"February 2, 2015",[177],25.0,16.0,23.0,,±2.5 pp
Nanos Research,"January 30, 2015",[450],31.0,17.0,31.0,3,±3.1 pp
Nanos Research,"January 23, 2015",[451],31.0,19.0,30.0,4,±3.1 pp
Nanos Research,"January 16, 2015",[452],31.0,18.0,31.0,5,±3.1 pp
Nanos Research,"January 9, 2015",[453],30.0,18.0,31.0,5,±3.1 pp
Nanos Research,"January 2, 2015",[454],33.0,18.0,30.0,4,±3.1 pp
Nanos Research,"December 26, 2014",[455],33.0,18.0,32.0,4,±3.1 pp
Nanos Research,"December 19, 2014",[456],33.0,18.0,31.0,4,±3.1 pp
Angus Reid,"December 13, 2014",[457],30.0,16.0,28.0,,±1.2 pp
Nanos Research,"December 12, 2014",[458],33.0,19.0,31.0,3,±3.1 pp
Leger Marketing,"December 11, 2014",[188],24.0,16.0,27.0,,±2.5 pp
Nanos Research,"December 5, 2014",[459],32.0,20.0,30.0,4,±3.1 pp
Nanos Research,"November 28, 2014",[460],33.0,20.0,29.0,3,±3.1 pp
Nanos Research,"November 21, 2014",[461],32.0,20.0,29.0,3,±3.1 pp
Nanos Research,"November 14, 2014",[462],32.0,20.0,29.0,3,±3.1 pp
Nanos Research,"November 7, 2014",[463],32.0,20.0,30.0,4,±3.1 pp
Leger Marketing,"November 6, 2014",[464],26.0,16.0,28.0,,±2.5 pp
Nanos Research,"October 31, 2014",[465],29.0,20.0,32.0,4,±3.1 pp
Nanos Research,"October 24, 2014",[466],29.0,19.0,34.0,5,±3.1 pp
Nanos Research,"October 17, 2014",[467],30.0,18.0,35.0,4,±3.1 pp
Leger Marketing,"October 16, 2014",[464],23.0,17.0,26.0,,±2.5 pp
Nanos Research,"October 10, 2014",[468],30.0,17.0,35.0,4,±3.1 pp
Nanos Research,"October 3, 2014",[469],28.0,18.0,36.0,4,±3.1 pp
Nanos Research,"September 26, 2014",[470],28.0,18.0,35.0,3,±3.1 pp
Angus Reid,"September 19, 2014",[200],27.0,14.0,27.0,4,±2.5 pp
Nanos Research,"September 19, 2014",[471],28.0,18.0,34.0,5,±3.1 pp
Nanos Research,"September 12, 2014",[472],28.0,17.0,34.0,5,±3.1 pp
Nanos Research,"September 5, 2014",[473],29.0,15.0,34.0,5,±3.1 pp
Nanos Research,"August 29, 2014",[474],28.0,15.0,34.0,6,±3.1 pp
Nanos Research,"August 22, 2014",[475],27.0,16.0,32.0,6,±3.1 pp
Forum Research,"August 19, 2014",[476],29.0,15.0,31.0,8,±2 pp
Nanos Research,"August 15, 2014",[477],26.0,19.0,32.0,6,±3.1 pp
Nanos Research,"August 8, 2014",[478],26.0,19.0,31.0,7,±3.1 pp
Nanos Research,"August 1, 2014",[479],29.0,20.0,29.0,6,±3.1 pp
Nanos Research,"July 25, 2014",[480],30.0,20.0,30.0,5,±3.1 pp
Forum Research,"July 18, 2014",[481],27.0,16.0,30.0,7,±2 pp
Nanos Research,"July 18, 2014",[482],31.0,18.0,31.0,5,±3.1 pp
Nanos Research,"July 11, 2014",[483],31.0,19.0,29.0,5,±3.1 pp
Nanos Research,"July 4, 2014",[484],29.0,18.0,30.0,7,±3.1 pp
Nanos Research,"June 27, 2014",[485],28.0,17.0,31.0,7,±3.1 pp
Nanos Research,"June 20, 2014",[486],30.0,16.0,30.0,6,±3.1 pp
Forum Research,"June 17, 2014",[210],28.0,16.0,27.0,8,±2 pp
Nanos Research,"June 13, 2014",[487],28.0,14.0,33.0,7,±3.1 pp
Angus Reid,"June 12, 2014",[211],27.0,17.0,23.0,5,±1.2 pp
Nanos Research,"June 6, 2014",[488],30.0,14.0,32.0,6,±3.1 pp
Nanos Research,"May 30, 2014",[489],32.0,15.0,30.0,6,±3.1 pp
Angus Reid,"May 23, 2014",[212],27.0,17.0,23.0,4,±3.4 pp
Forum Research,"May 23, 2014",[213],26.0,17.0,28.0,8,±2 pp
Nanos Research,"May 23, 2014",[490],30.0,17.0,30.0,7,±3.1 pp
Nanos Research,"May 16, 2014",[491],31.0,19.0,27.0,6,±3.1 pp
Nanos Research,"May 9, 2014",[492],30.0,19.0,27.0,6,±3.1 pp
Nanos Research,"May 2, 2014",[493],27.0,20.0,27.0,6,±3.1 pp
Forum Research,"April 29, 2014",[215],25.0,17.0,30.0,10,±2 pp
Nanos Research,"April 25, 2014",[494],29.0,19.0,26.0,6,±3.1 pp
Nanos Research,"April 18, 2014",[495],29.0,19.0,27.0,6,±3.1 pp
Angus Reid,"April 15, 2014",[217],27.0,16.0,20.0,4,±3.4 pp
Nanos Research,"April 11, 2014",[496],30.0,20.0,27.0,6,±3.1 pp
Nanos Research,"April 4, 2014",[497],31.0,20.0,28.0,6,±3.1 pp
Forum Research,"March 28, 2014",[219],27.0,17.0,29.0,8,±2 pp
