Date(s) conducted,Polling organisation/client,Sample size,DUP,SF,UUP,SDLP,All,TUV,GPNI,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Others,Lead
8 Jun 2017,2017 general election,–,36.0%,29.4%,10.3%,11.7%,7.9%,0.4%,0.9%,3.3%,6.6
1–3 Jun 2017,Lucid Talk[permanent dead link],3419,28.9%,28.1%,15.4%,13.8%,9.9%,0.1%,0.6%,3.2%,0.8
17–18 May 2017,Lucid Talk,3341,28.8%,27.9%,15.7%,13.7%,9.8%,0.1%,0.7%,3.3%,0.9
27–29 Apr 2017,Lucid Talk Archived 29 June 2017 at the Wayback Machine,3187,29.4%,27.7%,14.8%,12.4%,10.2%,0.6%,1.8%,3.1%,1.7
2 Mar 2017,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election
5 May 2016,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election,Northern Ireland Assembly election
7 May 2015,2015 general election,–,25.7%,24.5%,16.0%,13.9%,8.6%,2.3%,1.0%,8.2%,1.2
