Dates conducted,Pollster,Client,Sample size,Hypothetical Labour leader,Lab,Con,LD,Others,Lead
Dates conducted,Pollster,Client,Sample size,Hypothetical Labour leader,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
5–7 Jun 2009,ComRes[273],The Independent,1001,Alan Johnson,26%,36%,19%,19%,10
5–7 Jun 2009,ComRes[273],The Independent,1001,Jack Straw,25%,36%,19%,20%,11
5–7 Jun 2009,ComRes[273],The Independent,1001,David Miliband,25%,37%,19%,19%,12
5–7 Jun 2009,ComRes[273],The Independent,1001,Jon Cruddas,22%,37%,21%,21%,15
5–7 Jun 2009,ComRes[273],The Independent,1001,Ed Balls,23%,38%,20%,19%,15
5–7 Jun 2009,ComRes[273],The Independent,1001,Harriet Harman,22%,38%,20%,20%,16
5–7 Jun 2009,ComRes[273],The Independent,1001,James Purnell,21%,38%,21%,20%,17
