Date,Firm,Primary vote,Primary vote,Primary vote,Primary vote,TPP vote,TPP vote,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,L/NP*,Labor,Green,Other,Labor,L/NP,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
,,,,,,,,,,,,
16–18 Sep 2011,Newspoll,48%,26%,13%,13%,42%,58%,,,,,
13–18 Sep 2011,Essential[e 97],49%,32%,10%,9%,44%,56%,,,,,
10–11/17–18 Sep 2011,Morgan (face),46.5%,35.5%,10%,8%,44.5%,55.5%,,,,,
7–11 Sep 2011,Essential[e 98],49%,32%,10%,10%,44%,56%,,,,,
8–10 Sep 2011,Nielsen[40],48%,27%,13%,12%,42%,58%,,,,,
2–4 Sep 2011,Newspoll,50%,27%,12%,11%,41%,59%,,,,,
31 Aug–4 Sep 2011,Essential[e 99],49%,30%,11%,10%,43%,57%,,,,,
27–28 Aug/3–4 Sep 2011,Morgan (face),46.5%,32.5%,12.5%,8.5%,45.5%,54.5%,,,,,
24–28 Aug 2011,Essential[e 100],49%,32%,10%,8%,44%,56%,,,,,
19–21 Aug 2011,Newspoll,47%,27%,14%,12%,43%,57%,,,,,
17–21 Aug 2011,Essential[e 101],50%,32%,10%,8%,44%,56%,,,,,
13–14/20–21 Aug 2011,Morgan (face),49.5%,32.5%,11%,7%,44.5%,55.5%,,,,,
10–14 Aug 2011,Essential[e 102],50%,31%,10%,9%,43%,57%,,,,,
11–13 Aug 2011,Nielsen[40],48%,28%,12%,11%,42%,58%,,,,,
9–10 Aug 2011,Morgan (phone),49%,29.5%,12%,9.5%,45.5%,54.5%,,,,,
5–7 Aug 2011,Newspoll,50%,30%,10%,10%,43%,57%,,,,,
3–7 Aug 2011,Essential[e 103],50%,31%,10%,9%,43%,57%,,,,,
30–31 Jul/6–7 Aug 2011,Morgan (face),47.5%,34.5%,12%,6%,46.5%,53.5%,,,,,
c. 3 Aug 2011,Galaxy[41],48%,31%,13%,8%,44%,56%,,,,,
27–31 Jul 2011,Essential[e 104],49%,31%,11%,9%,44%,56%,,,,,
22–24 Jul 2011,Newspoll,47%,29%,13%,11%,44%,56%,,,,,
20–24 Jul 2011,Essential[e 105],48%,32%,11%,9%,45%,55%,,,,,
16–17/23–24 Jul 2011,Morgan (face),47%,34.5%,12%,6.5%,47%,53%,,,,,
13–17 Jul 2011,Essential[e 106],49%,31%,11%,9%,44%,56%,,,,,
14–16 Jul 2011,Nielsen[40],51%,26%,11%,15%,39%,61%,,,,,
13–14 Jul 2011,Morgan (phone),52.5%,27.5%,10.5%,9.5%,40%,60%,,,,,
9–10 Jul 2011,Morgan (face),48%,33.5%,11.5%,7%,45.5%,54.5%,,,,,
8–10 Jul 2011,Newspoll,49%,27%,12%,12%,42%,58%,,,,,
6–10 Jul 2011,Essential[e 107],50%,30%,11%,9%,43%,57%,,,,,
29 Jun–3 Jul 2011,Essential[e 108],49%,32%,11%,9%,44%,56%,,,,,
25–26 Jun/1–2 Jul 2011,Morgan (face),49%,31.5%,11.5%,8%,43.5%,56.5%,,,,,
24–26 Jun 2011,Newspoll,46%,30%,11%,13%,45%,55%,,,,,
22–26 Jun 2011,Essential[e 109],48%,32%,11%,9%,45%,55%,,,,,
11–12/18–19 Jun 2011,Morgan (face),46.5%,35%,11.5%,7%,46.5%,53.5%,,,,,
15–19 Jun 2011,Essential[e 110],47%,32%,12%,9%,45%,55%,,,,,
14–16 Jun 2011,Nielsen[40],49%,27%,12%,12%,41%,59%,,,,,
8–13 Jun 2011,Essential[e 111],46%,34%,12%,8%,46%,54%,,,,,
10–12 Jun 2011,Newspoll,46%,31%,11%,12%,45%,55%,,,,,
4–5 Jun 2011,Morgan (face),46.5%,33.5%,12%,8%,46%,54%,,,,,
1–5 Jun 2011,Essential[e 112],46%,34%,12%,8%,47%,53%,,,,,
31 May–2 Jun 2011,Morgan (phone),50%,30%,9.5%,10.5%,42%,58%,,,,,
25–29 May 2011,Essential[e 113],47%,34%,12%,8%,46%,54%,,,,,
27–29 May 2011,Newspoll,44%,34%,14%,8%,48%,52%,,,,,
21–22/28–29 May 2011,Morgan (face),45.5%,36%,12%,6.5%,48.5%,51.5%,,,,,
18–22 May 2011,Essential[e 114],46%,34%,12%,8%,47%,53%,,,,,
14–15 May 2011,Morgan (face),44.5%,36%,13%,6.5%,48.5%,51.5%,,,,,
13–15 May 2011,Newspoll,46%,33%,10%,11%,46%,54%,,,,,
11–15 May 2011,Essential[e 115],46%,36%,11%,7%,48%,52%,,,,,
12–14 May 2011,Nielsen[40],47%,31%,10%,13%,44%,56%,,,,,
7–8 May 2011,Morgan (face),48%,34%,11%,7%,45.5%,54.5%,,,,,
4–8 May 2011,Essential[e 116],47%,35%,10%,8%,46%,54%,,,,,
3–4 May 2011,Morgan (phone),46%,34%,11%,9%,46.5%,53.5%,,,,,
29 Apr–1 May 2011,Newspoll,44%,33%,12%,11%,47%,53%,,,,,
28 Apr–1 May 2011,Essential[e 117],47%,35%,9%,9%,46%,54%,,,,,
23–24/30 Apr–1 May 2011,Morgan (face),46%,37%,10.5%,6.5%,48%,52%,,,,,
20–26 Apr 2011,Essential[e 118],47%,35%,10%,8%,46%,54%,,,,,
13–17 Apr 2011,Essential[e 119],47%,35%,11%,8%,46%,54%,,,,,
9–10/16–17 Apr 2011,Morgan (face),46%,35%,11.5%,7.5%,47%,53%,,,,,
14–16 Apr 2011,Nielsen[40],47%,31%,12%,11%,44%,56%,,,,,
6–10 Apr 2011,Essential[e 120],46%,35%,11%,8%,47%,53%,,,,,
2–3 Apr 2011,Morgan (face),48%,36.5%,9.5%,6%,46.5%,53.5%,,,,,
1–3 Apr 2011,Newspoll,45%,32%,12%,12%,45%,55%,,,,,
30 Mar–3 Apr 2011,Essential[e 121],46%,36%,10%,8%,47%,53%,,,,,
26–27 Mar 2011,Morgan (face),47%,35.5%,11.5%,6%,47%,53%,,,,,
23–27 Mar 2011,Essential[e 122],46%,37%,10%,7%,48%,52%,,,,,
22–24 Mar 2011,Morgan (phone),47%,34.5%,10%,8.5%,46%,54%,,,,,
19–20 Mar 2011,Morgan (face),40%,39.5%,12.5%,8%,52.5%,47.5%,,,,,
18–20 Mar 2011,Newspoll,40%,36%,12%,12%,51%,49%,,,,,
16–20 Mar 2011,Essential[e 123],46%,36%,10%,8%,47%,53%,,,,,
16–17 Mar 2011,Morgan (phone),42.5%,35.5%,12%,10%,49%,51%,,,,,
12–13 Mar 2011,Morgan (face),44.5%,38%,11.5%,6%,49.5%,50.5%,,,,,
9–13 Mar 2011,Essential[e 124],47%,35%,10%,8%,46%,54%,,,,,
10–12 Mar 2011,Nielsen[40],45%,33%,12%,10%,46%,54%,,,,,
8–10 Mar 2011,Morgan (phone),47.5%,31.5%,10%,11%,44%,56%,,,,,
5–6 Mar 2011,Morgan (face),46.5%,37%,9.5%,7%,48%,52%,,,,,
4–6 Mar 2011,Newspoll,45%,30%,15%,10%,46%,54%,,,,,
2–6 Mar 2011,Essential[e 125],47%,36%,10%,7%,47%,53%,,,,,
26–27 Feb 2011,Morgan (face),41%,41%,11.5%,6.5%,53.5%,46.5%,,,,,
22–27 Feb 2011,Essential[e 126],45%,37%,10%,7%,48%,52%,,,,,
21–23 Feb 2011,Morgan (phone),45.5%,36%,9.5%,9%,47%,53%,,,,,
18–20 Feb 2011,Newspoll,41%,36%,13%,10%,50%,50%,,,,,
15–20 Feb 2011,Essential[e 127],43%,39%,11%,7%,49%,51%,,,,,
12–13/19–20 Feb 2011,Morgan (face),43%,39.5%,11.5%,6%,51%,49%,,,,,
8–13 Feb 2011,Essential[e 128],44%,40%,10%,6%,50%,50%,,,,,
10–12 Feb 2011,Nielsen[40],46%,32%,12%,9%,46%,54%,,,,,
4–6 Feb 2011,Newspoll,44%,32%,14%,10%,48%,52%,,,,,
1–6 Feb 2011,Essential[e 129],46%,38%,10%,7%,49%,51%,,,,,
29–30 Jan/5–6 Feb 2011,Morgan (face),43%,39%,12.5%,5.5%,51.5%,48.5%,,,,,
1–3 Feb 2011,Morgan (phone),42.5%,35%,12%,10.5%,49%,51%,,,,,
25–30 Jan 2011,Essential[e 130],45%,37%,11%,7%,49%,51%,,,,,
18–23 Jan 2011,Essential[e 131],45%,37%,11%,7%,49%,51%,,,,,
15–16/22–23 Jan 2011,Morgan (face),41.5%,40.5%,11.5%,6.5%,52.5%,47.5%,,,,,
11–16 Jan 2011,Essential[e 132],46%,38%,10%,6%,48%,52%,,,,,
8–9 Jan 2011,Morgan (face),44%,38.5%,13%,4.5%,50.5%,49.5%,,,,,
14–19 Dec 2010,Essential[e 133],46%,38%,10%,7%,48%,52%,,,,,
11–12 Dec 2010,Morgan (face),43%,38%,13.5%,5.5%,50%,50%,,,,,
8–12 Dec 2010,Morgan (phone),46%,31%,13.5%,9.5%,45.5%,54.5%,,,,,
7–12 Dec 2010,Essential[e 134],46%,38%,10%,7%,48%,52%,,,,,
4–5 Dec 2010,Morgan (face),40.5%,40.5%,13.5%,5.5%,53%,47%,,,,,
3–5 Dec 2010,Newspoll,41%,34%,14%,11%,50%,50%,,,,,
30 Nov–5 Dec 2010,Essential[e 135],45%,38%,11%,6%,49%,51%,,,,,
23–28 Nov 2010,Essential[e 136],44%,38%,11%,7%,49%,51%,,,,,
20–21/27–28 Nov 2010,Morgan (face),42%,40.5%,12%,5.5%,52.5%,47.5%,,,,,
19–21 Nov 2010,Newspoll,39%,36%,14%,11%,52%,48%,,,,,
16–21 Nov 2010,Essential[e 137],45%,38%,10%,8%,49%,51%,,,,,
18–20 Nov 2010,Nielsen[42],43%,35%,13%,8%,49%,51%,,,,,
9–14 Nov 2010,Essential[e 138],45%,39%,10%,7%,49%,51%,,,,,
6–7/13–14 Nov 2010,Morgan (face),40%,41%,12%,7%,54%,46%,,,,,
5–7 Nov 2010,Newspoll,43%,34%,13%,10%,48%,52%,,,,,
2–7 Nov 2010,Essential[e 139],46%,39%,8%,7%,49%,51%,,,,,
26–31 Oct 2010,Essential[e 140],44%,41%,8%,7%,50%,50%,,,,,
23–24/30–31 Oct 2010,Morgan (face),40.5%,43%,10.5%,6%,54%,46%,,,,,
22–24 Oct 2010,Newspoll,43%,33%,14%,10%,48%,52%,,,,,
19–24 Oct 2010,Essential[e 141],44%,41%,8%,7%,50%,50%,,,,,
21–23 Oct 2010,Nielsen[42],43%,34%,14%,8%,49%,51%,,,,,
12–17 Oct 2010,Essential[e 142],44%,40%,9%,7%,50%,50%,,,,,
9–10/16–17 Oct 2010,Morgan (face),40.5%,43%,10.5%,6%,54%,46%,,,,,
8–10 Oct 2010,Newspoll,42%,35%,14%,9%,50%,50%,,,,,
5–10 Oct 2010,Essential[e 143],44%,41%,8%,7%,50%,50%,,,,,
2–3 Oct 2010,Morgan (face),38.5%,44%,12%,5.5%,55.5%,44.5%,,,,,
30 Sep–1 Oct 2010,Essential[e 144],44%,42%,8%,8%,51%,49%,,,,,
21–26 Sep 2010,Essential[e 145],43%,42%,9%,6%,51%,49%,,,,,
18–19 Sep 2010,Morgan (face),41%,40.5%,13%,5.5%,53.5%,46.5%,,,,,
14–19 Sep 2010,Essential[e 146],45%,40%,9%,6%,50%,50%,,,,,
15–16 Sep 2010,Morgan (phone),42.5%,35.5%,15%,7%,50.5%,49.5%,,,,,
10–12 Sep 2010,Newspoll,41%,34%,14%,11%,50%,50%,,,,,
7–12 Sep 2010,Essential[e 147],44%,39%,10%,6%,50%,50%,,,,,
31 Aug–5 Sep 2010,Essential[e 148],43%,39%,11%,8%,51%,49%,,,,,
28–29 Aug/4–5 Sep 2010,Morgan (face),39.5%,40.5%,15%,5%,54.5%,45.5%,,,,,
24–29 Aug 2010,Essential[e 149],44%,38%,11%,7%,50%,50%,,,,,
25–26 Aug 2010,Morgan (phone),40%,36%,13%,11%,51%,49%,,,,,
2010 election,,43.3%,38.0%,11.8%,7.0%,50.1%,49.9%,,,,,
c. 21 Aug 2010,Nielsen[43],41.5%,39%,12%,7.5%,52%,48%,,,,,
17–19 Aug 2010,Newspoll,43.4%,36.2%,13.9%,6.5%,50.2%,49.8%,,,,,
13–19 Aug 2010,Essential[e 150],43%,38%,12%,7%,51%,49%,,,,,
*Liberal–National Coalition,*Liberal–National Coalition,*Liberal–National Coalition,*Liberal–National Coalition,*Liberal–National Coalition,*Liberal–National Coalition,*Liberal–National Coalition,*Liberal–National Coalition,*Liberal–National Coalition,,,,
