Date,Firm,Primary vote,Primary vote,Primary vote,Primary vote,TPP vote,TPP vote,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,L/NP*,Labor,Green,Other,Labor,L/NP,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
,,,,,,,,,,,,
13–15 Jun 2013,Nielsen[26],47%,29%,11%,12%,43%,57%,,,,,
11–13 Jun 2013,Galaxy[27],47%,32%,11%,10%,45%,55%,,,,,
7–10 Jun 2013,Morgan (multi),46%,31%,9.5%,13.5%,44%,56%,,,,,
6–10 Jun 2013,Essential[e 14],47%,36%,8%,9%,46%,54%,,,,,
31 May–2 Jun 2013,Newspoll,49%,30%,9%,12%,42%,58%,,,,,
31 May–2 Jun 2013,Morgan (multi),45.5%,31.5%,9.5%,13.5%,44.5%,55.5%,,,,,
30 May–2 Jun 2013,Essential[e 15],48%,35%,8%,9%,45%,55%,,,,,
24–26 May 2013,Morgan (multi),45.5%,33.5%,9.5%,11.5%,45.5%,54.5%,,,,,
23–26 May 2013,Essential[e 16],48%,34%,8%,10%,45%,55%,,,,,
17–19 May 2013,Newspoll,46%,31%,9%,14%,44%,56%,,,,,
17–19 May 2013,Morgan (multi),45.5%,32%,10%,12.5%,45%,55%,,,,,
16–19 May 2013,Essential[e 17],48%,35%,8%,9%,45%,55%,,,,,
16–18 May 2013,Nielsen[28],44%,32%,11%,13%,46%,54%,,,,,
15–16 May 2013,Galaxy[29],46%,34%,10%,10%,46%,54%,,,,,
10–12 May 2013,Morgan (multi),46.5%,32%,9.5%,12%,44%,56%,,,,,
9–12 May 2013,Essential[e 18],48%,34%,9%,10%,45%,55%,,,,,
3–5 May 2013,Newspoll,47%,31%,10%,12%,44%,56%,,,,,
3–5 May 2013,Morgan (multi),46%,32%,8.5%,13.5%,44%,56%,,,,,
2–5 May 2013,Essential[e 19],48%,33%,9%,10%,44%,56%,,,,,
2 May 2013,ReachTEL[22],48.5%,29.3%,10.2%,11.9%,42%,58%,,,,,
26–28 Apr 2013,Morgan (multi),48%,30.5%,11%,10.5%,43.5%,56.5%,,,,,
25–28 Apr 2013,Essential[e 20],48%,34%,9%,9%,45%,55%,,,,,
18–22 Apr 2013,Morgan (multi),44%,32.5%,10.5%,13%,46%,54%,,,,,
18–22 Apr 2013,Essential[e 21],48%,34%,9%,9%,45%,55%,,,,,
19–21 Apr 2013,Newspoll,46%,32%,10%,12%,45%,55%,,,,,
11–14 Apr 2013,Morgan (multi),47.5%,32%,10.5%,10%,44%,56%,,,,,
11–14 Apr 2013,Essential[e 22],48%,34%,9%,9%,45%,55%,,,,,
11–13 Apr 2013,Nielsen[30],49%,29%,12%,11%,43%,57%,,,,,
9–11 Apr 2013,Galaxy[31],47%,33%,12%,8%,46%,54%,,,,,
2 May 2013,ReachTEL[22],49.8%,31.3%,10.2%,8.8%,43%,57%,,,,,
5–7 Apr 2013,Newspoll,48%,32%,11%,9%,45%,55%,,,,,
4–7 Apr 2013,Morgan (multi),46.5%,31%,10%,12.5%,44%,56%,,,,,
4–7 Apr 2013,Essential[e 23],49%,32%,9%,9%,44%,56%,,,,,
29 Mar–1 Apr 2013,Morgan (multi),49%,30%,11%,10%,42.5%,57.5%,,,,,
28 Mar–1 Apr 2013,Essential[e 24],49%,31%,11%,9%,44%,56%,,,,,
22–24 Mar 2013,Newspoll,50%,30%,10%,10%,42%,58%,,,,,
21–24 Mar 2013,Essential[e 25],47%,33%,11%,9%,46%,54%,,,,,
22–23 Mar 2013,Galaxy[32],47%,32%,12%,9%,45%,55%,,,,,
21–24 Mar 2013,Morgan (multi),46.5%,30.5%,10.5%,12.5%,44%,56%,,,,,
22–25 Mar 2013,AMR[16],49%,33%,9%,9%,44%,56%,,,,,
14–17 Mar 2013,Essential[e 26],47%,35%,9%,8%,46%,54%,,,,,
14–17 Mar 2013,Morgan (multi),46%,33%,11%,10.5%,46%,54%,,,,,
14–16 Mar 2013,Nielsen[33],47%,31%,10%,12%,44%,56%,,,,,
7–10 Mar 2013,Essential[e 27],48%,34%,9%,9%,45%,55%,,,,,
7–10 Mar 2013,Morgan (multi),47%,31.5%,11%,10.5%,44.5%,55.5%,,,,,
8–10 Mar 2013,Newspoll,44%,34%,11%,11%,48%,52%,,,,,
5–7 Mar 2013,Galaxy[34],48%,32%,11%,9%,45%,55%,,,,,
28 Feb–3 Mar 2013,Essential[e 28],49%,32%,10%,8%,44%,56%,,,,,
28 Feb–3 Mar 2013,Morgan (multi),45%,33%,10.5%,11.5%,46%,54%,,,,,
21–24 Feb 2013,Essential[e 29],49%,32%,10%,8%,44%,56%,,,,,
16–17/23–24 Feb 2013,Morgan (face),44%,33.5%,10%,12.5%,46.5%,53.5%,,,,,
22–24 Feb 2013,Newspoll,47%,31%,11%,11%,45%,55%,,,,,
14–17 Feb 2013,Essential[e 30],47%,35%,10%,8%,46%,54%,,,,,
14–16 Feb 2013,Nielsen[33],47%,30%,11%,12%,44%,56%,,,,,
7–10 Feb 2013,Essential[e 31],48%,34%,9%,9%,45%,55%,,,,,
9–10 Feb 2013,Morgan (face),45%,33.5%,9%,12.5%,45.5%,54.5%,,,,,
1–4 Feb 2013,Essential[e 32],48%,34%,10%,8%,46%,54%,,,,,
2–3 Feb 2013,Morgan (face),42.5%,38.5%,8.5%,10.5%,48.5%,51.5%,,,,,
1–3 Feb 2013,Newspoll,48%,32%,9%,11%,44%,56%,,,,,
1–3 Feb 2013,Galaxy[34],48%,35%,10%,7%,46%,54%,,,,,
23–28 Jan 2013,Essential[e 33],48%,35%,10%,7%,46%,54%,,,,,
19–20/26–27 Jan 2013,Morgan (face),39%,36%,12%,13%,49.5%,50.5%,,,,,
16–20 Jan 2013,Essential[e 34],48%,36%,9%,8%,46%,54%,,,,,
9–13 Jan 2013,Essential[e 35],48%,36%,8%,8%,46%,54%,,,,,
11–13 Jan 2013,Newspoll,44%,38%,9%,9%,49%,51%,,,,,
5–6/12–13 Jan 2013,Morgan (face),41.5%,36.5%,10.5%,11.5%,49%,51%,,,,,
12–16 Dec 2012,Essential[e 36],48%,36%,8%,8%,45%,55%,,,,,
8–9/15–16 Dec 2012,Morgan (face),37.5%,40%,12%,10.5%,53.5%,46.5%,,,,,
13–15 Dec 2012,Nielsen[33],43%,35%,10%,12%,48%,52%,,,,,
5–9 Dec 2012,Essential[e 37],48%,36%,8%,8%,46%,54%,,,,,
7–9 Dec 2012,Newspoll,46%,32%,11%,11%,46%,54%,,,,,
28 Nov–2 Dec 2012,Essential[e 38],47%,37%,9%,7%,47%,53%,,,,,
24–25 Nov/1–2 Dec 2012,Morgan (face),40.5%,36%,10.5%,13%,49.5%,50.5%,,,,,
29–30 Nov 2012,Galaxy[34],48%,34%,11%,7%,46%,54%,,,,,
27–29 Nov 2012,Morgan (phone),44.5%,36.5%,8.5%,10.5%,47.5%,52.5%,,,,,
23–25 Nov 2012,Newspoll,43%,36%,11%,10%,49%,51%,,,,,
21–25 Nov 2012,Essential[e 39],47%,36%,10%,8%,47%,53%,,,,,
14–18 Nov 2012,Essential[e 40],46%,36%,10%,9%,47%,53%,,,,,
10–11/17–18 Nov 2012,Morgan (face),38.5%,36.5%,11.5%,13.5%,49%,51%,,,,,
15–17 Nov 2012,Nielsen[33],45%,34%,12%,10%,47%,53%,,,,,
9–11 Nov 2012,Newspoll,43%,36%,10%,11%,49%,51%,,,,,
7–11 Nov 2012,Essential[e 41],45%,37%,9%,8%,48%,52%,,,,,
2–6 Nov 2012,Essential[e 42],46%,37%,9%,8%,47%,53%,,,,,
2–4 Nov 2012,Galaxy[35],47%,35%,11%,7%,47%,53%,,,,,
27–28 Oct/3–4 Nov 2012,Morgan (face),43%,35.5%,10%,11.5%,48%,52%,,,,,
26–28 Oct 2012,Newspoll,41%,36%,10%,13%,50%,50%,,,,,
25–28 Oct 2012,Essential[e 43],48%,36%,9%,7%,46%,54%,,,,,
13–14/20–21 Oct 2012,Morgan (face),38.5%,37.5%,12.5%,11.5%,42.5%,57.5%,,,,,
17–21 Oct 2012,Essential[e 44],47%,36%,9%,7%,47%,53%,,,,,
