Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote,2pp vote
Date,Firm,Sample size,L/NP,ALP,GRN,ONP,UAP,IND,OTH,ALP,L/NP
,,,,,,,,,,,
3 May 2025,Election[5],Election[5],24.5%,36.6%,11.1%,6.0%,2.5%,18.0%,1.2%,63.3%,36.7%
10 Jul – 27 Aug 2024,Accent/RedBridge[340],107,35%,25%,12%,—N/a,—N/a,—N/a,28%,48%,52%
1 Feb – 26 May 2024,Accent/RedBridge[340],107,30%,29%,15%,—N/a,—N/a,—N/a,26%,54%,46%
28 Aug – 12 Oct 2023,Newspoll[340],366,25%,30%,13%,—N/a,—N/a,—N/a,27%,57%,43%
21 Jun 2022,Roy Morgan[286],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,63%,37%
21 May 2022,Election,Election,32.9%,27.3%,12%,4%,1.8%,11.2%,10.8%,54.3%,45.7%
