Dates conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Dates conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
6 May 2010,2010 general election,2010 general election,–,34.8%,42.2%,16.6%,6.4%,7.4
11–21 Sep 2009,YouGov[257],PoliticsHome,Unknown,32%,36%,14%,19%,4.0
22 Jul – 4 Aug 2008,YouGov[258],PoliticsHome,Unknown,30%,44%,14%,11%,14.0
5 May 2005,2005 general election,2005 general election,–,43%,34%,15%,8%,9.0
