Parties,Parties.1,Seats,Change
,Conservative Party,307,97
,Labour Party,255,94
,Liberal Democrats,59,3
,Others[aa],29,
Hung Parliament (Conservatives 19 seats short of majority),Hung Parliament (Conservatives 19 seats short of majority),Hung Parliament (Conservatives 19 seats short of majority),Hung Parliament (Conservatives 19 seats short of majority)
