Polling firm,Last date of polling,Link,Justin Trudeau,Rona Ambrose,Thomas Mulcair,Rhéal Fortin,Elizabeth May,Margin of error[1],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error[1],Lead
Innovative Research,"March 30, 2016",[617],60.0,21.0,12.0,1.0,6.0,,39.0
Nanos Research,"March 24, 2016",[618],51.4,17.0,11.6,1.1,3.9,±3.1 pp,34.4
Nanos Research,"March 18, 2016",[619],52.8,14.9,12.7,0.6,4.4,±3.1 pp,37.9
Forum Research,"March 15, 2016",[472],43.0,13.0,10.0,1.0,5.0,±2 pp,30.0
Nanos Research,"March 11, 2016",[620],52.7,14.6,12.8,0.7,4.7,±3.1 pp,38.1
Nanos Research,"March 4, 2016",[621],53.7,14.2,11.3,0.9,5.3,±3.1 pp,39.5
Nanos Research,"February 26, 2016",[622],53.5,13.9,10.9,0.9,5.0,±3.1 pp,39.6
Nanos Research,"February 19, 2016",[623],51.4,14.9,11.4,1.0,4.8,±3.1 pp,36.5
Forum Research,"February 17, 2016",[473],47.0,12.0,8.0,1.0,7.0,±3 pp,35.0
Nanos Research,"February 12, 2016",[624],51.4,15.1,10.7,1.0,4.4,±3.1 pp,36.3
Leger,"February 9, 2016",[625],40.0,9.0,10.0,,4.0,±2.1 pp,30.0
Nanos Research,"February 5, 2016",[626],51.0,14.8,12.2,0.9,4.1,±3.1 pp,36.2
Nanos Research,"January 29, 2016",[627],50.0,14.9,13.0,0.7,4.4,±3.1 pp,35.1
Nanos Research,"January 22, 2016",[628],52.2,14.6,11.5,0.9,3.5,±3.1 pp,37.6
Nanos Research,"January 15, 2016",[629],53.5,13.7,10.6,1.0,4.5,±3.1 pp,39.8
Nanos Research,"January 8, 2016",[630],53.2,13.2,10.3,1.1,4.2,±3.1 pp,40.0
Nanos Research,"January 2, 2016",[631],52.6,12.1,11.6,1.2,4.8,±3.1 pp,40.5
Nanos Research,"December 25, 2015",[632],53.1,11.3,12.7,1.2,5.1,±3.1 pp,40.4
Nanos Research,"December 18, 2015",[633],50.2,12.9,13.0,1.3,5.1,±3.1 pp,37.2
Nanos Research,"December 11, 2015",[634],51.5,13.7,12.8,1.2,5.0,±3.1 pp,37.8
Nanos Research,"December 4, 2015",[635],53.7,13.7,12.0,1.4,4.2,±3.1 pp,40.0
,,,,,,,,,
