Date(s) conducted,Polling organisation/client,Sample size,Lab,Con,UKIP,PC,LD,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Lead
8 Jun 2017,2017 general election,–,48.9%,33.6%,2.0%,10.4%,4.5%,0.3%,0.2%,15.3
5–7 Jun 2017,YouGov/ITV,1074,46%,34%,5%,9%,5%,1%,1%,12
29–31 May 2017,YouGov/ITV,1014,46%,35%,5%,8%,5%,0%,0%,11
18–21 May 2017,YouGov/ITV,1025,44%,34%,5%,9%,6%,1%,1%,10
5–7 May 2017,YouGov/ITV,1018,35%,41%,4%,11%,7%,1%,1%,6
4 May 2017,Welsh local elections,Welsh local elections,Welsh local elections,Welsh local elections,Welsh local elections,Welsh local elections,Welsh local elections,Welsh local elections,Welsh local elections,Welsh local elections
19–21 Apr 2017,YouGov/Welsh Political Barometer,1029,30%,40%,6%,13%,8%,2%,1%,10
18 Apr 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017
3–6 Jan 2017,YouGov/Welsh Political Barometer,1034,33%,28%,13%,13%,9%,2%,0,5
18–21 Sep 2016,YouGov/Welsh Political Barometer,1001,35%,29%,14%,13%,7%,2%,0,6
13 Jul 2016,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom
30 Jun – 4 Jul 2016,YouGov/Welsh Political Barometer,1010,34%,23%,16%,16%,8%,1%,2%,11
5 May 2016,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election,Welsh Assembly election and Ogmore by-election
19–22 Apr 2016,YouGov/Welsh Political Barometer,1001,37%,23%,17%,13%,7%,2%,1%,14
7–11 Apr 2016,YouGov/ITV Wales,1011,38%,22%,18%,13%,6%,2%,1%,16
7–18 Mar 2016,Welsh Election Study Archived 25 March 2016 at the Wayback Machine,3272,36%,25%,16%,14%,6%,—N/a,3%[16],11
9–11 Feb 2016,YouGov/Welsh Political Barometer,1024,37%,27%,18%,13%,4%,1%,-,10
30 Nov – 4 Dec 2015,YouGov/Welsh Political Barometer,1005,37%,27%,17%,12%,4%,2%,-,10
21–24 Sep 2015,YouGov/Welsh Political Barometer,1151,42%,26%,16%,10%,5%,2%,-,16
24–26 Jun 2015,YouGov/Welsh Political Barometer,1151,37%,28%,15%,12%,4%,3%,1%,9
7 May 2015,2015 general election,–,36.9%,27.2%,13.6%,12.1%,6.5%,2.6%,1.0%,9.7
