Date(s) conducted,Pollster/client(s),Sample size,Con,Lab,LD,Others,Lead
Date(s) conducted,Pollster/client(s),Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Others,Lead
12 Dec 2019,2019 general election,–,48.5%,45.9%,5.7%,—,2.6
4 Nov–5 Dec 2019,Datapraxis/YouGov,700–800,46%,44.4%,9.6%,0%,1.6
4–22 Nov 2019,Datapraxis/YouGov,350–400,46.6%,42.4%,11%,–,4.2
8 Jun 2017,2017 general election,–,49.1%,43.9%,4.4%,2.6%,5.2
