Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,Margin of error[b],Sample size[c],Polling method[d],Lead
Polling firm,Last date of polling[a],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Margin of error[b],Sample size[c],Polling method[d],Lead
EKOS,"September 11, 2021",[47],32.8,31.1,19.0,4.7,3.9,7.8,0.7,±2.9 pp,"1,162 (1/3)",IVR (rolling),1.7
Nanos Research,"September 11, 2021",[48],30.7,34.0,18.6,6.6,4.1,5.1,0.9,±2.8 pp,"1,252 (1/3)",telephone (rolling),3.3
Mainstreet Research,"September 11, 2021",[49],29.4,33.4,17.6,7.4,3.1,8.1,1.0,±2.3 pp,"1,706 (1/3)",IVR (rolling),4.0
Forum Research,"September 10, 2021",[50],31,28,18,8,4,9,2,±3 pp,1579,IVR,3
EKOS,"September 10, 2021",[51],30.9,30.4,19.9,4.6,4.3,9.1,0.8,±2.8 pp,"1,238 (1/3)",IVR (rolling),0.5
Nanos Research,"September 10, 2021",[52],30.1,34.4,19.0,6.4,4.6,5.0,0.7,±2.8 pp,"1,249 (1/3)",telephone (rolling),4.3
Mainstreet Research,"September 10, 2021",[53],30.2,33.9,17.9,6.4,2.6,7.9,1.0,±2.3 pp,"1,751 (1/3)",IVR (rolling),3.7
,"September 9, 2021",Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate
EKOS,"September 9, 2021",[54],33.2,29.7,16.7,4.3,3.8,11.7,0.6,±2.7 pp,"1,303 (1/3)",IVR (rolling),3.5
Nanos Research,"September 9, 2021",[55],33.3,31.3,19.2,6.6,3.8,5.0,0.9,±2.8 pp,"1,269 (1/3)",telephone (rolling),2.0
Mainstreet Research,"September 9, 2021",[56],32.0,32.9,18.5,5.3,2.2,8.4,0.8,±2.3 pp,"1,776 (1/3)",IVR (rolling),0.9
,"September 8, 2021",Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate
EKOS,"September 8, 2021",[57],33.6,30.7,15.7,4.1,4.1,11.2,0.7,±2.7 pp,"1,365 (1/3)",IVR (rolling),2.9
Nanos Research,"September 8, 2021",[58],32.6,30.6,20.3,5.5,4.2,5.3,1.4,±2.8 pp,"1,266 (1/3)",telephone (rolling),2.0
Mainstreet Research,"September 8, 2021",[59],32.9,32.3,19.0,5.5,1.9,7.9,0.5,±2.3 pp,"1,768 (1/3)",IVR (rolling),0.6
EKOS,"September 7, 2021",[60],34.3,31.8,16.4,4.0,3.2,9.5,0.7,±2.8 pp,"1,202 (1/3)",IVR (rolling),2.5
Mainstreet Research,"September 7, 2021",[61],33.5,30.0,20.7,5.5,2.2,7.6,0.4,±2.3 pp,"1,755 (1/3)",IVR (rolling),3.5
Nanos Research,"September 7, 2021",[62],32.6,31.6,21.1,5.0,4.4,4.3,0.9,±2.8 pp,"1,288 (1/3)",telephone (rolling),1.0
EKOS,"September 6, 2021",[63],33.7,30.8,19.2,3.8,3.8,7.9,0.8,±3.0 pp,"1,062 (1/3)",IVR (rolling),2.9
Mainstreet Research,"September 6, 2021",[64],33.5,31.1,19.6,6.4,2.4,6.4,0.6,±2.3 pp,"1,794 (1/3)",IVR (rolling),2.4
Leger,"September 6, 2021",[65],33,33,21,6,3,3,<1,±1.8 pp,3002,online,0
Ipsos,"September 6, 2021",[66],35,32,21,7,2,2,—N/a,±2.9 pp,1500,online,3
Angus Reid,"September 6, 2021",[67],35,32,20,6,2,5,1,±2.5 pp,1709,online,3
Abacus Data,"September 6, 2021",[68],32,32,21,7,3,3,1,±1.9 pp,2875,online,0
Earnscliffe/Leger,"September 5, 2021",[69],33,33,21,6,3,4,1,—N/a,1521,online,0
EKOS,"September 5, 2021",[70],34.1,27.9,20.3,5.6,3.6,7.9,0.7,±3.0 pp,"1,053 (1/3)",IVR (rolling),6.2
Nanos Research,"September 5, 2021",[71],32.0,34.1,20.9,4.0,4.5,3.8,0.6,±2.8 pp,"1,269 (1/3)",telephone (rolling),2.1
Mainstreet Research,"September 5, 2021",[72],34.0,31.1,18.4,6.2,2.6,6.7,0.9,±2.3 pp,"1,857 (1/3)",IVR (rolling),2.9
EKOS,"September 4, 2021",[73],34.5,28.1,20.5,4.8,4.4,6.9,0.8,±2.9 pp,"1,158 (1/3)",IVR (rolling),6.4
Nanos Research,"September 4, 2021",[74],34.9,33.4,18.9,4.8,4.2,3.5,0.4,±2.8 pp,"1,248 (1/3)",telephone (rolling),1.5
Mainstreet Research,"September 4, 2021",[75],34.6,31.8,17.5,6.3,2.3,6.3,1.3,±2.3 pp,"1,842 (1/3)",IVR (rolling),2.8
Abacus Data,"September 4, 2021",[76],33,32,21,7,3,3,1,±1.9 pp,2692,online,1
EKOS,"September 3, 2021",[77],35.0,28.8,19.6,4.9,4.6,6.3,0.8,±2.8 pp,"1,274 (1/3)",IVR (rolling),6.2
Nanos Research,"September 3, 2021",[78],35.5,33.0,18.7,4.1,4.4,3.9,0.4,±2.8 pp,"1,214 (1/3)",telephone (rolling),2.5
Mainstreet Research,"September 3, 2021",[79],34.3,32.1,18.2,5.6,2.2,6.5,1.2,±2.3 pp,"1,820 (1/3)",IVR (rolling),2.2
,"September 2, 2021",TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate,TVA French leaders' debate
EKOS,"September 2, 2021",[80],35.8,29.5,19.4,3.9,4.5,5.8,0.9,±2.9 pp,"1,161 (1/3)",IVR (rolling),6.3
