Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
9–15 Dec,NOP,Evening Standard,1600,55%,27%,12%,7%,28
11–14 Dec,MORI,The Times,1864,54%,27%,12%,6%,27
4–7 Dec,ICM,The Guardian,1123,49%,29%,16%,6%,20
16 Nov – 2 Dec,Gallup,The Daily Telegraph,1021,55%,29%,11%,5%,26
20–23 Nov,MORI,The Times,1883,53%,29%,13%,5%,24
4–6 Nov,ICM,The Guardian,1210,51%,27%,17%,5%,24
29 Oct – 4 Nov,Gallup,The Daily Telegraph,1036,54%,28%,14%,5%,26
23–26 Oct,MORI,The Times,1775,53%,26%,16%,5%,27
1–4 Oct,ICM,The Guardian,1120,51%,29%,15%,5%,22
24–30 Sep,Gallup,The Daily Telegraph,1028,57%,23%,15%,5%,34
18–21 Sep,MORI,The Times,1789,56%,24%,15%,5%,32
4–6 Sep,ICM,The Guardian,1178,48%,29%,17%,6%,19
26 Aug – 3 Sep,Gallup,The Daily Telegraph,1005,54%,28%,12%,6%,26
21–24 Aug,MORI,The Times,1886,52%,28%,14%,6%,24
7–9 Aug,ICM,The Guardian,1203,47%,31%,17%,4%,16
30 Jul – 5 Aug,Gallup,The Daily Telegraph,1003,53%,28%,13%,5%,25
17–21 Jul,MORI,The Times,1796,53%,28%,14%,5%,25
3–4 Jul,ICM,The Guardian,1203,52%,27%,17%,4%,25
25 Jun – 1 Jul,Gallup,The Daily Telegraph,1006,52%,28%,14%,6%,24
25–30 Jun,MORI,The Times,1760,56%,27%,13%,4%,29
24–26 Jun,MORI,The Sun,1000,51%,28%,15%,6%,23
25 Jun,Northern Ireland Assembly election[26],Northern Ireland Assembly election[26],Northern Ireland Assembly election[26],Northern Ireland Assembly election[26],Northern Ireland Assembly election[26],Northern Ireland Assembly election[26],Northern Ireland Assembly election[26],Northern Ireland Assembly election[26]
5–6 Jun,ICM,The Guardian,1201,51%,29%,16%,4%,22
28 May – 3 Jun,Gallup,The Daily Telegraph,1011,54%,28%,12%,6%,26
21–24 May,MORI,The Times,1832,55%,26%,14%,5%,29
22 May,"Good Friday Agreement referendum (""Yes"" wins)[27]","Good Friday Agreement referendum (""Yes"" wins)[27]","Good Friday Agreement referendum (""Yes"" wins)[27]","Good Friday Agreement referendum (""Yes"" wins)[27]","Good Friday Agreement referendum (""Yes"" wins)[27]","Good Friday Agreement referendum (""Yes"" wins)[27]","Good Friday Agreement referendum (""Yes"" wins)[27]","Good Friday Agreement referendum (""Yes"" wins)[27]"
15–19 May,ICM,The Guardian,1101,50%,29%,16%,5%,21
7 May,Local elections in England; Greater London Authority referendum[28],Local elections in England; Greater London Authority referendum[28],Local elections in England; Greater London Authority referendum[28],Local elections in England; Greater London Authority referendum[28],Local elections in England; Greater London Authority referendum[28],Local elections in England; Greater London Authority referendum[28],Local elections in England; Greater London Authority referendum[28],Local elections in England; Greater London Authority referendum[28]
23–29 Apr,Gallup,The Daily Telegraph,1050,54%,25%,16%,4%,29
24–27 Apr,MORI,The Times,1926,55%,27%,14%,4%,28
24–26 Apr,MORI,The Sun,804,54%,30%,13%,3%,24
20–22 Apr,ICM,The Observer,1000,52%,29%,16%,3%,23
3–5 Apr,ICM,The Guardian,1212,48%,31%,16%,6%,17
26 Mar – 1 Apr,Gallup,The Daily Telegraph,985,54%,26%,16%,4%,28
20–23 Mar,MORI,The Times,1879,53%,28%,14%,5%,25
6–8 Mar,ICM,The Guardian,1200,46%,33%,17%,5%,13
26 Feb – 4 Mar,Gallup,The Daily Telegraph,999,51%,29%,14%,6%,22
20–23 Feb,MORI,The Times,1792,52%,28%,15%,5%,24
6–8 Feb,ICM,The Guardian,1200,47%,31%,18%,4%,16
28 Jan – 4 Feb,Gallup,The Daily Telegraph,1041,54%,29%,11%,5%,25
23–26 Jan,MORI,The Times,1870,54%,28%,14%,4%,26
9–11 Jan,ICM,The Guardian,1200,48%,30%,17%,5%,18
5–7 Jan,Gallup,The Daily Telegraph,1014,56%,26%,12%,5%,30
