Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
22–23 Dec,YouGov/The Sun,1635,39%,41%,9%,5%,2%,5% BNP on 3% SNP/PC on 1% Other on 1%,2
21–22 Dec,YouGov/The Sun,1695,41%,42%,8%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,1
20–21 Dec,YouGov/The Sun,2032,40%,42%,9%,4%,2%,3% BNP on 1% SNP/PC on 1% Other on 1%,2
19–20 Dec,YouGov/The Sun,2039,40%,43%,8%,3%,2%,3% BNP on 1% SNP/PC on 1% Other on 1%,3
17–20 Dec,Angus Reid Public Opinion,2003,35%,41%,9%,5%,3%,7%,6
16–19 Dec,ICM/The Guardian[9],736,37%,39%,13%,2%,2%,7%,2
17 Dec,Opinium,–,37%,37%,12%,14%,14%,14%,Tie
16–17 Dec,YouGov/Sunday Times,1966,39%,42%,9%,4%,2%,4%,3
15–16 Dec,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2017,37%,39%,11%,5%,2%,6%,2
15–16 Dec,YouGov/The Sun,1922,41%,41%,9%,5%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie
14–15 Dec,YouGov/The Sun,2022,42%,40%,8%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,2
13–14 Dec,YouGov/The Sun,1810,39%,42%,9%,4%,1%,4% BNP on 2% SNP/PC on 1% Other on 1%,3
12–13 Dec,YouGov/The Sun,2092,41%,42%,9%,4%,2%,3% BNP on 1% SNP/PC on 2% Other on 0%,1
10–12 Dec,Ipsos MORI/Reuters,1004,38%,39%,11%,4%,4%,6%,1
10 Dec,Opinium,–,37%,36%,12%,15%,15%,15%,1
9–10 Dec,YouGov/Sunday Times,1937,40%,42%,9%,3%,1%,6%,2
8–9 Dec,YouGov/The Sun,1982,41%,39%,11%,3%,2%,4%,2
8 Dec,Opinium,–,38%,37%,11%,14%,14%,14%,1
7–8 Dec,YouGov/The Sun,1966,41%,41%,8%,3%,2%,4% BNP on 2% SNP/PC on 2% Other on 0%,Tie
6–7 Dec,YouGov/The Sun,2109,42%,39%,9%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3
5–6 Dec,YouGov/The Sun,1991,42%,39%,10%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,3
2–3 Dec,YouGov/Sunday Times,1916,41%,39%,10%,5%,2%,3%,2
2 Dec,Opinium,–,38%,34%,13%,15%,15%,15%,4
1–2 Dec,YouGov/The Sun,1934,40%,40%,11%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie
