Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
30 Nov – 1 Dec,YouGov/The Sun,2080,41%,38%,11%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3
29–30 Nov,Angus Reid Public Opinion,2004,35%,40%,13%,4%,8%,8%,5
29–30 Nov,YouGov/The Sun,1975,40%,40%,10%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie
28–29 Nov,YouGov/The Sun,2114,40%,40%,10%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie
26–29 Nov,ComRes/The Independent[permanent dead link],1006,36%,40%,12%,2%,4%,6%,4
26 Nov,Opinium,–,37%,35%,14%,14%,14%,14%,2
25–26 Nov,YouGov/Sunday Times,1711,40%,40%,9%,4%,2%,5%,Tie
24–25 Nov,YouGov/The Sun,2024,42%,39%,10%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3
23–24 Nov,YouGov/The Sun,2053,40%,40%,9%,4%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie
22–23 Nov,YouGov/The Sun,1968,42%,40%,10%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,2
21–22 Nov,YouGov/The Sun,2080,41%,38%,11%,4%,2%,4% BNP on 2% SNP/PC on 2% Other on 0%,3
19–21 Nov,ICM/The Guardian[9],1000,36%,38%,14%,3%,2%,7%,2
18–19 Nov,YouGov/Sunday Times,1967,40%,38%,11%,4%,2%,5%,2
17–19 Nov,ComRes/Sunday Mirror/The Independent on Sunday[permanent dead link],2015,37%,38%,13%,4%,3%,5%,1
17–18 Nov,YouGov/The Sun,2007,40%,40%,11%,3%,1%,4% BNP on 1% SNP/PC on 3% Other on 0%,Tie
17 Nov,Opinium,–,38%,34%,13%,15%,15%,15%,4
16–17 Nov,YouGov/The Sun,2082,40%,40%,11%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,Tie
15–16 Nov,YouGov/The Sun,2050,37%,42%,10%,5%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,5
14–15 Nov,YouGov/The Sun,2050,40%,42%,10%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2
12–14 Nov,Ipsos MORI/Reuters,1005,36%,39%,14%,2%,4%,5%,3
11–12 Nov,YouGov/Sunday Times,1930,39%,41%,10%,3%,1%,5%,2
10–11 Nov,YouGov/The Sun,2013,40%,40%,10%,4%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie
9–10 Nov,YouGov/The Sun,1933,42%,37%,11%,4%,1%,5% BNP on 1% SNP/PC on 3% Other on 1%,5
9 Nov,Opinium,–,39%,33%,14%,14%,14%,14%,6
8–9 Nov,YouGov/The Sun,1936,40%,39%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,1
7–8 Nov,YouGov/The Sun,2109,42%,39%,11%,4%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,3
5 Nov,Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP),Nigel Farage is elected leader of the UK Independence Party (UKIP)
4–5 Nov,YouGov/Sunday Times,1954,40%,39%,12%,3%,2%,5%,1
3–4 Nov,YouGov/The Sun,1980,40%,39%,11%,3%,2%,5% BNP on 1% SNP/PC on 3% Other on 1%,1
2–3 Nov,YouGov/The Sun,2036,40%,40%,9%,3%,2%,5% BNP on 1% SNP/PC on 3% Other on 1%,Tie
1–2 Nov,YouGov/The Sun,2006,41%,40%,11%,3%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,1
31 Oct – 1 Nov,YouGov/The Sun,2132,41%,39%,11%,4%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2
29–30 Oct,ComRes/The Independent[permanent dead link],1000,35%,37%,16%,2%,4%,6%,2
29 Oct,Opinium,–,38%,35%,13%,14%,14%,14%,3
28–29 Oct,YouGov/Sunday Times,2058,42%,37%,13%,3%,1%,4%,5
27–28 Oct,Angus Reid Public Opinion,2015,35%,37%,15%,3%,2%,8%,2
27–28 Oct,YouGov/The Sun,1986,41%,39%,11%,3%,2%,6% BNP on 2% SNP/PC on 3% Other on 1%,2
26–27 Oct,YouGov/The Sun,2108,41%,39%,12%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,2
25–26 Oct,YouGov/The Sun,2651,40%,38%,12%,2%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,2
24–25 Oct,YouGov/The Sun,1967,40%,40%,11%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie
22–24 Oct,ICM/The Guardian[9],1002,39%,36%,16%,1%,1%,7%,3
22–24 Oct,Populus/The Times[10],1000,37%,38%,15%,3%,3%,5%,1
21–22 Oct,YouGov/Sunday Times,1845,41%,40%,10%,2%,2%,5%,1
21–22 Oct,ICM/News of the World[9],1025,40%,36%,16%,2%,1%,5%,4
20–21 Oct,YouGov/The Sun,1874,41%,40%,10%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,1
19–20 Oct,YouGov/The Sun,1936,41%,39%,11%,2%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,2
18–19 Oct,YouGov/The Sun,2099,42%,39%,11%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,3
17–18 Oct,YouGov/The Sun,1991,41%,39%,12%,2%,1%,3% BNP on 1% SNP/PC on 1% Other on 1%,2
17 Oct,YouGov/Sunday Times,–,41%,39%,11%,8%,8%,8%,2
15–17 Oct,Ipsos MORI/Reuters,1009,39%,36%,14%,3%,3%,5%,3
14–15 Oct,YouGov/Sunday Times,1898,41%,39%,11%,3%,1%,5%,2
13–15 Oct,ComRes/The Independent on Sunday/Sunday Mirror,2009,40%,34%,14%,12%,12%,12%,6
13–14 Oct,YouGov/The Sun,1838,42%,38%,12%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,4
12–13 Oct,YouGov/The Sun,1959,41%,40%,11%,3%,1%,4%,1
11–12 Oct,YouGov/The Sun,2047,43%,36%,12%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,7
10–11 Oct,YouGov/The Sun,2090,42%,38%,12%,2%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
7–8 Oct,YouGov/Sunday Times,1890,42%,38%,12%,3%,1%,4%,4
6–7 Oct,ICM/Sunday Telegraph,1002,38%,34%,18%,2%,2%,6%,4
6–7 Oct,YouGov/The Sun,1903,42%,38%,12%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
5–6 Oct,YouGov/The Sun,1955,42%,40%,11%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2
4–5 Oct,YouGov/The Sun,2057,43%,39%,11%,2%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,4
3–4 Oct,YouGov/The Sun,2108,41%,39%,12%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,2
30 Sep – 1 Oct,YouGov/Sunday Times,1796,39%,41%,11%,2%,2%,4%,2
30 Sep – 1 Oct,Angus Reid Public Opinion[permanent dead link],2004,35%,38%,16%,4%,7%,7%,3
29 Sep – 1 Oct,ComRes/The Independent[permanent dead link],2035,39%,36%,15%,4%,3%,10%,3
29–30 Sep,YouGov/The Sun,3127,41%,39%,12%,3%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,2
28–29 Sep,YouGov/The Sun,1916,41%,39%,12%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,2
28–29 Sep,ICM/The Guardian[9],1005,35%,37%,18%,3%,1%,6%,3
27–28 Sep,YouGov/The Sun,1896,41%,40%,12%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,1
26–27 Sep,YouGov/The Sun,1948,39%,40%,12%,3%,1%,6% BNP on 2% SNP/PC on 3% Other on 1%,1
25 Sep,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party,Ed Miliband is elected leader of the Labour Party
23–24 Sep,YouGov/Sunday Times,1905,39%,38%,15%,3%,2%,4%,1
22–23 Sep,YouGov/The Sun,2013,41%,37%,13%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,4
21–22 Sep,YouGov/The Sun,1649,43%,36%,14%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,7
20–21 Sep,YouGov/The Sun,1963,39%,39%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,Tie
19–20 Sep,YouGov/The Sun,2156,42%,38%,11%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,4
17 Sep,Opinium,–,37%,35%,13%,15%,15%,15%,2
16–17 Sep,YouGov/Sunday Times,1984,41%,39%,13%,3%,1%,3%,3
14–16 Sep,ComRes/Sunday Mirror/The Independent on Sunday[permanent dead link],2028,37%,35%,15%,13%,13%,13%,2
15–16 Sep,YouGov/The Sun,1996,41%,38%,12%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,3
14–15 Sep,YouGov/The Sun,1971,42%,39%,12%,2%,2%,2% BNP on 1% SNP/PC on 1% Other on 0%,3
13–14 Sep,YouGov/The Sun,1913,40%,39%,12%,2%,1%,5% BNP on 2% SNP/PC on 3% Other on 0%,2
12–13 Sep,YouGov/The Sun,2108,41%,38%,12%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,3
10–12 Sep,Populus/The Times[10],1508,39%,37%,14%,2%,2%,5%,2
10–12 Sep,Ipsos MORI/Reuters,1004,37%,37%,15%,2%,3%,6%,Tie
9–10 Sep,YouGov/Sunday Times,1858,42%,38%,14%,2%,1%,3%,4
8–9 Sep,YouGov/The Sun,1948,42%,37%,14%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,5
7–8 Sep,YouGov/The Sun,1967,43%,38%,12%,2%,2%,3% BNP on 1% SNP/PC on 1% Other on 1%,5
6–7 Sep,YouGov/The Sun,2089,42%,38%,13%,2%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,4
5–6 Sep,YouGov/The Sun,2089,42%,37%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,5
3–5 Sep,ComRes/The Independent,1000,38%,34%,18%,10%,10%,10%,4
2–3 Sep,YouGov/Sunday Times,1849,42%,37%,12%,3%,2%,4%,5
1–2 Sep,YouGov/The Sun[permanent dead link],–,42%,37%,12%,9%,9%,9%,5
31 Aug – 1 Sep,YouGov/The Sun,1923,43%,37%,12%,3%,2%,3%2% BNP on 1% SNP/PC on 2% Other on 1%,6
30–31 Aug,YouGov/The Sun,1548,43%,38%,11%,2%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,5
26–27 Aug,YouGov/Sunday Times,1872,41%,37%,13%,3%,1%,4%,4
25–26 Aug,YouGov/The Sun,2046,42%,37%,12%,3%,1%,5%2% BNP on 2% SNP/PC on 2% Other on 1%,5
24–25 Aug,YouGov/The Sun,2030,42%,37%,12%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,5
23–24 Aug,YouGov/The Sun,2011,41%,38%,13%,3%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,3
22–23 Aug,YouGov/The Sun,2088,41%,39%,12%,4%,2%,3% BNP on 1% SNP/PC on 2% Other on 0%,2
19–20 Aug,YouGov/Sunday Times,1953,41%,38%,12%,3%,1%,4%,3
18–19 Aug,YouGov/The Sun,1970,41%,37%,14%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
17–18 Aug,YouGov/The Sun,2095,44%,36%,12%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,8
16–17 Aug,YouGov/The Sun,2059,42%,37%,14%,2%,1%,4% BNP on 2% SNP/PC on 1% Other on 1%,5
15–16 Aug,YouGov/The Sun,2125,41%,37%,15%,2%,1%,3% BNP on 1% SNP/PC on 1% Other on 1%,4
13–15 Aug,ICM/The Guardian[9],1001,37%,37%,18%,2%,2%,4%,Tie
13–15 Aug,ComRes/Daily Mirror/GMTV[permanent dead link],939,39%,33%,15%,2%,3%,8%,6
13 Aug,Opinium,–,39%,30%,16%,15%,15%,15%,9
12–13 Aug,YouGov/Sunday Times,1865,42%,37%,13%,2%,1%,4%,5
11–12 Aug,YouGov/The Sun,2000,42%,37%,14%,3%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,5
10–11 Aug,YouGov/The Sun,1940,41%,37%,15%,2%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
9–10 Aug,YouGov/The Sun,2008,42%,38%,14%,2%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
8–9 Aug,YouGov/The Sun,2241,40%,36%,15%,3%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
6–8 Aug,ComRes/The Independent Archived 30 June 2025 at the Wayback Machine,1004,39%,33%,16%,2%,4%,7%,6
5–6 Aug,YouGov/Sunday Times,1906,42%,36%,13%,3%,1%,4%,6
4–5 Aug,YouGov/The Sun[permanent dead link],–,44%,36%,13%,7%,7%,7%,8
3–4 Aug,YouGov/The Sun,2137,42%,36%,13%,3%,2%,4% BNP on 2% SNP/PC on 1% Other on 1%,6
2–3 Aug,YouGov/The Sun,2101,41%,36%,13%,3%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,5
1–2 Aug,YouGov/The Sun,2216,42%,38%,12%,2%,1%,5% BNP on 2% SNP/PC on 2% Other on 1%,4
29–30 Jul,YouGov/Sunday Times,1885,42%,38%,12%,2%,1%,4%,4
27–28 Jul,YouGov/The Sun,1900,42%,36%,14%,3%,2%,3% BNP on 1% SNP/PC on 2% Other on 0%,6
26–27 Jul,YouGov/The Sun,2028,42%,37%,14%,2%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,5
25–26 Jul,YouGov/The Sun,2143,42%,35%,15%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,7
23–25 Jul,ICM/The Guardian[9],1009,38%,34%,19%,1%,2%,5%,4
23–25 Jul,Ipsos MORI/Reuters,1009,40%,38%,14%,8%,8%,8%,2
22–23 Jul,YouGov/Sunday Times,1891,41%,36%,14%,3%,2%,4%,5
21–22 Jul,YouGov/The Sun,2104,43%,35%,15%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,8
20–21 Jul,YouGov/The Sun,2101,44%,35%,13%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,9
19–20 Jul,YouGov/The Sun,2143,43%,35%,14%,2%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,8
18–19 Jul,YouGov/The Sun,2007,42%,35%,15%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,7
15–16 Jul,YouGov/Sunday Times,2023,40%,37%,15%,2%,1%,4%,3
14–15 Jul,YouGov/The Sun,1620,43%,34%,15%,2%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,9
13–14 Jul,YouGov/The Sun,2185,43%,34%,15%,3%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,9
12–13 Jul,YouGov/The Sun,2173,42%,35%,15%,3%,2%,4% BNP on 1% SNP/PC on 2% Other on 1%,7
11–12 Jul,YouGov/The Sun,2227,42%,35%,15%,2%,2%,4% BNP on 2% SNP/PC on 1% Other on 1%,7
9 Jul,Opinium,–,38%,34%,16%,12%,12%,12%,4
8–9 Jul,YouGov/Sunday Times,2019,42%,34%,17%,2%,1%,5%,8
7–8 Jul,YouGov/The Sun,2165,42%,35%,16%,3%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,7
6–7 Jul,YouGov/The Sun,2731,40%,36%,17%,2%,1%,4% BNP on 1% SNP/PC on 2% Other on 1%,4
5–6 Jul,YouGov/The Spectator,2214,41%,35%,16%,2%,2%,5%,6
5–6 Jul,YouGov/The Sun,1972,41%,36%,15%,2%,2%,5% BNP on 2% SNP/PC on 2% Other on 1%,5
4–5 Jul,YouGov/The Sun,1424,40%,36%,16%,2%,1%,4% BNP on 2% SNP/PC on 2% Other on 0%,4
2 Jul,Opinium,–,37%,33%,18%,12%,12%,12%,4
1–2 Jul,YouGov/Sunday Times,2233,41%,36%,16%,2%,1%,4%,5
30 Jun – 1 Jul,YouGov/The Sun[permanent dead link],–,42%,35%,16%,7%,7%,7%,7
29–30 Jun,YouGov/The Sun,2138,42%,36%,15%,2%,2%,2% BNP on 1% SNP/PC on 1% Other on 0%,6
28–29 Jun,YouGov/The Sun,1881,42%,36%,15%,2%,1%,3% BNP on 1% SNP/PC on 2% Other on 0%,6
27–28 Jun,YouGov/The Sun,1503,42%,35%,16%,1%,2%,4%5% BNP on 1% SNP/PC on 2% Other on 1%,7
25–27 Jun,ComRes/The Independent[permanent dead link],1003,40%,31%,18%,3%,2%,6%,8
24–25 Jun,YouGov/Sunday Times,2038,43%,36%,16%,2%,1%,3%,7
23–24 Jun,YouGov/The Sun[permanent dead link],–,43%,34%,17%,5%,5%,5%,9
23–24 Jun,ICM/Sunday Telegraph,1006,41%,35%,16%,2%,1%,4%,6
22–23 Jun,YouGov/The Sun,1641,42%,34%,17%,3%,2%,2%,8
22–23 Jun,Populus/The Times,1003,39%,33%,18%,3%,2%,4%,6
21–22 Jun,YouGov/The Sun[permanent dead link],2295,41%,37%,15%,2%,1%,4%,4
20–21 Jun,YouGov/The Sun[permanent dead link],2042,41%,33%,18%,3%,1%,3%,8
18 Jun,Opinium,–,40%,31%,19%,10%,10%,10%,9
18–20 Jun,Ipsos MORI/Reuters,1002,39%,31%,19%,2%,4%,6%,8
18–20 Jun,ICM/The Guardian[permanent dead link],1000,39%,31%,21%,1%,2%,5%,8
17–18 Jun,YouGov/Sunday Times[permanent dead link],1491,39%,34%,19%,3%,1%,4%,5
16–17 Jun,ComRes/The Independent on Sunday[permanent dead link],1004,36%,30%,23%,3%,2%,5%,6
10–11 Jun,YouGov/Sunday Times[permanent dead link],1482,40%,32%,18%,3%,1%,5%,8
1–9 Jun,Harris Interactive/Metro,1906,36%,30%,25%,9%,9%,9%,6
4 Jun,Opinium,–,42%,28%,19%,11%,11%,11%,14
28–31 May,ComRes/The Independent[permanent dead link],1000,37%,33%,21%,4%,3%,2%,4
21–23 May,ICM/The Guardian[permanent dead link],1001,39%,32%,21%,2%,1%,5%,7
21 May,Opinium,–,38%,29%,21%,12%,12%,12%,9
20–21 May,YouGov/Sunday Times,1477,39%,32%,21%,2%,1%,4%,7
13–14 May,YouGov/Sunday Times[permanent dead link],1489,37%,34%,21%,8%,8%,8%,3
12–13 May,ICM/Sunday Telegraph,1004,38%,33%,21%,1%,2%,6%,5
12–13 May,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],1010,38%,34%,21%,2%,3%,2%,4
6 May 2010,2010 general election[a],–,36.9%,29.7%,23.6%,3.1%,1.0%,5.7%,7.2
