Parties,Parties.1,Seats,Change
,Conservative Party,314,17
,Labour Party,266,34
,Scottish National Party,34,22
,Liberal Democrats,13,13
,Plaid Cymru,3,
,Green Party,1,
,UKIP,0,1
,Others[i],18,
Hung Parliament (Conservatives 12 seats short of majority),Hung Parliament (Conservatives 12 seats short of majority),Hung Parliament (Conservatives 12 seats short of majority),Hung Parliament (Conservatives 12 seats short of majority)
