Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[a],2pp vote[a]
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,UAP,OTH,UND,ALP,L/NP
,,,,,,,,,,,,
23 Dec 2022,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent,Andrew Gee leaves the Nationals to become an Independent
16–18 Dec 2022,Freshwater Strategy[266][267][268],Online,1209,37%,37%,12%,4%,1%,9%,—N/a,54%,46%
7–11 Dec 2022,Essential[53],Online,1042,30%,35%,13%,6%,3%,8%,5%,51%,44%
30 Nov – 4 Dec 2022,Resolve Strategic[269][270],Online,1611,30%,42%,11%,4%,2%,8%,—N/a,60%,40%
30 Nov – 3 Dec 2022,Newspoll[271],Online,1508,35%,39%,11%,6%,1%,9%,—N/a,55%,45%
23–27 Nov 2022,Essential[271][272],Online,1042,31%,33%,13%,—N/a,—N/a,17%,6%,51%,43%
27–30 Oct 2022,Newspoll-YouGov[273],Online,1500,35%,38%,11%,6%,1%,9%,—N/a,55%,45%
26–30 Oct 2022,Resolve Strategic[274][273],Online,1611,32%,39%,13%,4%,1%,11%,—N/a,58%,42%
5–9 Oct 2022,Resolve Strategic[275][276],Online,1604,30%,39%,12%,5%,3%,11%,—N/a,58.5%,41.5%
14–18 Sep 2022,Resolve Strategic[277][278],Online,1607,32%,39%,10%,6%,2%,11%,—N/a,56.5%,43.5%
31 Aug – 3 Sep 2022,Newspoll-YouGov[279][280],Online,1505,31%,37%,13.5%,7%,2%,10%,—N/a,57%,43%
17–21 Aug 2022,Resolve Strategic[281][282],Online,2011,28%,42%,12%,5%,2%,11%,—N/a,61%,39%
27–30 Jul 2022,Newspoll-YouGov[283][284],Online,1508,33%,37%,12%,6%,2%,10%,—N/a,56%,44%
14–17 Jun 2022,Dynata[285],Online,1001,31%,34%,12%,4%,4%,7%,9%,52.2%,47.8%
13–19 Jun 2022,Roy Morgan[286],Online/ telephone,1401,37%,36%,11%,4%,0.5%,11.5%,—N/a,53%,47%
,,,,,,,,,,,,
29 May 2022,Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287],Peter Dutton elected unopposed as Leader of the Liberal Party[287]
21 May 2022,Election[288][289],Election[288][289],Election[288][289],35.7%,32.6%,12.2%,5.0%,4.1%,10.4%,—,52.1%,47.9%
