Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,UKIP,SNP,Grn,BNP,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Others,Lead
6 May 2010,2010 general election,2010 general election,–,29.7%,36.9%,23.6%,3.2%,1.8%,1.0%,2.0%,1.7%,7.2
5 May,Ipsos MORI[2],Evening Standard,1216,29%,36%,27%,3%,2%,1%,1%,2%,7
4–5 May,YouGov[3],The Sun,6483,28%,35%,28%,3%,1%,1%,2%,2% PC on 1% Other on 1%,7
4–5 May,Harris Interactive[4],Daily Mail,4014,29%,35%,27%,–,–,–,–,7%,6
4–5 May,Populus[5],The Times,2505,28%,37%,27%,2%,2%,1%,2%,2%,9
4–5 May,Angus Reid Public Opinion[6],PoliticalBetting.com,2283,24%,36%,29%,4%,2%,1%,2%,3% PC on 1% Other on 2%,7
4–5 May,Opinium[7],Daily Express,1383,27%,35%,26%,–,–,–,–,12%,8
4–5 May,ComRes[8],ITV News/The Independent,1025,28%,37%,28%,3%,1%,1%,1%,1% PC on <1% Other on <1%,9
3–4 May,ICM[9],The Guardian,1527,28%,36%,26%,–,–,–,–,10%,8
3–4 May,YouGov[10],The Sun,1461,30%,35%,24%,5%,2%[a],2%,1%,1%,5
29 Apr – 4 May,TNS-BMRB[11],,1864,27%,33%,29%,3%,2%,2%,2%,2% PC on 1% Other on 1%,4
28 Apr – 4 May,Harris Interactive[12],The Metro,786,26%,36%,28%,–,–,–,–,10%,8
2–3 May,ComRes[13],ITV News/The Independent,1024,29%,37%,26%,–,–,–,–,8%,8
2–3 May,YouGov[14],The Sun,1455,28%,35%,28%,3%,2%[a],1%,2%,1% Rsp on 0% Other on 1%,7
30 Apr – 3 May,Opinium[permanent dead link],Daily Express,1870,28%,33%,27%,–,–,–,–,12%,5
1–2 May,YouGov[permanent dead link],The Sun,1475,28%,34%,29%,–,–,–,–,9%,5
1–2 May,ComRes[15],ITV News/The Independent,1024,29%,37%,26%,–,–,–,–,8%,8
30 Apr – 2 May,ICM[16],The Guardian,1026,28%,33%,28%,4%,3%,2%,1%,3% PC on 1% Other on 2%,5
30 Apr – 1 May,YouGov[permanent dead link],The Sunday Times,1483,27%,35%,28%,–,–,–,–,10%,7
30 Apr – 1 May,ComRes[17],Sunday Mirror/The Independent,1019,28%,38%,25%,–,–,–,–,9%,10
30 Apr,YouGov[permanent dead link],The Sun,1412,28%,34%,28%,–,–,–,–,10%,6
30 Apr,ICM[18],The Sunday Telegraph,1019,29%,36%,27%,3%,2%,1%,–,1%,7
29–30 Apr,Angus Reid Public Opinion[19],Sunday Express,1874,23%,35%,29%,5%,1%,1%,3%,2% PC on 1% Other on 1%,6
