Date(s) conducted,Polling organisation/client,Sample size,SNP,Lab,Con,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Lead
8 Jun 2017,2017 general election,–,36.9%,27.1%,28.6%,6.8%,0.2%,0.2%,0.2%,8.3
7 Jun 2017,Survation/The Daily Record,1001,39%,29%,26%,6%,*,*,*,10
2–7 Jun 2017,Panelbase Archived 13 June 2017 at the Wayback Machine,1106,41%,22%,30%,5%,<1%,2%,<1%,11
1–5 Jun 2017,YouGov/The Times,1093,41%,25%,26%,6%,*,1%,2%,15
31 May – 2 Jun 2017,Survation/The Sunday Post,1024,40%,25%,27%,6%,2%,2%,2%,13
26–31 May 2017,Panelbase/The Sunday Times,1021,42%,20%,30%,5%,2%,1%,–,12
22–27 May 2017,Ipsos-Mori/STV,1016,43%,25%,25%,5%,2%,2%,2%,18
15–18 May 2017,YouGov/The Times,1032,42%,19%,29%,6%,1%,2%,1%,13
12–18 May 2017,BMG/The Herald,"over 1,000",43%,18%,30%,5%,4%,4%,4%,13
4 May 2017,Scottish local elections,Scottish local elections,Scottish local elections,Scottish local elections,Scottish local elections,Scottish local elections,Scottish local elections,Scottish local elections,Scottish local elections,Scottish local elections
24–27 Apr 2017,YouGov/The Times,1017,41%,18%,28%,7%,2%,3%,1%,13
18–21 Apr 2017,Panelbase/The Sunday Times,1029,44%,13%,33%,5%,2%,2%,1%,11
18–21 Apr 2017,Survation/Sunday Post,1018,43%,18%,28%,9%,3%,3%,3%,15
18 Apr 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017
17 Mar 2017,Panelbase/The Sunday Times Archived 20 March 2017 at the Wayback Machine,1008,47%,14%,28%,4%,3%,3%,<1%,19
20–26 Jan 2017,Panelbase/The Sunday Times Archived 31 January 2017 at the Wayback Machine,1020,47%,15%,27%,4%,3%,3%,<1%,20
28 Sep – 4 Oct 2016,BMG,1010,49%,17%,20%,8%,2%,3%,-,29
9–15 Sep 2016,Panelbase/The Sunday Times Archived 2 October 2016 at the Wayback Machine,1024,47%,16%,24%,5%,4%,3%,-,23
13 Jul 2016,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom
23 Jun 2016,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum,UK European Union membership referendum
5 May 2016,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election,Scottish Parliament election
7–10 Sep 2015,Survation/Scottish Daily Mail,1010,52%,21%,16%,6%,2%,3%,-,31
15 Aug 2015,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour,Kezia Dugdale is elected leader of Scottish Labour
3–7 Jul 2015,Survation/Scottish Daily Mail,1084,51%,21%,17%,7%,2%,2%,-,30
7 May 2015,2015 general election,–,50.0%,24.3%,14.9%,7.5%,1.6%,1.3%,0.3%,25.7
