Date,Firm,Interview mode,Sample,Preferred prime minister,Preferred prime minister,Preferred prime minister,Preferred prime minister,Albanese,Albanese,Albanese,Albanese,Dutton,Dutton,Dutton,Dutton
Date,Firm,Interview mode,Sample,Albanese,Dutton,Don't Know,Net,Satisfied,Dissatisfied,Don't Know,Net,Satisfied,Dissatisfied,Don't Know,Net
2 May 2025,Ipsos[7],Online,2574.0,48%,34%,18%,14%,36%,42%,22%,−6%,27%,51%,22%,−24%
29 Apr – 1 May 2025,Freshwater Strategy[8],Online,2055.0,49%,39%,12%,10%,41%,44%,15%,−3%,35%,51%,14%,−16%
,,,,,,,,,,,,,,,
28 Apr – 1 May 2025,Newspoll[9],Online,1270.0,51%,35%,14%,16%,42%,52%,6%,−10%,32%,60%,8%,−28%
24 Apr – 1 May 2025,YouGov[10],Online,3003.0,51%,34%,15%,17%,43%,49%,8%,−6%,33%,57%,10%,−24%
27–30 Apr 2025,DemosAU[9],Online,4100.0,46%,34%,20%,12%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
24–28 Apr 2025,Spectre Strategy/Dynata[14],Online,2000.0,47%,35%,27%,12%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
23–28 Apr 2025,Resolve Strategic[290],Telephone/Online,2010.0,47%,31%,22%,16%,45%,44%,11%,+1%,33%,57%,10%,−24%
24–27 Apr 2025,Essential[291],Online,2163.0,—N/a,—N/a,—N/a,—N/a,44%,47%,9%,−3%,39%,51%,10%,−12%
21–24 Apr 2025,Newspoll[292],Online,1254.0,51%,35%,14%,16%,43%,52%,5%,−9%,35%,59%,6%,−24%
22–23 Apr 2025,DemosAU[20],Online,1073.0,43%,34%,23%,9%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
17–22 Apr 2025,YouGov[293],Online,1500.0,50%,35%,15%,15%,42%,49%,9%,−7%,36%,54%,10%,−18%
14–17 Apr 2025,Newspoll[23],Online,1263.0,52%,36%,12%,16%,43%,52%,5%,−9%,35%,57%,8%,−22%
14–16 Apr 2025,Freshwater Strategy[24],Online,1062.0,45%,41%,14%,4%,37%,48%,15%,−11%,37%,47%,16%,−10%
11–15 Apr 2025,YouGov[25],Online,1506.0,48%,38%,14%,10%,43%,49%,8%,−6%,40%,50%,10%,−10%
