Parties,Parties.1,Seats,Change
,Conservative Party,316,10
,Labour Party,239,19
,Scottish National Party,58,52
,Liberal Democrats,10,47
,Green Party,2,1
,UKIP,2,2
,Others[h],23,
Hung Parliament (Conservatives 10 seats short of majority),Hung Parliament (Conservatives 10 seats short of majority),Hung Parliament (Conservatives 10 seats short of majority),Hung Parliament (Conservatives 10 seats short of majority)
