Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
Dates conducted,Pollster,Client,Area,Sample size,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Others,Lead
23–30 Dec,Deltapoll,The Mail on Sunday,GB,1567,35%,40%,10%,5%,4%,3%,1%,1% UKIP on 1% Other on 0%,5
28 Dec,Techne,,UK,TBA,32%,37%,11%,4%,4%,—,—,12%,5
21–23 Dec,Opinium,The Observer,UK,1216,32%,39%,11%,5%,6%,—,1%,7%,7
20–21 Dec,Focaldata,,GB,1008,34%,41%,9%,4%,4%,4%,0%,2%,7
1–21 Dec,Focaldata,The Times,GB,24373,32%,40%,10%,3%,7%,6%,1%,2%,8
20 Dec,Redfield & Wilton,,GB,2000,31%,39%,13%,5%,6%,5%,1%,1%,8
19–20 Dec,YouGov,The Times,GB,1790,30%,36%,12%,6%,8%,5%,1%,3%,6
17–19 Dec,Savanta ComRes,,UK,2096,32%,37%,13%,4%,5%,4%,1%,4%,5
16 Dec,North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24],North Shropshire by-election (LD gain from Con)[24]
16 Dec,Savanta ComRes,The Daily Express,UK,2139,34%,38%,10%,5%,4%,4%,1%,4%,4
14–15 Dec,FindOutNow/Electoral Calculus,The Telegraph,GB,1017,30%,38%,10%,2%,10%,7%,1%,2%,8
14–15 Dec,YouGov,The Times,GB,1714,32%,37%,10%,5%,7%,6%,1%,3%,5
13–14 Dec,Survation,38 Degrees,UK,2039,34%,40%,8%,5%,4%,2%,1%,3% Democratic Unionist Party on 1% UK Independence Party on 1% Other on 1%,6
13 Dec,Redfield & Wilton,,GB,2000,32%,37%,11%,4%,7%,7%,0%,1%,5
9–13 Dec,Kantar Public Archived 16 December 2021 at the Wayback Machine,,GB,1074,34%,38%,11%,3%,7%,3%,1%,4% UKIP on 2% Other on 2%,4
8–13 Dec,YouGov,Fabian Society,GB,3380,31%,38%,8%,5%,8%,6%,1%,2%,7
10–11 Dec,Survation,GMB,UK,1218,32%,39%,9%,5%,5%,4%,1%,5% UKIP on 1% Reclaim Party on <1%  Other on 4%,7
9–10 Dec,YouGov,The Times,GB,1741,32%,40%,8%,4%,7%,7%,1%,2%,8
9–10 Dec,Savanta ComRes,Daily Mail,UK,2118,33%,39%,9%,5%,4%,4%,1%,5%,6
8–10 Dec,Opinium,The Observer,UK,2042,32%,41%,9%,5%,5%,—,0%,8%,9
3–10 Dec,Ipsos,Evening Standard,GB,1005,34%,39%,11%,5%,7%,2%,1%,3%,5
9 Dec,Focaldata,Times Radio,GB,1001,33%,41%,7%,5%,6%,6%,1%,1%,8
8–9 Dec,YouGov,The Times,GB,1686,33%,37%,9%,5%,7%,6%,1%,1%,4
8–9 Dec,Survation,Daily Mirror,UK,1178,34%,40%,10%,4%,4%,3%,1%,5% UKIP on 1% Reclaim Party on 0%  Other on 4%,6
8 Dec,Redfield & Wilton,,GB,1500,34%,38%,11%,4%,6%,5%,0%,1%,4
7 Dec,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins,Partygate scandal begins
6 Dec,Redfield & Wilton,,GB,2000,38%,36%,9%,4%,6%,4%,0%,2%,2
3–5 Dec,Savanta ComRes,,UK,2232,38%,37%,9%,4%,5%,2%,1%,4%,1
2–4 Dec,Deltapoll,,GB,1553,37%,38%,10%,5%,5%,2%,1%,2% UKIP on 2% Other on 0%,1
2 Dec,Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25],Old Bexley and Sidcup by-election (Con hold)[25]
1–2 Dec,YouGov,The Times,GB,1708,36%,33%,9%,5%,9%,6%,1%,1%,3
30 Nov – 1 Dec,Survation,,UK,1060,36%,39%,9%,5%,3%,3%,1%,4% UKIP on 1% Other on 3%,3
29 Nov – 1 Dec,FindOutNow,Daily Telegraph,GB,10272,36%,35%,11%,5%,8%,3%,1%,1%,1
29 Nov,Redfield & Wilton,,GB,2000,38%,36%,10%,4%,6%,4%,1%,1%,2
26–28 Nov,Savanta ComRes,,GB,2060,37%,37%,8%,5%,5%,4%,1%,4%,Tie
24–26 Nov,Opinium,The Observer,UK,1990,36%,38%,8%,5%,6%,—,1%,7%,2
24–25 Nov,YouGov,The Times,GB,1692,36%,35%,7%,5%,8%,6%,1%,2%,1
18–22 Nov,Kantar Public Archived 25 November 2021 at the Wayback Machine,,GB,1119,39%,36%,10%,4%,5%,2%,1%,3% UKIP on 2% Other on 1%,3
21 Nov,Redfield & Wilton,,GB,2000,37%,37%,9%,4%,6%,3%,1%,2%,Tie
19–21 Nov,Savanta ComRes,,UK,2184,36%,38%,10%,4%,5%,3%,1%,4%,2
10–19 Nov,Panelbase Archived 23 November 2021 at the Wayback Machine,,GB,3888,38%,39%,9%,4%,6%,—,<1%,4%,1
17–18 Nov,YouGov,The Times,GB,1800,36%,34%,7%,4%,10%,5%,1%,3%,2
15 Nov,Redfield & Wilton,,GB,2000,36%,37%,10%,4%,5%,4%,1%,2%,1
11–15 Nov,Survation,38 Degrees,UK,3108,37%,37%,10%,5%,4%,2%,—,5%,Tie
11–12 Nov,Savanta ComRes Archived 24 January 2022 at the Wayback Machine[26],Daily Mail,UK,2019,34%,40%,10%,5%,5%,3%,1%,4%,6
10–12 Nov,Opinium,The Observer,UK,1175,36%,37%,9%,5%,7%,—,1%,5%,1
10–11 Nov,YouGov,The Times,GB,1696,35%,35%,8%,5%,10%,4%,1%,3%,Tie
10 Nov,Redfield & Wilton,,GB,1500,36%,38%,10%,4%,6%,3%,0%,1%,2
8 Nov,Omnisis,The Byline Times,UK,1005,30%,42%,6%,5%,8%,5%,1%,3%,12
8 Nov,Redfield & Wilton,,GB,2000,37%,36%,10%,5%,6%,5%,0%,1%,1
5–8 Nov,FindOutNow,Daily Telegraph,GB,10700,36%,35%,11%,4%,8%,2%,1%,3%,1
5–7 Nov,Savanta ComRes,,UK,2242,38%,35%,10%,5%,4%,3%,1%,5%,3
5–6 Nov,Opinium,The Observer,GB,1175,37%,36%,9%,5%,6%,—,—,7% Plaid Cymru on 1% Other on 6%,1
