Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
16–19 Dec,ICM[dead link],The Guardian,"1,002[2]",40%,31%,21%,7%,9
16–18 Dec,YouGov[1],The Sunday Times,Unknown,35%,32%,23%,10%,3
14–16 Dec,ComRes[1],Independent on Sunday,Unknown,39%,34%,19%,8%,5
14–16 Dec,YouGov[1],The Daily Telegraph,Unknown,35%,32%,21%,12%,3
2–6 Dec,MORI[1],–,Unknown,40%,27%,24%,9%,13
3–5 Dec,Populus[dead link],The Times,826,37%,33%,20%,10%,4
24–25 Nov,ComRes[1],Independent on Sunday,Unknown,42%,31%,20%,7%,11
23–25 Nov,YouGov[1],The Daily Telegraph,Unknown,35%,32%,23%,10%,3
12–14 Nov,NOP[1],The Independent,Unknown,39%,30%,20%,11%,9
12–14 Nov,ICM[dead link],The Guardian,830,38%,30%,22%,10%,8
4–8 Nov,MORI[1],–,Unknown,35%,31%,23%,11%,4
5–7 Nov,Populus[1],The Times,Unknown,34%,33%,22%,11%,1
27–28 Oct,ICM[dead link],The Guardian,Unknown,39%,33%,17%,11%,6
26–27 Oct,YouGov[1],The Daily Telegraph,Unknown,36%,32%,22%,10%,4
21–27 Oct,MORI[1],–,Unknown,39%,29%,22%,10%,10
22–24 Oct,ICM[dead link],The Guardian,1011,37%,31%,23%,9%,6
6–7 Oct,ICM[1],The Daily Telegraph,Unknown,39%,30%,23%,8%,9
6 Oct[a],NOP[1],Independent on Sunday,Unknown,36%,34%,21%,9%,2
1–2 Oct,YouGov[1],Mail on Sunday,Unknown,35%,29%,22%,14%,6
30 Sep – 2 Oct,Populus[1],The Times,Unknown,35%,28%,25%,12%,7
30 Sep,Hartlepool by-election (Lab hold),Hartlepool by-election (Lab hold),Hartlepool by-election (Lab hold),Hartlepool by-election (Lab hold),Hartlepool by-election (Lab hold),Hartlepool by-election (Lab hold),Hartlepool by-election (Lab hold),Hartlepool by-election (Lab hold)
23–24 Sep,Populus[1],News of the World,Unknown,28%,32%,29%,11%,4
23–24 Sep,ComRes[1],Independent on Sunday,Unknown,32%,30%,27%,11%,2
21–23 Sep,YouGov,The Daily Telegraph,2033,36%,34%,21%,9%,2
19 Sep[a],ICM[1],New Frontiers,Unknown,33%,31%,25%,11%,2
17–19 Sep,ICM[dead link],The Guardian,1005,36%,32%,22%,10%,4
10–14 Sep,MORI[1],The Observer,Unknown,32%,33%,25%,10%,1
2–5 Sep,Populus[dead link],The Times,608,31%,30%,26%,13%,1
24–26 Aug,YouGov[1],The Daily Telegraph,Unknown,34%,34%,21%,11%,Tie
12–16 Aug,MORI[1],Financial Times,Unknown,36%,32%,21%,11%,4
13–15 Aug,ICM[dead link],The Guardian,1005,36%,33%,22%,9%,3
30 Jul – 1 Aug,Populus[dead link],The Times,570,32%,32%,24%,12%,Tie
26–28 Jul,YouGov[1],The Daily Telegraph,Unknown,34%,33%,23%,10%,1
22–27 Jul,MORI[1],Independent on Sunday,Unknown,32%,31%,24%,13%,1
21–23 Jul,Populus[1],News of the World,Unknown,30%,28%,28%,14%,2
16–18 Jul,ICM[dead link],The Guardian,1007,35%,30%,25%,10%,5
16–17 Jul,YouGov[1],The Sunday Times,Unknown,33%,33%,22%,12%,Tie
16 Jul,NOP[1],Sunday Express,Unknown,37%,26%,24%,13%,11
