Dates conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Dates conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
6 May 2010,2010 general election,2010 general election,–,30.7%,50.3%,16.8%,2.2%,19.6
11–21 Sep 2009,YouGov[257],PoliticsHome,Unknown,26%,46%,15%,12%,20.0
22 Jul – 4 Aug 2008,YouGov[258],PoliticsHome,Unknown,27%,52%,14%,8%,25.0
5 May 2005,2005 general election,2005 general election,–,42%,38%,15%,5%,4.0
