Last day of survey,LPC,CPC,NDP,BQ,GPC,Other,Polling firm,Sample,ME,Source
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Polling firm,Sample,ME,Source
Election,33.9,8.8,4.6,48.9,3.2,3.8,,,,
"June 24, 2004",28,11,7,51,3,—N/a,SES,286,± 5.9,PDF
"June 24, 2004",32,11,5,48,—N/a,4[note 1],Leger,1101,± 3.2,PDF
"June 24, 2004",28,11,7,51,3,—N/a,Ekos,—N/a,—N/a,PDF
"June 23, 2004",29,9,5,48,5,3,Ipsos,460,—N/a,PDF
"June 22, 2004",25,10,10,50,—N/a,4,Environics,—N/a,—N/a,HTML
"June 21, 2004",26,13,6,50,—N/a,—N/a,CROP,606,± 4.0,PDF
"June 20, 2004",23,8,9,53,3,3,Ipsos,247,—N/a,HTML
"June 17, 2004",22,13,9,48,7,2,Ipsos,247,—N/a,PDF
"June 16, 2004",36,9,7,46,—N/a,2,Compas,—N/a,—N/a,PDF
"June 16, 2004",30,13,6,48,—N/a,3,Leger,874,± 3.1,PDF
"June 16, 2004",30,9,5,52,5,—N/a,SES,173,± 7.6,PDF
"June 15, 2004",31,15,7,46,—N/a,1,Leger,426,± 4.4,PDF
"June 13, 2004",28,11,7,48,5,1,Ipsos,222,—N/a,PDF
"June 9, 2004",22,13,8,54,3,—N/a,Ekos,—N/a,—N/a,PDF
"June 9, 2004",32,14,8,44,—N/a,—N/a,CROP,600,± 4.0,PDF
"June 8, 2004",24,9,8,50,5,—N/a,Ipsos,—N/a,—N/a,HTML
"June 7, 2004",31,13,8,46,—N/a,2,Leger,—N/a,—N/a,PDF
"June 6, 2004",30,15,10,43,3,—N/a,SES,178,± 7.5,PDF
"June 3, 2004",28,13,6,45,4,—N/a,Ipsos,—N/a,—N/a,HTML
"May 31, 2004",33,8,9,46,2,—N/a,Leger,1100,± 1.8,PDF
"May 30, 2004",29,—N/a,—N/a,44,—N/a,—N/a,Ipsos,—N/a,—N/a,HTML
"May 30, 2004",30,13,5,49,3,—N/a,SES,196,± 7.1,PDF
"May 27, 2004",36,11,6,45,—N/a,—N/a,Ekos,—N/a,—N/a,PDF
"Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)"
