Date(s) conducted,Pollster/client(s),Sample size,Con,Lab,LD,Grn,Others,Lead
Date(s) conducted,Pollster/client(s),Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
12 Dec 2019,2019 general election,–,35.7%,45.1%,16.9%,2.2%,,9.4
26 Nov – 1 Dec 2019,Deltapoll/Peter Kellner,501,38%,35%,24%,2%,1%,3.0
4 Nov – 5 Dec 2019,Datapraxis/YouGov,700–800,37.9%,34.7%,23.5%,3.8%,0%,3.2
4–22 Nov 2019,Datapraxis/YouGov,350–400,37.7%,29.3%,28.4%,4.6%,–,8.4
8 Jun 2017,2017 general election,–,44.1%,40.8%,11.6%,2.4%,1.1%,3.3
