Polling firm,Last date of polling,Link,LPC,CPC,NDP,GPC,PPC,Others,Margin of error[c],Sample size[d],Polling method[e],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Margin of error[c],Sample size[d],Polling method[e],Lead
Leger,"January 26, 2025",[642],14,64,16,3,2,1,± 3.1 pp,1002,Online,48
Leger,"August 5, 2024",[643],14,61,18,3,2,1,± 3.1 pp,1005,Online,43
Leger,"March 24, 2024",[644],14,60,20,3,2,1,± 3.1 pp,1002,Online,40
Mainstreet Research,"May 2, 2023",[645],18,55,13,1,3,1,± 2.5 pp,1524,Smart IVR,37
Yorkville Strategies,"March 9, 2022",[646],18,48,20,4,7,3,± 4 pp,600,Phone,28
