Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
19–23 Dec,Opinium/The Observer[f],2003,29%,33%,6%,19%,6%,7%,4
21–22 Dec,YouGov/The Sun,1642,32%,36%,6%,16%,5%,5%,4
19–21 Dec,Populus,2051,35%,35%,9%,12%,4%,5%,Tie
18–19 Dec,Survation/Daily Mirror,1009,30%,33%,10%,21%,3%,3%,3
18–19 Dec,YouGov/Sunday Times,2109,32%,34%,6%,15%,8%,5%,2
16–19 Dec,Opinium/The Observer,1427,29%,36%,6%,16%,5%,8%,7
17–18 Dec,Populus,2069,34%,35%,9%,13%,4%,4%,1
17–18 Dec,YouGov/The Sun,1981,30%,35%,6%,16%,8%,4%,5
16–17 Dec,YouGov/The Sun,2087,33%,33%,8%,14%,7%,5%,Tie
15–16 Dec,YouGov/The Sun,2021,33%,34%,6%,16%,6%,5%,1
12–16 Dec,ICM/The Guardian,1001,28%,33%,14%,14%,5%,6%,5
14–15 Dec,YouGov/The Sun,1648,32%,34%,6%,14%,8%,6%,2
13–15 Dec,Ipsos Mori/Evening Standard,1012,32%,29%,9%,13%,9%,8%,3
11–15 Dec,TNS,1180,28%,35%,5%,19%,7%,6%,7
12–14 Dec,ComRes/The Independent[permanent dead link],1002,29%,32%,12%,16%,5%,6%,3
12–14 Dec,Populus,2074,34%,36%,10%,12%,5%,4%,2
11–12 Dec,YouGov/Sunday Times,1941,32%,32%,7%,16%,7%,5%,Tie
10–12 Dec,ComRes/Sunday Mirror/Independent on Sunday[permanent dead link],2014,33%,34%,8%,18%,2%,5%,1
10–11 Dec,Populus,1140,34%,35%,9%,14%,4%,3%,1
10–11 Dec,YouGov/The Sun,2088,32%,34%,7%,14%,7%,6%,2
9–10 Dec,YouGov/The Sun,1983,33%,33%,6%,15%,7%,5%,Tie
8–9 Dec,YouGov/The Sun,1959,32%,32%,8%,15%,7%,5%,Tie
7–8 Dec,YouGov/The Sun,1925,34%,33%,6%,15%,6%,6%,1
5–7 Dec,Lord Ashcroft,1001,30%,31%,8%,19%,5%,7%,1
5–7 Dec,Populus,1323,33%,36%,8%,15%,4%,4%,3
4–5 Dec,YouGov/SundayTimes,1838,32%,32%,6%,17%,7%,7%,Tie
3–4 Dec,Opinium/The Observer,1940,29%,34%,6%,19%,6%,6%,5
3–4 Dec,Populus,1271,33%,35%,9%,14%,4%,5%,2
3–4 Dec,YouGov/The Sun,1663,31%,32%,7%,15%,8%,6%,1
2–3 Dec,YouGov/The Sun,1925,32%,31%,6%,17%,7%,6%,1
1–2 Dec,YouGov/The Sun,1912,32%,33%,7%,16%,7%,5%,1
30 Nov – 1 Dec,YouGov/The Sun,1763,32%,32%,8%,15%,6%,6%,Tie
28–30 Nov,ComRes/The Independent[permanent dead link],1005,28%,31%,9%,18%,7%,7%,3
28–30 Nov,Lord Ashcroft,1003,30%,32%,7%,16%,6%,8%,2
28–30 Nov,Populus,2053,32%,35%,9%,14%,5%,5%,3
27–28 Nov,YouGov/Sunday Times,2018,32%,34%,7%,15%,6%,6%,2
26–27 Nov,Populus,2048,32%,37%,9%,14%,4%,5%,5
26–27 Nov,YouGov/The Sun,1970,31%,31%,8%,17%,6%,6%,Tie
25–27 Nov,TNS,1194,30%,31%,6%,19%,6%,8%,1
25–26 Nov,YouGov/The Sun,2067,33%,32%,6%,16%,7%,5%,1
24–25 Nov,YouGov/The Sun,1890,32%,33%,7%,16%,6%,6%,1
23–24 Nov,YouGov/The Sun,1641,30%,34%,6%,18%,6%,6%,4
14–24 Nov,Lord Ashcroft[g],20011,30%,33%,7%,19%,6%,5%,3
21–23 Nov,Lord Ashcroft,1004,27%,32%,7%,18%,7%,8%,5
21–23 Nov,Populus,2049,31%,36%,9%,15%,5%,4%,5
20–21 Nov,YouGov/Sunday Times,1970,33%,33%,7%,16%,6%,5%,Tie
19–21 Nov,YouGov/The Sun on Sunday,2314,33%,34%,8%,15%,5%,4%,1
20 Nov,Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con),Rochester and Strood by-election (UKIP gain from Con)
19–20 Nov,Populus,2013,33%,36%,9%,14%,4%,4%,3
19–20 Nov,YouGov/The Sun,1995,34%,33%,7%,15%,6%,5%,1
