Date(s) conducted,Pollster/client(s),Sample size,Con,Lab,LD,Grn,Lead
Date(s) conducted,Pollster/client(s),Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Lead
12 Dec 2019,2019 general election,–,56.9%,21.6%,18.2%,3.3%,35.3
22–26 Nov 2019,Deltapoll/Peter Kellner,500,60%,17%,21%,2%,39.0
8 Jun 2017,2017 general election,–,52.5%,24.6%,21.1%,1.9%,27.9
