Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote
Date,Firm,Sample size,LNP,ALP,GRN,ONP,UAP,IND,OTH,L/NP,ALP
12–17 May 2022,Resolve Strategic[15],—N/a,31%,28%,17%,11%,6%,4%,3%,48.5%,51.5%
17 May 2022,Roy Morgan[18],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53%,47%
10 May 2022,Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
3 May 2022,Roy Morgan[186],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,56.5%,43.5%
30 Apr 2022,Resolve Strategic[187],—N/a,41%,27%,18%,5%,6%,2%,2%,52.7%,47.3%
27 Apr 2022,Roy Morgan[28],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54.5%,45.5%
20 Apr 2022,Roy Morgan[32],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,48.5%,51.5%
16 Apr 2022,Resolve Strategic[187],—N/a,34%,31%,13%,10%,2%,10%,1%,49%,51%
11 Apr 2022,Roy Morgan[188],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
4 Apr 2022,Roy Morgan[189],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
3 Apr 2022,Resolve Strategic[187],—N/a,33%,33%,14%,5%,2%,11%,2%,46.4%,53.6%
29 Mar 2022,Roy Morgan[190],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51%,49%
14-20 Mar 2022,Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54.5%,45.5%
14-23 Feb 2022,Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,50%,50%
20 Feb 2022,Resolve Strategic[187],—N/a,33%,33%,13%,9%,3%,7%,2%,46.4%,53.6%
18 Feb 2022,Roy Morgan[193],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,48.5%,51.5%
4–16 Jan 2022,Roy Morgan[59],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51.5%,48.5%
15 Jan 2022,Resolve Strategic[187],—N/a,34%,26%,15%,13%,3%,7%,2%,51.4%,48.6%
"27–28 Nov, 4–5 Dec 2021",Roy Morgan[65],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,45.5%,54.5%
"13–14, 20–21 Nov 2021",Roy Morgan[72],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,48.5%,51.5%
20 Nov 2021,Resolve Strategic[187],—N/a,42%,30%,10%,8%,2%,6%,1%,54.2%,45.8%
"30–31 Oct, 6–7 Nov 2021",Roy Morgan[72],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53%,47%
24 Oct 2021,Resolve Strategic[187],—N/a,36%,33%,11%,11%,3%,4%,5%,49.9%,50.1%
