Date(s) Conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) Conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
19–21 Dec,ComRes,The Independent,1000,34%,39%,16%,11%,5
16–18 Dec,YouGov,The Daily Telegraph,2241,35%,42%,14%,9%,7
12–14 Dec,Ipsos MORI,,1000,35%,39%,15%,11%,4
12–14 Dec,ICM[permanent dead link],The Guardian,1003,33%,38%,19%,10%,5
11–12 Dec,YouGov,The Sunday Times,2098,35%,41%,15%,10%,6
10–11 Dec,ComRes,The Independent on Sunday,1003,36%,37%,14%,12%,1
10–11 Dec,Ipsos MORI,,1007,36%,41%,11%,12%,5
5–7 Dec,Populus,The Times,1505,35%,39%,17%,9%,4
28–30 Nov,ComRes,The Independent,1005,36%,37%,17%,10%,1
27–28 Nov,Ipsos MORI,The Observer,1017,32%,43%,15%,10%,11
25–26 Nov,ICM,The Guardian,1027,30%,45%,18%,7%,15
24–25 Nov,YouGov,The Daily Telegraph,1556,36%,40%,14%,10%,4
19–20 Nov,ICM[permanent dead link],Sunday Mirror,1010,31%,42%,19%,8%,11
14–16 Nov,Ipsos MORI,,1002,37%,40%,12%,11%,3
13–14 Nov,YouGov,The Sunday Times,2080,36%,41%,14%,10%,5
12–13 Nov,ComRes,The Independent on Sunday,1010,32%,43%,12%,13%,11
7–9 Nov,Populus,The Times,1503,35%,41%,16%,8%,6
5–6 Nov,ICM[permanent dead link],The Sunday Telegraph,1005,30%,43%,18%,9%,13
6 Nov,Glenrothes by-election (Lab hold),Glenrothes by-election (Lab hold),Glenrothes by-election (Lab hold),Glenrothes by-election (Lab hold),Glenrothes by-election (Lab hold),Glenrothes by-election (Lab hold),Glenrothes by-election (Lab hold),Glenrothes by-election (Lab hold)
2 Nov,BPIX[222],,?,31%,45%,13%,11%,14
27–29 Oct,YouGov,The Daily Telegraph,2271,33%,42%,15%,10%,9
24–26 Oct,ComRes,The Independent,1001,31%,39%,16%,14%,8
17–19 Oct,Ipsos MORI,,1004,30%,45%,14%,11%,15
17–19 Oct,ICM[permanent dead link],The Guardian,1007,30%,42%,21%,7%,12
16–18 Oct,BPIX[222],,2046,30%,46%,13%,11%,16
15–17 Oct,YouGov,The Daily Mirror,2029,34%,42%,14%,10%,8
15–16 Oct,ComRes,The Independent on Sunday,1005,31%,40%,16%,14%,9
9–10 Oct,YouGov,The Sunday Times,1941,33%,43%,14%,10%,10
3–5 Oct,Populus,The Times,1503,30%,45%,15%,10%,15
1–3 Oct,YouGov,The Daily Telegraph,2048,31%,45%,15%,9%,14
26–28 Sep,ComRes,The Independent,1017,29%,41%,18%,12%,12
24–26 Sep,BPIX[222],,2020,31%,43%,17%,9%,12
24–25 Sep,ICM,The Guardian,1012,32%,41%,18%,9%,9
23–24 Sep,YouGov,The Sun,1536,31%,41%,16%,12%,10
17–18 Sep,ComRes,The Independent on Sunday,1010,27%,39%,21%,12%,12
17–19 Sep,YouGov,The Daily Telegraph,2227,24%,44%,20%,12%,20
12–14 Sep,Ipsos MORI,,1017,24%,52%,12%,12%,28
10–12 Sep,YouGov,The Sunday Times,2161,27%,46%,16%,11%,19
3–4 Sep,ComRes,The Independent,1013,25%,44%,17%,14%,19
29–31 Aug,Populus,The Times,1506,27%,43%,18%,12%,16
26–27 Aug,YouGov,The Daily Telegraph,2267,26%,45%,16%,13%,19
20–21 Aug,ComRes,The Independent,1014,25%,46%,16%,13%,21
15–17 Aug,ICM,The Guardian,1002,29%,44%,19%,8%,15
15–17 Aug,Ipsos MORI,,1005,24%,48%,16%,12%,24
14–15 Aug,YouGov,The Sunday Times,1745,25%,45%,18%,12%,20
6–8 Aug,YouGov,News of the World,2031,26%,46%,17%,11%,20
31 Jul – 2 Aug,BPIX[222],,1333,24%,47%,16%,13%,23
30 Jul – 1 Aug,ICM,Sunday Express,1001,29%,45%,16%,10%,16
29–31 Jul,YouGov,The Daily Telegraph,1949,25%,47%,16%,12%,22
25–27 Jul,Populus,The Times,1002,27%,43%,18%,12%,16
23–25 Jul,YouGov,The Daily Telegraph,2120,26%,45%,17%,12%,19
23–24 Jul,ComRes,The Independent,1021,24%,46%,18%,12%,22
24 Jul,Glasgow East by-election (SNP gain from Lab),Glasgow East by-election (SNP gain from Lab),Glasgow East by-election (SNP gain from Lab),Glasgow East by-election (SNP gain from Lab),Glasgow East by-election (SNP gain from Lab),Glasgow East by-election (SNP gain from Lab),Glasgow East by-election (SNP gain from Lab),Glasgow East by-election (SNP gain from Lab)
18–20 Jul,Ipsos MORI,,1016,27%,47%,15%,11%,20
18–20 Jul,ICM[permanent dead link],The Guardian,1007,28%,43%,19%,10%,15
16–17 Jul,ComRes,The Independent on Sunday,1016,24%,45%,16%,15%,21
10–11 Jul,YouGov,The Sunday Times,1832,25%,47%,16%,12%,22
10 Jul,Haltemprice and Howden by-election (Con hold),Haltemprice and Howden by-election (Con hold),Haltemprice and Howden by-election (Con hold),Haltemprice and Howden by-election (Con hold),Haltemprice and Howden by-election (Con hold),Haltemprice and Howden by-election (Con hold),Haltemprice and Howden by-election (Con hold),Haltemprice and Howden by-election (Con hold)
4–6 Jul,Populus,The Times,1507,28%,41%,19%,12%,13
25–26 Jun,ComRes,The Independent,1007,25%,46%,18%,11%,21
23–25 Jun,YouGov,The Daily Telegraph,2163,28%,46%,15%,11%,18
26 Jun,Henley by-election (Con hold),Henley by-election (Con hold),Henley by-election (Con hold),Henley by-election (Con hold),Henley by-election (Con hold),Henley by-election (Con hold),Henley by-election (Con hold),Henley by-election (Con hold)
20–22 Jun,ICM,The Guardian,1000,25%,45%,20%,10%,20
18–20 Jun,BPIX[222],,2385,26%,49%,14%,11%,23
13–15 Jun,Ipsos MORI,,1012,28%,45%,16%,11%,17
11–12 Jun,ComRes,The Independent on Sunday,1012,26%,44%,17%,13%,18
12–13 Jun,YouGov,The Sunday Times,1769,25%,47%,18%,10%,22
6–8 Jun,Populus,The Times,1508,25%,45%,20%,10%,20
4–5 Jun,ICM,The Sunday Telegraph,1023,26%,42%,21%,11%,16
30 May – 1 Jun,ComRes,The Independent,1006,30%,44%,16%,10%,14
27–29 May,YouGov,The Daily Telegraph,2241,23%,47%,18%,12%,24
22 May,Crewe and Nantwich by-election (Con gain from Lab),Crewe and Nantwich by-election (Con gain from Lab),Crewe and Nantwich by-election (Con gain from Lab),Crewe and Nantwich by-election (Con gain from Lab),Crewe and Nantwich by-election (Con gain from Lab),Crewe and Nantwich by-election (Con gain from Lab),Crewe and Nantwich by-election (Con gain from Lab),Crewe and Nantwich by-election (Con gain from Lab)
