Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
21–22 Dec,YouGov/The Sun,1721,40%,40%,9%,4%,2%,5% BNP on 1%,Tie
20–21 Dec,YouGov/The Sun,1767,40%,40%,10%,4%,3%,5% BNP on 1%,Tie
20–21 Dec,ICM/The Guardian,1003,37%,36%,15%,3%,2%,10%,1
19–20 Dec,YouGov/The Sun,1759,39%,40%,10%,4%,2%,5% BNP on 1%,1
18–19 Dec,YouGov/The Sun,1721,38%,42%,9%,3%,2%,5% BNP on 1%,4
16–19 Dec,TNS-BMRB,1231,35%,38%,11%,3%,13%,13%,3
16–18 Dec,Populus/The Times[10],1516,35%,39%,12%,2%,4%,10%,4
15–16 Dec,YouGov/The Sunday Times,1724,39%,42%,9%,4%,2%,5%,3
15 Dec,Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold),Feltham and Heston by-election (Lab hold)
14–15 Dec,YouGov/The Sun,1744,41%,40%,10%,4%,2%,6% BNP on 1%,1
14–15 Dec,ICM/The Sunday Telegraph,1008,40%,34%,14%,3%,2%,5%,6
13–14 Dec,YouGov/The Sun,1751,40%,38%,10%,5%,2%,5% BNP on 1%,2
12–13 Dec,YouGov/The Sun,1704,41%,39%,10%,3%,2%,5%,2
11–12 Dec,YouGov/The Sun,1724,39%,40%,10%,4%,2%,5% BNP on 1%,1
10–12 Dec,Ipsos MORI/Reuters,530,41%,39%,11%,2%,2%,6%,2
9–11 Dec,ComRes/The Independent,1002,38%,38%,12%,2%,4%,6%,Tie
8–9 Dec,YouGov/The Sunday Times,1698,38%,39%,11%,5%,2%,5%,1
6–7 Dec,YouGov/The Sun,1757,35%,42%,9%,6%,2%,5% BNP on 1%,7
5–6 Dec,YouGov/The Sun,1686,37%,41%,10%,5%,2%,5% BNP on 1%,4
4–5 Dec,YouGov/The Sun,1699,36%,42%,11%,4%,1%,6% BNP on 2%,6
1–2 Dec,YouGov/The Sunday Times,1702,35%,43%,9%,6%,2%,5%,8
30 Nov – 1 Dec,YouGov/The Sun,1748,36%,41%,11%,4%,2%,6% BNP on 1%,5
