Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote
Date,Firm,Sample size,LNP,ALP,GRN,ONP,OTH,ALP,L/NP
17 May 2022,Roy Morgan[18],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49%,51%
10 May 2022,Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,62.5%,37.5%
3 May 2022,Roy Morgan[186],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,62.5%,37.5%
27 Apr 2022,Roy Morgan[28],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,61.5%,38.5%
20 Apr 2022,Roy Morgan[32],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
11 Apr 2022,Roy Morgan[188],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53%,47%
4 Apr 2022,Roy Morgan[189],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,56%,44%
29 Mar 2022,Roy Morgan[190],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,63.5%,36.5%
14-20 Mar 2022,Roy Morgan[191],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60.5%,39.5%
Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209],Peter Malinauskas wins the 2022 South Australia State Election[209]
14-23 Feb 2022,Roy Morgan[192],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,59.5%,41.5%
18 Feb 2022,Roy Morgan[193],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,59.5%,40.5%
4–16 Jan 2022,Roy Morgan[59],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60.5%,39.5%
"27–28 Nov, 4–5 Dec 2021",Roy Morgan[65],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,64.5%,35.5%
"13–14, 20–21 Nov 2021",Roy Morgan[70],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,55.5%,44.5%
"30–31 Oct, 6–7 Nov 2021",Roy Morgan[72],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57.5%,42.5%
"18–19, 25–26 Sep 2021",Roy Morgan[81],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58.5%,41.5%
14 Jul – 18 Sep 2021,Newspoll[citation needed],472,40%,38%,11%,1%,10%,53%,47%
"4–5, 11–12 Sep 2021",Roy Morgan[84],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51.5%,48.5%
"21–22, 28–29 Aug 2021",Roy Morgan[85],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57.5%,42.5%
"7–8, 14–15 Aug 2021",Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54.5%,45.5%
"24–25, 31 Jul – 1 Aug 2021",Roy Morgan[90],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,55.5%,44.5%
"10–11, 17–18 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51%,49%
"29–30 May, 5–6 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
21 Apr – 26 Jun 2021,Newspoll[citation needed],473,37%,39%,10%,2%,12%,54%,46%
27 Jan – 27 Mar 2021,Newspoll[206],517,38%,41%,10%,0%,11%,55%,45%
"6–7, 13–14 Feb 2021",Roy Morgan[199],2786,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
26 Aug – 28 Nov 2020,Newspoll[200],600,44%,36%,10%,1%,9%,49%,51%
"14–15, 21–22 Nov 2020",Roy Morgan[114],2824,—N/a,—N/a,—N/a,—N/a,—N/a,52%,48%
"8–9, 15–16 Aug 2020",Roy Morgan[120],2841,—N/a,—N/a,—N/a,—N/a,—N/a,42.5%,57.5%
3 Jun – 8 Aug 2020,Newspoll[201],457–2034,43%,36%,10%,0%,11%,50%,50%
"11–12, 8–19 Jul 2020",Roy Morgan[123],2589,—N/a,—N/a,—N/a,—N/a,—N/a,47%,53%
11 Mar – 16 May 2020,Newspoll[202],472–1905,40%,37%,12%,0%,11%,53%,47%
Election: 18 May 2019,[204],[204],40.57%,35.38%,9.61%,0.84%,13.60%,50.71%,49.29%
