Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,PPC,GPC,Others[b],Margin of error[c],Sample size[d],Polling method[e],Lead
Polling firm,Last date of polling[a],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others[b],Margin of error[c],Sample size[d],Polling method[e],Lead
,"March 23, 2025","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025.","A snap federal election was called for April 28, 2025."
Leger,"March 23, 2025",[166],38,44,6,5,3,3,1,±2.45 pp,1599,online,6
Liaison Strategies,"March 23, 2025",[167],36,40,9,6,3,4,2,±2.53 pp,"1,500 (1/3)",IVR (rolling),4
Mainstreet Research,"March 23, 2025",[168],38,44,7,6,3,1,1,±2.4 pp,1661,text/online,6
Pallas Data,"March 22, 2025",[169],37.8,42.3,8.4,7.0,2.1,2.2,0.4,±2.8 pp,1225,IVR,4.5
Liaison Strategies,"March 22, 2025",[170],37,39,9,6,3,4,2,±2.53 pp,"1,500 (1/3)",IVR (rolling),2
Liaison Strategies,"March 21, 2025",[171],36,38,10,6,3,4,2,±2.53 pp,"1,500 (1/3)",IVR (rolling),2
Innovative Research,"March 21, 2025",[172],34,36,13,7,—N/a,5,4,—N/a,1548,online,2
Nanos Research,"March 21, 2025",[173],36.5,34.1,14.0,7.6,2.1,4.3,—N/a,±3.0 pp,"1,100 (1/4)",telephone (rolling),2.4
Liaison Strategies,"March 20, 2025",[174],36,38,11,7,3,4,2,±2.53 pp,"1,500 (1/3)",IVR (rolling),2
Abacus Data,"March 20, 2025",[175],39,36,12,6,2,4,0,±2.5 pp,1500,online,3
