Parties,Parties.1,Seats,Change
,Labour Party[p],410,209
,Conservative Party,131,241
,Liberal Democrats,61,53
,Reform UK,13,13
,Scottish National Party,10,38
,Plaid Cymru,4,2
,Green Party,2,1
,Others[q],19,1
Labour majority of 170,Labour majority of 170,Labour majority of 170,Labour majority of 170
