Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Others,Lead
8 Jun 2017,2017 general election,,41.5%,45.9%,8.0%,4.6%,4.4
9–10 May 2017,Survation/Chris Coghlan,503.0,46%,38%,13%,5%,8.0
7 May 2015,2015 general election,,52.4%,36.8%,4.4%,6.4%,15.6
