Date(s) conducted,Polling organisation/client,Sample size,Lab,Con,UKIP,LD,Grn,Others,Lead,Unnamed: 10_level_0
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead,Unnamed: 10_level_1
8 Jun 2017,2017 general election,–,54.5%,33.2%,1.3%,8.8%,1.8%,0.5%,21.3,
26–31 May 2017,YouGov,1000,50%,33%,3%,11%,2%,1%,17,
19–23 May 2017,YouGov,1006,50%,34%,2%,11%,2%,1%,16,
22 Apr – 3 May 2017,YouGov,1040,41%,36%,6%,14%,3%,1%,5,
24–28 Mar 2017,YouGov,1042,37%,34%,9%,14%,5%,1%,3,
1 Dec 2016,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election
16 Jun 2016,Tooting by-election,Tooting by-election,Tooting by-election,Tooting by-election,Tooting by-election,Tooting by-election,Tooting by-election,Tooting by-election,Tooting by-election,Tooting by-election
15–19 Apr 2016,YouGov/LBC,1017,46%,30%,13%,7%,4%,1%,16,
4–6 Jan 2016,YouGov/LBC,1156,44%,37%,11%,4%,2%,2%,7,
8 Jun – 12 Aug 2015,YouGov/LBC,3436,42%,38%,9%,5%,4%,1%,4,
7 May 2015,2015 general election,–,43.7%,34.9%,8.1%,7.7%,4.9%,0.8%,8.8,
