Last day of survey,LPC,CPC,NDP,GPC,CA,PC,Other,Polling firm,Sample,ME,Source,Unnamed: 12_level_0
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Polling firm,Sample,ME,Source,Unnamed: 12_level_1
Voting result,28.6,36.3,26.6,6.3,—,—,2.2,,,,,
"June 24, 2004",30,34,27,7,—,—,2,Ekos,—N/a,—N/a,PDF,
"June 24, 2004",28,38,28,6,—,—,—N/a,SES,192,± 7.2,PDF,
"June 23, 2004",25,38,26,8,—,—,2,Ipsos,800,± 3.5,PDF,
"June 23, 2004",24,44,22,8,—,—,2,Ipsos,264,—N/a,PDF,
"June 22, 2004",31,34,31,—N/a,—,—,4,Environics,—N/a,—N/a,HTML,
"June 20, 2004",32,36,18,8,—,—,6,Ipsos,132,—N/a,PDF,
"June 17, 2004",32,34,12,7,—,—,6,Ipsos,120,—N/a,PDF,
"June 16, 2004",27,35,25,10,—,—,3[note 2],SES,135,± 8.7,PDF,
"June 9, 2004",29,41,26,5,—,—,—N/a,Ekos,—N/a,—N/a,PDF,
"June 7, 2004",31,31,26,—N/a,—,—,12,Léger,—N/a,—N/a,PDF,
"June 6, 2004",31,37,26,5,—,—,—N/a,SES,118,± 9.2,PDF,
"May 31, 2004",29,32,28,9,—,—,1,Léger,—N/a,—N/a,PDF,
"May 30, 2004",34,29,29,8,—,—,0,SES,121,± 9.1,PDF,
"Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)"
"April 28, 2004",30,25,26,9,—,—,10,Ipsos,109,—N/a,PDF,
"April 25, 2004",31,30,32,8,—,—,0,SES,117,± 9.2,PDF,
"April 24, 2004",31,23,29,13,—,—,3,Léger,—N/a,—N/a,PDF,
"March 22, 2004",31,37,22,—N/a,—,—,10,Léger,—N/a,—N/a,PDF,
"January 27, 2004",31,37,22,—N/a,—,—,10,Léger,—N/a,—N/a,PDF,
"January 15, 2004",39,26,26,—N/a,—,—,10,Ipsos,—N/a,—N/a,PDF,
"November 27, 2003",32,—,19,13,20,11,5,Ipsos,121,—N/a,PDF,
"October 23, 2003",40,—,14,8,23,9,6,Ipsos,116,—N/a,PDF,
"April 17, 2003",45,—,18,10,18,8,0,Ipsos,115,—N/a,PDF,
"March 27, 2003",44,—,20,—N/a,22,12,3,Environics,225,± 6.7,HTML,
"February 20, 2003",39,—,28,—N/a,19,6,9,Ekos,—N/a,—N/a,PDF,
"January 16, 2003",46,—,23,—N/a,18,6,8,Ekos,—N/a,—N/a,PDF,
"January 14, 2003",32,—,22,—N/a,32,12,2,Environics,445,± 4.7,HTML,
"December 12, 2002",31,—,11,13,31,13,1,Ipsos,125,—N/a,PDF,
"July 18, 2002",34,—,27,—N/a,25,8,6,Ipsos,129,—N/a,PDF,
"June 20, 2002",28,—,21,—N/a,31,14,6,Ipsos,267,—N/a,PDF,
"June 9, 2002",30,—,11,—N/a,31,17,11,Léger,—N/a,—N/a,PDF,
"May 30, 2002",33,—,18,—N/a,33,14,2,Ipsos,263,—N/a,PDF,
April 2002,32,—,13,—N/a,20,20,14,Léger,—N/a,—N/a,PDF,
"August 29, 2001",52,—,11,—N/a,19,14,5,Ekos,—N/a,—N/a,PDF,
"August 13, 2001",43,—,7,—N/a,22,13,15,Léger,—N/a,—N/a,PDF,
"July 10, 2001",42,—,15,—N/a,22,18,3,Environics,231,± 6.6,HTML,
"May 31, 2001",49,—,8,—N/a,21,10,12,Léger,—N/a,—N/a,PDF,
"April 24, 2001",34,—,16,—N/a,32,12,4,Environics,239,± 6.5,HTML,
Election 2000,27.7,—,11.3,2.1,49.4,7.3,2.2,,,,,
