Survey end date,Pollster/Client,Con,Lab,LD,Lead
Survey end date,Pollster/Client,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Lead
19 Dec,MORI/Times,22%,61%,13%,39
15 Dec,Dudley West by-election (Lab gain from Con),Dudley West by-election (Lab gain from Con),Dudley West by-election (Lab gain from Con),Dudley West by-election (Lab gain from Con),Dudley West by-election (Lab gain from Con)
9 Dec,ICM/Observer,26%,53%,17%,27
5 Dec,Gallup/Telegraph,21.5%,61%,13.5%,39.5
3 Dec,ICM/Guardian,31%,49%,17%,18
21 Nov,MORI/Times,24%,55%,17%,31
5 Nov,ICM/Guardian,31%,49%,16%,18
31 Oct,Gallup/Telegraph,21.5%,56.5%,17%,35
24 Oct,MORI/Times,25%,57%,14%,32
8 Oct,ICM/Guardian,32%,49%,15%,17
3 Oct,Gallup/Telegraph,25.5%,54%,16.5%,28.5
27 Sep,Gallup/Telegraph,21%,57.5%,15.5%,36.5
26 Sep,MORI/Economist,25%,52%,18%,27
26 Sep,MORI/Times,25%,54%,17%,29
16 Sep,NOP/Independent,28%,50%,17%,22
10 Sep,ICM/Guardian,33%,45%,18%,12
5 Sep,Gallup/Telegraph,22%,56.5%,17%,34.5
26 Aug,NOP/Independent on Sunday,26%,54%,16%,28
22 Aug,MORI/Times,23%,56%,18%,33
6 Aug,ICM/Guardian,28%,49%,19%,21
1 Aug,Gallup/Telegraph,23%,56.5%,14.5%,33.5
21 Jul,Tony Blair is elected leader of the Labour Party[6],Tony Blair is elected leader of the Labour Party[6],Tony Blair is elected leader of the Labour Party[6],Tony Blair is elected leader of the Labour Party[6],Tony Blair is elected leader of the Labour Party[6]
18 Jul,MORI/Times,23%,51%,21%,28
9 Jul,ICM/Guardian,31%,44%,21%,13
4 Jul,Gallup/Telegraph,26.5%,51%,17.5%,24.5
30 Jun,Monklands East by-election (Lab hold),Monklands East by-election (Lab hold),Monklands East by-election (Lab hold),Monklands East by-election (Lab hold),Monklands East by-election (Lab hold)
20 Jun,MORI/Times,24%,52%,20%,28
10 Jun,ICM/Sunday Express,26.5%,45.5%,19%,19
9 Jun,"European Parliament election;[7] Barking by-election (Lab hold), Bradford South by-election (Lab hold), Dagenham by-election (Lab hold), Eastleigh by-election (LD gain from Con) and Newham North East by-election (Lab hold)","European Parliament election;[7] Barking by-election (Lab hold), Bradford South by-election (Lab hold), Dagenham by-election (Lab hold), Eastleigh by-election (LD gain from Con) and Newham North East by-election (Lab hold)","European Parliament election;[7] Barking by-election (Lab hold), Bradford South by-election (Lab hold), Dagenham by-election (Lab hold), Eastleigh by-election (LD gain from Con) and Newham North East by-election (Lab hold)","European Parliament election;[7] Barking by-election (Lab hold), Bradford South by-election (Lab hold), Dagenham by-election (Lab hold), Eastleigh by-election (LD gain from Con) and Newham North East by-election (Lab hold)","European Parliament election;[7] Barking by-election (Lab hold), Bradford South by-election (Lab hold), Dagenham by-election (Lab hold), Eastleigh by-election (LD gain from Con) and Newham North East by-election (Lab hold)"
6 Jun,MORI/Times,23%,50%,22%,27
4 Jun,ICM/Daily Express,27%,45%,22%,19
31 May,MORI/GMB,22%,46%,22%,24
30 May,Gallup/ Telegraph,21%,54%,21.5%,33
23 May,MORI/Times,27%,46%,23%,19
21 May,ICM/Guardian,30%,44%,20%,14
17 May,ICM/Express,26%,48%,23%,22
14 May,MORI/Sunday Times,26%,49%,20%,23
12 May,John Smith dies suddenly aged 55; Margaret Beckett is appointed interim Labour leader[8],John Smith dies suddenly aged 55; Margaret Beckett is appointed interim Labour leader[8],John Smith dies suddenly aged 55; Margaret Beckett is appointed interim Labour leader[8],John Smith dies suddenly aged 55; Margaret Beckett is appointed interim Labour leader[8],John Smith dies suddenly aged 55; Margaret Beckett is appointed interim Labour leader[8]
9 May,Gallup/Telegraph,24.5%,45.5%,25%,20.5
7 May,ICM/Guardian,29%,44%,24%,17
5 May,Local elections in England and Scotland;[9] Rotherham by-election (Lab hold),Local elections in England and Scotland;[9] Rotherham by-election (Lab hold),Local elections in England and Scotland;[9] Rotherham by-election (Lab hold),Local elections in England and Scotland;[9] Rotherham by-election (Lab hold),Local elections in England and Scotland;[9] Rotherham by-election (Lab hold)
25 Apr,MORI/Times,26%,47%,23%,21
20 Apr,NOP/Independent,26%,48%,21%,22
9 Apr,ICM/Guardian,30%,42%,22%,12
4 Apr,Gallup/Telegraph,26.5%,51.5%,17.5%,25
1 Apr,MORI/Evening Standard,28%,46%,22%,18
31 Mar,NOP/Independent on Sunday,26%,50%,20%,24
28 Mar,MORI/Times,27%,49%,20%,22
12 Mar,ICM/Guardian,29%,44%,22%,15
28 Feb,Gallup/Telegraph,25%,48.5%,21%,23.5
28 Feb,MORI/Times,28%,47%,21%,19
12 Feb,ICM/Guardian,30%,44%,21%,14
31 Jan,Gallup/Telegraph,26%,45.5%,23%,19.5
27 Jan,Audience Selection/Sunday Mirror,28%,41%,24%,13
24 Jan,MORI/Times,28%,48%,20%,20
11 Jan,Gallup/Telegraph,25.5%,46.5%,20.5%,21
11 Jan,MORI/Sun,30%,46%,20%,16
8 Jan,ICM/Guardian,31%,43%,21%,12
