Dates conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Dates conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
6 May 2010,2010 general election,2010 general election,–,34.0%,45.8%,15.0%,5.1%,11.8
22 May 2008,2008 by-election,2008 by-election,–,30.6%,49.5%,14.6%,5.5%,18.9
15–18 May 2008,ComRes[271],The Independent,?,35%,48%,12%,–,13.0
May 2008,ICM[271],News of the World,?,37%,45%,14%,–,8.0
7–8 May 2008,ICM[271],Mail on Sunday,?,39%,43%,16%,–,4.0
5 May 2005,2005 general election,2005 general election,–,48.8%,32.6%,18.6%,–,16.2
