Polling firm,Last date of polling[1],Link,CPC,NDP,LPC,BQ,GPC,Margin of error[2],Sample size[3],Polling method[4],Lead
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error[2],Sample size[3],Polling method[4],Lead
Nanos Research,"July 31, 2015",[116],31.5,30.1,29.3,3.3,5.4,±3.1 pp,1000,telephone – rolling (1/2),1.4
Innovative Research,"July 30, 2015",[117],29.3,33.7,25.8,4.6,5.6,±1.9 pp,2833,online,4.4
Forum Research,"July 28, 2015",[118],33,33,25,4,4,±3.0 pp,1397,IVR,Tie
EKOS,"July 28, 2015",[119],30.1,33.8,23.4,4.7,6.1,±2.1 pp,2247,IVR,3.7
Ipsos Reid,"July 27, 2015",[120],33,34,25,5,3,±2.5 pp,1571,online,1
Mainstreet Research,"July 21, 2015",[121],38,27,25,4,6,±1.37 pp,5147,IVR,11
Forum Research,"July 20, 2015",[122],28,34,29,5,4,±3.0 pp,1208,IVR,6
Nanos Research,"July 17, 2015",[123],31,31,27,5,6,±3.1 pp,1000,telephone – rolling,Tie
Leger Marketing,"July 16, 2015",[124],32,32,25,5,6,±2.5 pp,1545,online,Tie
EKOS,"July 14, 2015",[125],29.4,32.6,24.0,5.3,6.6,±2.0 pp,2538,IVR,3.2
Forum Research,"July 13, 2015",[126],27,34,27,7,5,±3.0 pp,1251,IVR,7
Forum Research,"July 7, 2015",[127],32,32,26,5,3,±3.0 pp,1200,IVR,Tie
Abacus Data,"July 6, 2015",[128],29,32,27,6,6,±2.2 pp,2000,online,3
Forum Research,"June 29, 2015",[129],27,32,29,6,4,±3.0 pp,1221,IVR,3
EKOS,"June 28, 2015",[130],27.3,30.9,25.6,6.3,6.6,±2.3 pp,1752,IVR,3.6
Forum Research,"June 23, 2015",[131],28,36,28,5,2,±3.0 pp,1268,IVR,8
