Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote
Date,Firm,Sample size,L/NP,ALP,GRN,UAP,ONP,IND,OTH,L/NP,ALP
12–17 May 2022,Resolve Strategic[15],—N/a,39%,28%,14%,3%,6%,8%,2%,52.2%,47.8%
17 May 2022,Roy Morgan[18],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,48%,52%
10 May 2022,Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,48.5%,51.5%
3 May 2022,Roy Morgan[186],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,44%,56%
30 Apr 2022,Resolve Strategic[187],—N/a,30%,41%,12%,3%,6%,4%,3%,41.6%,58.4%
27 Apr 2022,Roy Morgan[28],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,45%,55%
20 Apr 2022,Roy Morgan[32],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,46.5%,53.5%
16 Apr 2022,Resolve Strategic[187],—N/a,36%,35%,10%,3%,3%,11%,3%,48%,52%
11 Apr 2022,Roy Morgan[188],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,45%,55%
4 Apr 2022,Roy Morgan[189],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,45%,55%
3 Apr 2022,Resolve Strategic[187],—N/a,36%,36%,11%,5%,1%,8%,3%,47.2%,52.8%
29 Mar 2022,Roy Morgan[190],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,47%,53%
14-20 Mar 2022,Roy Morgan[191],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,42.5%,57.5%
14-23 Feb 2022,Roy Morgan[192],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,43.5%,56.5%
20 Feb 2022,Resolve Strategic[187],—N/a,34%,35%,8%,3%,3%,11%,7%,47.6%,52.4%
18 Feb 2022,Roy Morgan[193],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,41%,59%
12 Feb 2022,"NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]","NSW by-elections in Monaro, Bega, Strathfield & Willoughby[194]"
4–16 Jan 2022,Roy Morgan[59],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,42%,58%
15 Jan 2022,Resolve Strategic[187],—N/a,38%,36%,10%,2%,0%,11%,4%,47.9%,52.1%
"27–28 Nov, 4–5 Dec 2021",Roy Morgan[65],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,44.5%,55.5%
"13–14, 20–21 Nov 2021",Roy Morgan[70],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,44.5%,55.5%
20 Nov 2021,Resolve Strategic[187],—N/a,41%,29%,11%,3%,2%,12%,2%,53%,47%
24 Oct 2021,Resolve Strategic[187],—N/a,40%,34%,11%,2%,0%,10%,5%,49.6%,50.4%
5 Oct 2021,Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195],Gladys Berejiklian resigns as Premier of New South Wales[195]
"18–19, 25–26 Sep 2021",Roy Morgan[81],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,46.5%,53.5%
19 Sep 2021,Resolve Strategic[187],—N/a,43%,31%,10%,3%,2%,6%,5%,46.6%,53.4%
14 Jul – 18 Sep 2021,Newspoll[citation needed],2057,39%,38%,11%,—N/a,1%,—N/a,11%,48%,52%
"4–5, 11–12 Sep 2021",Roy Morgan[84],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,46%,54%
"21–22, 28–29 Aug 2021",Roy Morgan[85],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,47%,53%
22 Aug 2021,Resolve Strategic[187],—N/a,40%,31%,14%,—N/a,3%,9%,3%,50.8%,49.2%
"7–8, 14–15 Aug 2021",Roy Morgan[196],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,48%,52%
"24–25, 31 Jul – 1 Aug 2021",Roy Morgan[90],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49%,51%
"10–11, 17–18 Jul 2021",Resolve Strategic[93],—N/a,38%,33%,12%,—N/a,1%,—N/a,16%,49.3%,50.7%
"10–11, 17–18 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
21 Apr – 26 Jun 2021,Newspoll[citation needed],1861,42%,37%,11%,—N/a,1%,—N/a,9%,50%,50%
13 Jun 2021,Resolve Strategic[197],—N/a,46%,32%,10%,—N/a,1%,—N/a,11%,54.3%,45.7%
"29–30 May, 5–6 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
12–16 May 2021,Resolve Strategic[101],—N/a,39%,36%,12%,—N/a,1%,—N/a,12%,48.2%,51.8%
16 Apr 2021,Resolve Strategic[175],—N/a,41%,29%,12%,—N/a,7%,—N/a,11%,53.5%,46.5%
27 Jan – 27 Mar 2021,Newspoll[198],1779,42%,36%,11%,—N/a,7%,—N/a,10%,50%,50%
"6–7, 13–14 Feb 2021",Roy Morgan[199],2786,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54%,46%
26 Aug – 28 Nov 2020,Newspoll[200],2304,44%,36%,11%,—N/a,1%,—N/a,8%,51%,49%
"14–15, 21–22 Nov 2020",Roy Morgan[114],2824,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
"8–9, 15–16 Aug 2020",Roy Morgan[120],2841,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,56.5%,43.5%
3 Jun – 8 Aug 2020,Newspoll[201],457–2034,42%,37%,11%,—N/a,1%,—N/a,9%,49%,51%
"11–12, 18–19 Jul 2020",Roy Morgan[123],2589,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,52.5%,47.5%
11 Mar – 16 May 2020,Newspoll[202],472–1905,42%,36%,11%,—N/a,2%,—N/a,9%,50%,50%
7–8 Dec 2019,Newspoll[203],930–1472,42%,35%,10%,—N/a,2%,—N/a,12%,51%,45%
Election: 18 May 2019,[204],[204],42.54%,34.56%,8.71%,3.38%,1.31%,4.62%,4.88%,51.78%,48.22%
