Last day of survey,LPC,CPC,NDP,BQ,GPC,Other,Polling firm,Sample,ME,Source
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Polling firm,Sample,ME,Source
"May 20, 2004",28,7,8,50,4,—N/a,Ipsos,215,—N/a,PDF
"May 20, 2004",34,10,15,42,—N/a,—N/a,CROP,854,± 3.4,PDF
"May 19, 2004",40,—N/a,—N/a,43,—N/a,—N/a,Compass,—N/a,—N/a,[5]
"May 16, 2004",35,10,7,44,—N/a,4,Leger,1005,± 3.0,PDF
"May 13, 2004",31,10,10,46,—N/a,—N/a,Ipsos,—N/a,—N/a,PDF
"May 6, 2004",36,—N/a,—N/a,41,—N/a,—N/a,Ipsos,—N/a,—N/a,HTML
"April 28, 2004",33,8,8,46,5,1,Ipsos,224,—N/a,PDF
"April 25, 2004",39,10,10,41,—N/a,—N/a,CROP,1001,± 3.0,PDF
"April 25, 2004",35,9,8,46,2,—N/a,SES,218,± 6.8,PDF
"April 24, 2004",34,8,8,46,3,—N/a,Leger,—N/a,—N/a,PDF
"April 18, 2004",37,8,8,45,—N/a,2,Environics,—N/a,—N/a,HTML
"April 8, 2004",30,11,10,45,2,2,Ipsos,—N/a,—N/a,HTML
"March 29, 2004",35,11,9,45,—N/a,—N/a,CROP,1004,± 3.0,PDF
"March 25, 2004",33,8,6,44,7,2,Ipsos,204,—N/a,PDF
"March 22, 2004",36,8,8,45,—N/a,3,Leger,—N/a,—N/a,PDF
"March 7, 2004",31,6,8,49,4,2,Ipsos,476,—N/a,PDF
"February 26, 2004",32,9,10,48,—N/a,1,CROP,607,± 4.0,PDF
"February 25, 2004",38,—N/a,—N/a,44,—N/a,—N/a,Ekos,—N/a,—N/a,HTML
"February 22, 2004",38,—N/a,—N/a,38,—N/a,—N/a,CROP,—N/a,—N/a,PDF
"February 19, 2004",30,10,9,44,3,5,Ipsos,225,—N/a,PDF
"February 12, 2004",34,7,11,47,—N/a,1,CROP,—N/a,—N/a,PDF
"February 12, 2004",40,5,8,39,5,3,Ipsos,213,—N/a,PDF
"January 27, 2004",46,6,7,39,—N/a,—N/a,Leger,—N/a,—N/a,PDF
"January 24, 2004",51,5,10,33,—N/a,1,CROP,1000,± 3.0,PDF
"January 18, 2004",47,6,8,36,—N/a,3,Leger,1000,± 3.4,PDF
"January 15, 2004",45,3,6,39,4,3,Ipsos,—N/a,—N/a,PDF
