Date(s) conducted,Polling organisation/client,Sample size,Lab,Con,UKIP,LD,Grn,Others,Lead,Unnamed: 10_level_0
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead,Unnamed: 10_level_1
8 Jun 2017,2017 general election,–,49.0%,40.5%,2.6%,5.0%,1.3%,1.7%,8.5,
24 Apr – 5 May 2017,YouGov,1293,38%,43%,7%,9%,2%,0%,5,
20 Oct 2016,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election,Batley and Spen by-election
5 May 2016,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election,Sheffield Brightside and Hillsborough by-election
7 May 2015,2015 general election,–,39.1%,32.6%,16.0%,7.1%,3.5%,1.6%,6.5,
