Last day of survey,LPC,CPC,NDP,GPC,CA,PC,Other,Polling firm,Sample,ME,Source,Unnamed: 12_level_0
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Polling firm,Sample,ME,Source,Unnamed: 12_level_1
Voting result,44.7,31.5,18.1,4.4,—,—,1.3,,,,,
"June 24, 2004",39,32,25,4,—,—,—N/a,Nanos,,,,
"June 24, 2004",39,32,25,4,—,—,—N/a,SES,393,± 5.0,PDF,
"June 24, 2004",38,35,21,5,—,—,1,Ekos,—N/a,—N/a,PDF,
"June 23, 2004",38,34,20,6,—,—,2,Ipsos,758,—N/a,PDF,
"June 22, 2004",40,35,19,—N/a,—,—,5,Environics,—N/a,—N/a,HTML,
"June 20, 2004",42,30,20,6,—,—,2,Ipsos,379,—N/a,PDF,
"June 16, 2004",36,40,23,2,—,—,—N/a,SES,259,± 6.2,PDF,
"June 9, 2004",34,38,21,6,—,—,—N/a,Ekos,—N/a,—N/a,PDF,
"June 7, 2004",35,36,24,—N/a,—,—,5,Léger,—N/a,—N/a,PDF,
"June 6, 2004",33,43,22,3,—,—,—N/a,SES,254,± 6.3,PDF,
"May 31, 2004",39,37,18,5,—,—,1,Léger,—N/a,± 3.5,PDF,
"May 30, 2004",39,32,25,3,—,—,—N/a,SES,237,± 6.5,PDF,
"Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)"
"March 22, 2004",47,28,19,—N/a,—,—,6,Léger,—N/a,—N/a,PDF,
"February 25, 2004",47,36,15,—N/a,—,—,2,Ekos,—N/a,—N/a,HTML,
"April 17, 2003",58,—,9,3,14,15,1,Ipsos,282,—N/a,PDF,
"March 27, 2003",50,—,15,—N/a,15,18,2,Environics,544,± 4.3,HTML,
"February 20, 2003",52,—,20,—N/a,8,19,2,Ekos,—N/a,—N/a,PDF,
"January 16, 2003",60,—,15,—N/a,8,17,1,Ekos,—N/a,—N/a,PDF,
"January 14, 2003",53,—,14,—N/a,14,18,1,Environics,—N/a,—N/a,HTML,
"December 12, 2002",51,—,11,6,11,22,0,Ipsos,255,—N/a,PDF,
"May 30, 2002",55,—,11,—N/a,15,19,0,Ipsos,542,—N/a,PDF,
"August 29, 2001",62,—,10,—N/a,8,20,2,Ekos,—N/a,—N/a,PDF,
"August 23, 2001",53,—,11,—N/a,11,22,2,Ipsos,300,—N/a,PDF,
"August 13, 2001",58,—,9,—N/a,8,15,11,Léger,—N/a,—N/a,PDF,
"July 10, 2001",51,—,13,—N/a,11,24,1,Environics,555,± 4.2,HTML,
"April 24, 2001",54,—,8,—N/a,19,18,2,Environics,545,± 4.3,HTML,
"March 29, 2001",56,—,8,—N/a,18,16,2,Ipsos,300,—N/a,PDF,
Election 2000,51.5,—,8.3,0.9,23.6,14.4,1.3,,,,,
