Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
8 Jun 2017,2017 general election,–,54.6%,32.7%,2.5%,7.9%,1.9%,0.3%,21.9
24 Apr – 5 May 2017,YouGov,1339,56%,19%,9%,12%,2%,1%,37.0
7 May 2015,2015 general election,–,49.0%,22.0%,16.2%,8.2%,3.9%,0.5%,27.0
