Survey end date,Pollster/Client,Con,Lab,LD,Lead
Survey end date,Pollster/Client,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Lead
15 Dec,MORI/Sunday Times,34%,47%,16%,13
5 Dec,ICM/Guardian,36%,41%,18%,5
1 Dec,MORI/Sunday Times,34%,47%,15%,13
30 Nov,Gallup/Telegraph,29%,52%,14%,23
20 Nov,ICM/Express,33%,49%,14%,16
12 Nov,Harris/Observer,32%,51%,14%,19
8 Nov,Harris/World in Action,30%,53%,13%,23
7 Nov,ICM/Guardian,36%,40%,19%,4
2 Nov,Gallup/Telegraph,32.5%,50%,13%,17.5
30 Oct,NOP/Independent on Sunday,34%,47%,14%,13
27 Oct,MORI/Sunday Times,35%,45%,15%,10
19 Oct,Gallup,29%,51%,14%,22
12 Oct,Gallup,36%,45%,14%,9
10 Oct,ICM/Guardian,38%,38%,19%,Tie
29 Sep,MORI/Sunday Times,37%,43%,16%,6
28 Sep,Gallup/Telegraph,37%,44%,15%,7
21 Sep,Gallup/Telegraph,37%,42%,17%,5
19 Sep,MORI/Sunday Times,39%,43%,15%,4
18 Sep,NOP/Independent on Sunday,39%,41%,16%,3
17 Sep,Harris/Observer,36%,44%,16%,8
16 Sep,Black Wednesday[11],Black Wednesday[11],Black Wednesday[11],Black Wednesday[11],Black Wednesday[11]
7 Sep,Gallup,43%,41%,12%,2
5 Sep,ICM/Guardian,39%,35%,19%,4
2 Sep,MORI/Sunday Times,41%,44%,13%,3
21 Aug,MORI/Times,38%,44%,14%,6
14 Aug,NOP/Independent on Sunday,43%,39%,14%,4
8 Aug,ICM/Guardian,41%,36%,17%,5
3 Aug,Gallup,40.5%,45%,12%,4.5
28 Jul,MORI/Sunday Times,39%,43%,15%,4
18 Jul,John Smith is elected leader of the Labour Party[12],John Smith is elected leader of the Labour Party[12],John Smith is elected leader of the Labour Party[12],John Smith is elected leader of the Labour Party[12],John Smith is elected leader of the Labour Party[12]
16 Jul,Harris/Observer,44%,38%,15%,6
6 Jul,Gallup,42%,38%,16%,4
4 Jul,ICM/Guardian,45%,36%,15%,9
23 Jun,MORI/Sunday Times,42%,39%,16%,3
18 Jun,Harris/Observer,46%,36%,15%,10
6 Jun,ICM/Guardian,45%,36%,16%,9
1 Jun,Gallup,45%,37%,17%,8
26 May,MORI/Sunday Times,43%,38%,16%,5
17 May,Audience Selection,45%,37%,13%,8
14 May,Harris/Observer,46%,37%,13%,9
9 May,ICM/Guardian,45%,34%,17%,11
8 May,Local elections in England and Scotland[13],Local elections in England and Scotland[13],Local elections in England and Scotland[13],Local elections in England and Scotland[13],Local elections in England and Scotland[13]
4 May,Gallup,42%,39%,17%,3
28 Apr,MORI/Sunday Times,43%,38%,16%,5
16 Apr,Harris/Observer,44%,36%,17%,8
12 Apr,Gallup,39%,38%,19%,1
11 Apr,Audience Selection,42%,36%,18%,6
9 Apr 1992,1992 general election,41.9%,34.4%,17.8%,7.5
