Survey end date,Pollster/Client,Con,Lab,LD,Lead
Survey end date,Pollster/Client,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Lead
15 Dec,NOP/Sunday Times,25%,55%,16%,30
14 Dec,ICM/Observer,30%,50%,14%,20
9 Dec,ICM/Guardian,26%,48%,22%,22
4 Dec,Gallup/Telegraph,23%,62%,12%,39
4 Dec,MORI/Times,28%,55%,13%,27
1 Dec,NOP/Sunday Times,25%,57%,15%,32
20 Nov,MORI/Times,26%,56%,14%,30
17 Nov,NOP/Sunday Times,27%,56%,13%,29
5 Nov,ICM/Guardian,31%,48%,16%,17
30 Oct,Gallup/Telegraph,21.5%,61%,14.5%,39.5
23 Oct,MORI/Times,27%,56%,13%,29
20 Oct,NOP/Sunday Times,23%,59%,15%,36
7 Oct,ICM/Guardian,30%,47%,19%,17
2 Oct,Gallup/Telegraph,25.5%,55.5%,14%,30
25 Sep,MORI/Times,28%,51%,16%,23
15 Sep,NOP/Sunday Times,27%,53%,17%,26
9 Sep,ICM/Guardian,31%,48%,17%,17
4 Sep,Gallup/Telegraph,26.5%,54.5%,14%,28
28 Aug,MORI/Times,25%,56%,15%,31
18 Aug,NOP/Sunday Times,24%,57%,15%,33
5 Aug,ICM/Guardian,31%,48%,17%,17
31 Jul,Gallup/Telegraph,22.5%,57.5%,14.5%,35
31 Jul,ICM/Express,24%,58%,14%,34
27 Jul,Littleborough and Saddleworth by-election (LD gain from Con),Littleborough and Saddleworth by-election (LD gain from Con),Littleborough and Saddleworth by-election (LD gain from Con),Littleborough and Saddleworth by-election (LD gain from Con),Littleborough and Saddleworth by-election (LD gain from Con)
24 Jul,MORI/Times,26%,59%,12%,33
21 Jul,MORI/LWT,30%,52%,13%,22
21 Jul,NOP/Sunday Times,26%,55%,14%,29
8 Jul,ICM/Guardian,32%,47%,17%,15
4 Jul,John Major is re-elected leader of the Conservative Party in a leadership challenge[3],John Major is re-elected leader of the Conservative Party in a leadership challenge[3],John Major is re-elected leader of the Conservative Party in a leadership challenge[3],John Major is re-elected leader of the Conservative Party in a leadership challenge[3],John Major is re-elected leader of the Conservative Party in a leadership challenge[3]
3 Jul,Gallup/Telegraph,25.5%,57%,13%,31.5
3 Jul,MORI/European,33%,52%,10%,19
27 Jun,MORI/Economist,31%,55%,11%,24
26 Jun,MORI/Times,29%,56%,13%,27
24 Jun,MORI/Mail on Sunday,32%,54%,11%,22
15 Jun,North Down by-election (UKUP gain from UPUP),North Down by-election (UKUP gain from UPUP),North Down by-election (UKUP gain from UPUP),North Down by-election (UKUP gain from UPUP),North Down by-election (UKUP gain from UPUP)
10 Jun,ICM/Guardian,24%,53%,19%,29
5 Jun,Gallup/Telegraph,20%,59.5%,14.5%,39.5
25 May,Perth and Kinross by-election (SNP gain from Con),Perth and Kinross by-election (SNP gain from Con),Perth and Kinross by-election (SNP gain from Con),Perth and Kinross by-election (SNP gain from Con),Perth and Kinross by-election (SNP gain from Con)
22 May,MORI/Times,22%,58%,16%,36
13 May,ICM/Guardian,29%,48%,19%,19
8 May,Gallup/Telegraph,23%,55.5%,16.5%,32.5
4 May,"Local elections in England, Scotland and Wales[4]","Local elections in England, Scotland and Wales[4]","Local elections in England, Scotland and Wales[4]","Local elections in England, Scotland and Wales[4]","Local elections in England, Scotland and Wales[4]"
24 Apr,MORI/Times,26%,56%,15%,30
8 Apr,ICM/Guardian,26%,51%,18%,25
6 Apr,Local elections in Scotland[5],Local elections in Scotland[5],Local elections in Scotland[5],Local elections in Scotland[5],Local elections in Scotland[5]
3 Apr,Gallup/Telegraph,23%,57.5%,15%,34.5
24 Mar,MORI/Sunday Times,25%,59%,12%,34
20 Mar,MORI/Times,25%,57%,13%,32
11 Mar,ICM/Guardian,27%,52%,17%,25
27 Feb,Gallup/Telegraph,20.5%,60.5%,15%,40
20 Feb,MORI/Times,24%,58%,14%,34
16 Feb,Islwyn by-election (Lab hold),Islwyn by-election (Lab hold),Islwyn by-election (Lab hold),Islwyn by-election (Lab hold),Islwyn by-election (Lab hold)
11 Feb,ICM/Guardian,31%,49%,17%,18
30 Jan,Gallup/Telegraph,23.5%,59.5%,13%,36
23 Jan,MORI/Times,27%,56%,14%,29
14 Jan,ICM/Guardian,30%,48%,18%,18
13 Jan,Harris/Sunday Times,25%,60%,12%,35
9 Jan,Gallup/Telegraph,18.5%,62%,14%,43.5
