Date(s) conducted,Pollster/client(s),Sample size,DUP,SF,SDLP,UUP,All,GPNI,Others,Lead
Date(s) conducted,Pollster/client(s),Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Lead
12 Dec 2019,2019 general election,–,30.6%,22.8%,14.9%,11.7%,16.8%,0.2%,3.1%[36],7.8
27–30 Nov 2019,Lucid Talk/Remain United,2422,30%,25%,13%,11%,16%,0%,5%,5
9 Nov 2019,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party,Steve Aiken is elected leader of the Ulster Unionist Party
30 Oct – 1 Nov 2019,Lucid Talk/Remain United,2386,28%,24%,14%,9%,16%,1%,8% [k],4
9–12 Aug 2019,Lucid Talk,2302,29%,25%,8%,9%,21%,1%,7%,4
21 Nov 2018,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI,Clare Bailey becomes leader of Green Party NI
20 Oct – 2 Nov 2018,Survation/Channel 4,555,31%,27%,11%,15%,12%,–,4%,4
3 May 2018,West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8],West Tyrone by-election[8]
10 Feb 2018,Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37],Mary Lou McDonald becomes leader of Sinn Féin[37]
8 Jun 2017,2017 general election,–,36.0%,29.4%,11.7%,10.3%,7.9%,0.9%,3.7%,6.6
