Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
7 May 2015,2015 general election[a],–,37.8%,31.2%,8.1%,12.9%,3.8%,6.3%,6.6
5–7 May,Populus[1],3917,34%,34%,9%,13%,5%,6%,Tie
6 May,Survation[2][b],1045,37%,31%,10%,11%,5%,6%,6
30 Apr – 6 May,SurveyMonkey[3],18131,34%,28%,7%,13%,8%,9%,6
5–6 May,Lord Ashcroft,3028,33%,33%,10%,11%,6%,8%,Tie
5–6 May,Ipsos MORI/Evening Standard,1186,36%,35%,8%,11%,5%,5%,1
4–6 May,YouGov/The Sun,10307,34%,34%,10%,12%,4%,6%,Tie
5–6 May,"ComRes/Daily Mail, ITV News Archived 18 May 2015 at the Wayback Machine",1007,35%,34%,9%,12%,4%,6%,1
4–6 May,Survation/Daily Mirror[c],4088,31%,31%,10%,16%,5%,7%,Tie
3–6 May,ICM/The Guardian[d],2023,34%,35%,9%,11%,4%,7%,1
3–6 May,ICM/The Guardian[e],1560,35%,35%,9%,11%,3%,7%,Tie
1–6 May,Panelbase Archived 18 May 2015 at the Wayback Machine[4],3019,31%,33%,8%,16%,5%,7%,2
4–5 May,Opinium,2960,35%,34%,8%,12%,6%,5%,1
4–5 May,YouGov/The Sun,2148,34%,34%,9%,12%,5%,6%,Tie
4–5 May,Survation/Daily Mirror,1504,33%,34%,9%,16%,4%,4%,1
3–5 May,"ComRes/Daily Mail, ITV News Archived 22 October 2015 at the Wayback Machine",1011,35%,32%,9%,14%,4%,6%,3
3–5 May,"BMG/May2015.com, New Statesman",1009,34%,34%,10%,12%,4%,6%,Tie
3–4 May,YouGov/The Sun,1664,33%,33%,10%,12%,5%,6%,Tie
30 Apr – 4 May,TNS,1185,33%,32%,8%,14%,6%,6%,1
2–3 May,YouGov/The Sun,1789,34%,33%,9%,12%,5%,7%,1
1–3 May,Lord Ashcroft,1001,32%,30%,11%,12%,7%,9%,2
1–3 May,Populus,2054,34%,34%,10%,13%,5%,5%,Tie
1–2 May,YouGov/Sunday Times,1967,34%,33%,8%,13%,5%,7%,1
1–2 May,Survation/Mail on Sunday,2128,31%,34%,8%,17%,4%,6%,3
30 Apr – 1 May,YouGov/The Sun,1575,33%,34%,8%,14%,5%,5%,1
30 Apr – 1 May,Survation/Daily Mirror,1117,33%,34%,9%,16%,3%,5%,1
29–30 Apr,YouGov/Sun on Sunday,1970,34%,35%,9%,12%,5%,6%,1
29–30 Apr,Populus,2016,33%,33%,9%,15%,4%,5%,Tie
29–30 Apr,YouGov/The Sun,1729,34%,35%,8%,12%,5%,6%,1
29–30 Apr,Panelbase Archived 13 May 2015 at the Wayback Machine,1020,32%,34%,8%,17%,4%,7%,2
28–30 Apr,"ComRes/Independent on Sunday, Sunday Mirror Archived 14 May 2015 at the Wayback Machine",1002,33%,33%,8%,13%,7%,6%,Tie
28–30 Apr,Opinium/The Observer,1956,35%,34%,8%,13%,5%,5%,1
28–29 Apr,YouGov/The Sun,1823,35%,34%,9%,12%,4%,6%,1
26–29 Apr,Ipsos MORI/Evening Standard,1010,35%,30%,8%,10%,8%,9%,5
27–28 Apr,"ComRes/ITV News, Daily Mail Archived 18 May 2015 at the Wayback Machine",1005,35%,35%,7%,11%,6%,6%,Tie
27–28 Apr,YouGov/The Sun,1749,34%,35%,9%,12%,4%,6%,1
26–27 Apr,YouGov/The Sun,2127,35%,34%,9%,12%,5%,6%,1
25–27 Apr,BMG/May2015.com[5],1013,35%,32%,11%,14%,3%,5%,3
23–27 Apr,TNS,1186,34%,33%,7%,15%,5%,5%,1
25–26 Apr,YouGov/The Sun,2096,33%,34%,8%,14%,5%,6%,1
24–26 Apr,Lord Ashcroft,1003,36%,30%,9%,11%,7%,7%,6
24–26 Apr,ICM/The Guardian,1004,35%,32%,9%,13%,5%,6%,3
24–26 Apr,Populus,2072,33%,36%,8%,14%,5%,4%,3
24–25 Apr,YouGov/Sunday Times,2271,32%,34%,9%,14%,6%,5%,2
24–25 Apr,Survation/Mail on Sunday,1004,33%,30%,9%,18%,4%,6%,3
23–24 Apr,YouGov/The Sun,1594,33%,35%,8%,13%,6%,5%,2
21–24 Apr,Opinium/The Observer,1964,34%,33%,9%,13%,6%,5%,1
22–23 Apr,Populus,2051,32%,35%,8%,14%,5%,6%,3
22–23 Apr,YouGov/The Sun,1834,33%,35%,8%,13%,6%,6%,2
22–23 Apr,Survation/Daily Mirror,1205,33%,29%,10%,18%,4%,6%,4
21–23 Apr,Panelbase,1012,31%,34%,7%,17%,4%,7%,3
21–22 Apr,"ComRes/ITV News, Daily Mail Archived 30 April 2015 at the Wayback Machine",1003,36%,32%,8%,10%,5%,9%,4
21–22 Apr,YouGov/The Sun,2060,33%,34%,7%,14%,5%,6%,1
20–21 Apr,YouGov/The Sun,1799,35%,34%,7%,13%,5%,6%,1
19–20 Apr,YouGov/The Sun,2078,34%,35%,7%,13%,5%,6%,1
16–20 Apr,TNS,1199,32%,34%,8%,15%,5%,6%,2
18–19 Apr,YouGov/The Sun,1675,34%,35%,8%,13%,5%,6%,1
17–19 Apr,Lord Ashcroft,1002,34%,30%,10%,13%,4%,9%,4
17–19 Apr,Populus[permanent dead link],2048,32%,34%,9%,15%,4%,6%,2
17–19 Apr,ICM/The Guardian,1003,34%,32%,10%,11%,5%,8%,2
17–18 Apr,YouGov/Sunday Times,1780,33%,36%,8%,13%,5%,5%,3
