Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote
Date,Firm,Sample size,LNP,ALP,GRN,ONP,OTH,L/NP,ALP
17 May 2022,Roy Morgan[18],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,45.5%,54.5%
10 May 2022,Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,42.5%,57.5%
3 May 2022,Roy Morgan[186],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51%,49%
27 Apr 2022,Roy Morgan[28],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54.5%,45.5%
20 Apr 2022,Roy Morgan[32],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51%,49%
11 Apr 2022,Roy Morgan[188],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,36.5%,63.5%
4 Apr 2022,Roy Morgan[189],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,41%,59%
29 Mar 2022,Roy Morgan[190],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,43%,57%
14-20 Mar 2022,Roy Morgan[191],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,41%,59%
14-23 Feb 2022,Roy Morgan[192],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,48%,52%
18 Feb 2022,Roy Morgan[193],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,46.5%,53.5%
4–16 Jan 2022,Roy Morgan[59],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49%,51%
"27–28 Nov, 4–5 Dec 2021",Roy Morgan[65],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
"13–14, 20–21 Nov 2021",Roy Morgan[70],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,46.5%,53.5%
"30–31 Oct, 6–7 Nov 2021",Roy Morgan[72],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,46.5%,53.5%
"18–19, 25–26 Sep 2021",Roy Morgan[81],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,45.5%,54.5%
14 Jul – 18 Sep 2021,Newspoll[citation needed],602,37%,42%,10%,5%,6%,46%,54%
"4–5, 11–12 Sep 2021",Roy Morgan[84],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53%,47%
"21–22, 28–29 Aug 2021",Roy Morgan[85],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,49%,51%
"7–8, 14–15 Aug 2021",Roy Morgan[196],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,45.5%,54.5%
"24–25, 31 July–1 Aug 2021",Roy Morgan[90],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51.5%,48.5%
"10–11, 17–18 Jul 2021",Resolve Strategic[93],—N/a,33%,39%,21%,2%,6%,40.8%,59.2%
"10–11, 17–18 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,47.5%,52.5%
21 Apr – 26 Jun 2021,Newspoll[citation needed],625,39%,41%,10%,5%,5%,47%,53%
13 Jun 2021,Resolve Strategic[197],—N/a,33%,40%,15%,4%,8%,42.5%,57.5%
"29–30 May, 5–6 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51%,49%
12–16 May 2021,Resolve Strategic[101],—N/a,44%,38%,11%,3%,3%,49.9%,50.1%
16 Apr 2021,Resolve Strategic[175],—N/a,42%,40%,13%,5%,1%,47.5%,52.5%
27 Jan – 27 Mar 2021,Newspoll[206],628,40%,42%,10%,4%,4%,47%,53%
Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208],Mark McGowan wins the 2021 Western Australian state election in a landslide[208]
"6–7, 13–14 Feb 2021",Roy Morgan[199],2786,—N/a,—N/a,—N/a,—N/a,—N/a,49.5%,50.5%
26 Aug – 28 Nov 2020,Newspoll[200],779,43%,32%,13%,7%,5%,53%,47%
"14–15, 21–22 Nov 2020",Roy Morgan[114],2824,—N/a,—N/a,—N/a,—N/a,—N/a,51%,49%
"8–9, 15–16 Aug 2020",Roy Morgan[120],2841,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
3 Jun – 8 Aug 2020,Newspoll[201],457–2034,45%,31%,13%,8%,3%,54%,46%
,,,,,,,,,
"11–12, 18–19 Jul 2020",Roy Morgan[123],2589,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
11 Mar – 16 May 2020,Newspoll[202],472–1905,44%,31%,12%,9%,4%,55%,45%
Election: 18 May 2019,[204],[204],43.79%,29.80%,11.62%,5.31%,9.48%,55.55%,44.45%
