country,election_year,source_table,date_raw,marker_text,marker_relevance,marker_party_rows,national_overlap_parties,marker_mae,marker_max_abs_error,matched_parties
uk,2019,uk_2019_table23.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,3,3,17.834829975491015,30.453781785593918,CON|LAB|LIB
uk,2019,uk_2019_table23.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,6.701496642157681,8.174067559585438,CON|LAB|LIB
uk,2019,uk_2019_table24.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,3,3,14.234829975491015,20.55378178559392,CON|LAB|LIB
uk,2019,uk_2019_table24.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,3,3,7.168163308824347,9.674067559585438,CON|LAB|LIB
uk,2019,uk_2019_table25.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,4,3,9.198975451761738,20.276640581293687,CON|LAB|LIB
uk,2019,uk_2019_table25.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,6.934829975491016,14.27406755958544,CON|LAB|LIB
uk,2019,uk_2019_table26.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,5,3,16.81878493576739,29.55378178559392,CON|LAB|LIB
uk,2019,uk_2019_table26.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,16.152118269100722,29.453781785593918,CON|LAB|LIB
uk,2019,uk_2019_table27.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,3,3,9.834829975491013,14.353781785593915,CON|LAB|LIB
uk,2019,uk_2019_table27.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,3,3,3.5478817308992805,8.974067559585443,CON|LAB|LIB
uk,2019,uk_2019_table28.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,3,3,8.181215064232612,13.82335941870631,CON|LAB|LIB
uk,2019,uk_2019_table28.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,3,3,8.147881730899279,11.82335941870631,CON|LAB|LIB
uk,2019,uk_2019_table29.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,4,3,9.252118269100722,19.153781785593914,CON|LAB|LIB
uk,2019,uk_2019_table29.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,3.247881730899279,6.3233594187063105,CON|LAB|LIB
uk,2019,uk_2019_table30.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,3,3,9.468163308824348,20.353781785593917,CON|LAB|LIB
uk,2019,uk_2019_table30.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,6.681215064232611,11.723359418706309,CON|LAB|LIB
uk,2019,uk_2019_table31.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,4,3,5.781215064232612,9.023359418706313,CON|LAB|LIB
uk,2019,uk_2019_table31.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,8.681215064232612,13.923359418706312,CON|LAB|LIB
uk,2019,uk_2019_table32.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,3,3,7.001024548238263,9.753781785593917,CON|LAB|LIB
uk,2019,uk_2019_table32.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,3,3,4.0676912149049285,10.123359418706315,CON|LAB|LIB
uk,2019,uk_2019_table33.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,4,3,8.767691214904929,13.023359418706313,CON|LAB|LIB
uk,2019,uk_2019_table33.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,3.083736254628556,8.723359418706309,CON|LAB|LIB
uk,2019,uk_2019_table34.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,3,3,23.61878493576739,41.55378178559392,CON|LAB|LIB
uk,2019,uk_2019_table34.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,3,3,19.334829975491015,33.55378178559392,CON|LAB|LIB
