country,election_year,source_table,poll_party_rows,party_count,party_signature,marker_candidate_count,best_marker_date_raw,best_marker_relevance,national_overlap_parties,marker_mae,marker_max_abs_error,scope_status,scope_reason
canada,2004,canada_2004_table11.csv,110,5,CPC|GPC|LPC|NDP|OTHER,1,Voting result,generic_current_candidate,5,2.477177898932096,7.9707006759160635,rejected_marker_mismatch,election marker materially differs from national actual results
canada,2004,canada_2004_table12.csv,125,5,CPC|GPC|LPC|NDP|OTHER,1,Voting result[4],generic_current_candidate,5,5.665845041048451,10.767959428817527,rejected_marker_mismatch,election marker materially differs from national actual results
canada,2004,canada_2004_table13.csv,194,5,CPC|GPC|LPC|NDP|OTHER,1,Voting result,generic_current_candidate,5,11.073058460112136,32.06795942881753,rejected_marker_mismatch,election marker materially differs from national actual results
canada,2004,canada_2004_table14.csv,153,5,CPC|GPC|LPC|NDP|OTHER,1,Voting result,generic_current_candidate,5,5.7288976285656705,10.916625606666482,rejected_marker_mismatch,election marker materially differs from national actual results
canada,2004,canada_2004_table5.csv,114,5,CPC|GPC|LPC|NDP|OTHER,1,Voting result[4],generic_current_candidate,5,3.2849363856279323,7.070700675916058,rejected_marker_mismatch,election marker materially differs from national actual results
canada,2004,canada_2004_table6.csv,118,6,BQ|CPC|GPC|LPC|NDP|OTHER,1,Election,generic_current_candidate,6,12.479027606602292,36.51411050533952,rejected_marker_mismatch,election marker materially differs from national actual results
canada,2004,canada_2004_table10.csv,74,5,BQ|LPC|NDP|OTHER|PC,0,,,0,,,review,no usable current-cycle election marker
canada,2004,canada_2004_table3.csv,67,5,BQ|CPC|GPC|LPC|NDP,0,,,0,,,review,no usable current-cycle election marker
canada,2004,canada_2004_table4.csv,187,4,BQ|LPC|NDP|PC,0,,,0,,,review,no usable current-cycle election marker
canada,2004,canada_2004_table7.csv,96,4,BQ|CPC|LPC|NDP,0,,,0,,,review,no usable current-cycle election marker
canada,2004,canada_2004_table8.csv,54,4,BQ|LPC|NDP|PC,0,,,0,,,review,no usable current-cycle election marker
canada,2004,canada_2004_table9.csv,53,5,BQ|LPC|NDP|OTHER|PC,0,,,0,,,review,no usable current-cycle election marker
canada,2006,canada_2006_table4.csv,964,5,BQ|CPC|GPC|LPC|NDP,1,23 January 2006,explicit_current_year,5,0.024163031523113075,0.031267680936675646,approved_marker_match,election marker closely matches national actual results
canada,2008,canada_2008_table1.csv,1478,5,BQ|CPC|GPC|LPC|NDP,0,,,0,,,review,no usable current-cycle election marker
canada,2015,canada_2015_table1.csv,575,5,BQ|CPC|GPC|LPC|NDP,1,"October 19, 2015",explicit_current_year,5,0.024983083844965483,0.03236148341912326,approved_marker_match,election marker closely matches national actual results
canada,2015,canada_2015_table2.csv,1250,5,BQ|CPC|GPC|LPC|NDP,1,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table1.csv,703,6,BQ|CPC|GPC|LPC|NDP|PPC,1,"October 21, 2019",explicit_current_year,5,0.06175221114680181,0.10788799986406161,approved_marker_match,election marker closely matches national actual results
canada,2019,canada_2019_table8.csv,115,7,BQ|CPC|GPC|LPC|NDP|OTHER|PPC,2,"October 21, 2019",explicit_current_year,6,8.929975044899654,24.807911163300886,rejected_marker_mismatch,election marker materially differs from national actual results
canada,2019,canada_2019_table11.csv,24,6,CPC|GPC|LPC|NDP|OTHER|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table14.csv,15,5,CPC|GPC|LPC|NDP|OTHER,0,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table2.csv,1920,6,BQ|CPC|GPC|LPC|NDP|PPC,1,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table4.csv,16,6,CPC|GPC|LPC|NDP|OTHER|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table5.csv,14,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table6.csv,15,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table7.csv,15,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2019,canada_2019_table9.csv,74,6,CPC|GPC|LPC|NDP|OTHER|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2021,canada_2021_table1.csv,912,6,BQ|CPC|GPC|LPC|NDP|PPC,1,"September 20, 2021",explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
canada,2021,canada_2021_table10.csv,20,5,CPC|GPC|LPC|NDP|PPC,0,,,0,,,review,no usable current-cycle election marker
canada,2021,canada_2021_table11.csv,24,4,CPC|GPC|LPC|NDP,0,,,0,,,review,no usable current-cycle election marker
canada,2021,canada_2021_table13.csv,19,4,CPC|GPC|LPC|NDP,0,,,0,,,review,no usable current-cycle election marker
canada,2021,canada_2021_table2.csv,1586,6,BQ|CPC|GPC|LPC|NDP|PPC,1,,,0,,,review,no usable current-cycle election marker
canada,2021,canada_2021_table8.csv,15,5,BQ|CPC|GPC|LPC|NDP,0,,,0,,,review,no usable current-cycle election marker
