country,rows,elections,baseline_mae,baseline_mean_error,ridge_mae,ridge_mean_error
australia,6,3,0.6166666666666684,1.1842378929335002e-15,3.5526017481287213,-3.5526017481287213
canada,15,3,1.197322616901419,0.17371300410586396,4.696280398776461,4.244150229620823
uk,15,5,1.374909466879246,0.8342161976166357,2.0371190006723054,1.1899156050810442
us,7,3,2.016162028562781,-2.016162028562781,5.28541821936802,-2.9271317621463893
